"届出番号","党派名","候補者名","21:40[人]","22:30[人]","23:09確定[人]"
"1","れいわ新選組","山本太郎","2000","11000","11227"
"2","無所属","小池ゆりこ","12000","51000","51426"
"3","幸福実現党","七海ひろこ","0","0","393"
"4","無所属","宇都宮けんじ","2000","12500","12876"
"5","日本第一党","桜井誠","0","2500","2994"
"6","無所属","込山洋","0","0","221"
"7","無所属","小野たいすけ","2000","16000","16031"
"8","無所属","竹本秀之","0","0","62"
"9","スーパークレイジー君","西本誠","0","0","204"
"10","無所属","関口安弘","0","0","48"
"11","無所属","押越清悦","0","0","36"
"12","ホリエモン新党","服部修","0","0","114"
"13","ホリエモン新党","立花孝志","0","500","946"
"14","ホリエモン新党","さいとう健一郎","0","0","105"
"15","（略称）トランスヒューマニスト党","ごとうてるき","0","0","256"
"16","無所属","沢しおん","0","0","208"
"17","庶民と動物の会","市川ヒロシ","0","0","70"
"18","無所属","石井均","0","0","33"
"19","無所属","長澤育弘","0","0","80"
"20","無所属","牛尾和恵","0","0","19"
"21","国民主権党","平塚正幸","0","0","193"
"22","無所属","ないとうひさお","0","0","40"

"令和2年7月5日執行　東京都知事選挙候補者別開票結果","Ver202007",,,,
