"年度[西暦]","放射線(港区役所)年平均値[μSv/時]","放射線(お台場学園港陽小中)年平均値[μSv/時]"
"2018","0.071","0.041"
"2019","0.069","0.041"
"2020","0.070","0.041"

"令和5年度港区行政資料集　放射能・放射線対策","Ver202303",
