年度,待機児童数（人）
1988,87
1989,85
1990,68
1991,67
1992,61
1993,56
1994,77
1995,77
1996,107
1997,154
1998,150
1999,159
2000,169
2001,120
2002,36
2003,49
2004,35
2005,40
2006,44
2007,51
2008,106
2009,144
2010,51
2011,59
2012,143
2013,132
2014,247
2015,294
2016,299
2017,617
2018,330
2019,79
2020,0
2021,0
