"","件数","割合(%)"
"居間のみ使用している","132","15.1"
"寝室のみ使用している","52","5.9"
"居間・寝室（兼用含む） 共に使用している","125","14.3"
"使用していない","539","61.6"
"無回答","27","3.1"
