"","人数(人)","割合(%)"
"ころぶ","221355","80.9"
"落ちる","29988","10.9"
"ものがつまる等","7782","2.8"
"ぶつかる","5904","2.2"
"おぼれる","2739","1.0"
"切る・刺さる","2473","1.0"
"はさまれる","1504","0.9"
"かまれる・刺される","1167","0.4"
"やけど","1060","0.4"
