"","2004年度","2005年度","2006年度","2007年度","2008年度","2009年度","2010年度","2011年度","2012年度","2013年度","2014年度"
"多摩地域(%)","27.7","29.4","35.3","36.8","36.6","36.8","37.6","37.8","37.5","37.5","36.8"
"区部(%)","14.2","14.5","16.4","17.3","18.4","19.5","19.1","17.9","18.1","18.4","18.4"
"島しょ地域(%)","4.8","6.1","5.0","8.1","5.9","7.2","10.9","11.4","11.1","11.0","11.0"
