"","2004年度","2005年度","2006年度","2007年度","2008年度","2009年度","2010年度","2011年度","2012年度","2013年度","2014年度"
"島しょ地域(万トン)","2","2","2","2","2","2","2","2","2","2","1"
"多摩地域(万トン)","140","139","137","134","129","124","121","121","120","120","117"
"区部(万トン)","392","393","389","377","361","350","342","339","337","336","332"
"計","534","534","528","513","491","476","464","461","458","457","450"
