"","平成17年","平成18年","平成19年","平成20年","平成21年","平成22年","平成23年","平成24年","平成25年","平成26年"
"80歳以上(人)","481","490","515","532","598","599","768","769","671","761"
"65～79歳(人)","430","500","443","467","441","496","373","532","560","527"
"0～64歳(人)","135","135","162","150","139","155","182","153","81","154"
"計(人)","1046","1125","1120","1149","1178","1250","1323","1454","1312","1442"
