"運行ルート","行き先","停留所番号","停留所名","時刻1","時刻2","時刻3","時刻4","時刻5","時刻6","時刻7","時刻8","時刻9","時刻10","時刻11","時刻12","時刻13"
"麻布東ルート","港区役所","68-2","港区役所北","7:38","8:38","9:38","10:38","11:38","12:38","13:38","14:38","15:38","16:38","17:38","18:38","19:38"
"麻布東ルート","港区役所","78","御成門駅","7:40","8:40","9:40","10:40","11:40","12:40","13:40","14:40","15:40","16:40","17:40","18:40","19:40"
"麻布東ルート","港区役所","78-3","神谷町駅前","7:42","8:42","9:42","10:42","11:42","12:42","13:42","14:42","15:42","16:42","17:42","18:42","19:42"
"麻布東ルート","港区役所","199","虎ノ門五丁目","7:44","8:44","9:44","10:44","11:44","12:44","13:44","14:44","15:44","16:44","17:44","18:44","19:44"
"麻布東ルート","港区役所","200","東麻布一丁目(東京ﾀﾜｰ下)","7:46","8:46","9:46","10:46","11:46","12:46","13:46","14:46","15:46","16:46","17:46","18:46","19:46"
"麻布東ルート","港区役所","201","赤羽橋駅前","7:50","8:50","9:50","10:50","11:50","12:50","13:50","14:50","15:50","16:50","17:50","18:50","19:50"
"麻布東ルート","港区役所","87","東麻布二丁目","7:51","8:51","9:51","10:51","11:51","12:51","13:51","14:51","15:51","16:51","17:51","18:51","19:51"
"麻布東ルート","港区役所","89","法務局前","7:54","8:54","9:54","10:54","11:54","12:54","13:54","14:54","15:54","16:54","17:54","18:54","19:54"
"麻布東ルート","港区役所","90","飯倉片町","7:57","8:57","9:57","10:57","11:57","12:57","13:57","14:57","15:57","16:57","17:57","18:57","19:57"
"麻布東ルート","港区役所","91","六本木五丁目","7:58","8:58","9:58","10:58","11:58","12:58","13:58","14:58","15:58","16:58","17:58","18:58","19:58"
"麻布東ルート","港区役所","18","麻布地区総合支所前","7:59","8:59","9:59","10:59","11:59","12:59","13:59","14:59","15:59","16:59","17:59","18:59","19:59"
"麻布東ルート","港区役所","19","東洋英和女学院前","8:00","9:00","10:00","11:00","12:00","13:00","14:00","15:00","16:00","17:00","18:00","19:00","20:00"
"麻布東ルート","港区役所","14-2","鳥居坂下","8:02","9:02","10:02","11:02","12:02","13:02","14:02","15:02","16:02","17:02","18:02","19:02","20:02"
"麻布東ルート","港区役所","15","六本木けやき坂","8:04","9:04","10:04","11:04","12:04","13:04","14:04","15:04","16:04","17:04","18:04","19:04","20:04"
"麻布東ルート","港区役所","32","六本木けやき坂","8:07","9:07","10:07","11:07","12:07","13:07","14:07","15:07","16:07","17:07","18:07","19:07","20:07"
"麻布東ルート","港区役所","92","鳥居坂下","8:11","9:11","10:11","11:11","12:11","13:11","14:11","15:11","16:11","17:11","18:11","19:11","20:11"
"麻布東ルート","港区役所","106","麻布地区総合支所前","8:13","9:13","10:13","11:13","12:13","13:13","14:13","15:13","16:13","17:13","18:13","19:13","20:13"
"麻布東ルート","港区役所","107","六本木五丁目","8:16","9:16","10:16","11:16","12:16","13:16","14:16","15:16","16:16","17:16","18:16","19:16","20:16"
"麻布東ルート","港区役所","108","飯倉片町","8:17","9:17","10:17","11:17","12:17","13:17","14:17","15:17","16:17","17:17","18:17","19:17","20:17"
"麻布東ルート","港区役所","108-2","東麻布三丁目","8:21","9:21","10:21","11:21","12:21","13:21","14:21","15:21","16:21","17:21","18:21","19:21","20:21"
"麻布東ルート","港区役所","109","麻布いーすと通り","8:22","9:22","10:22","11:22","12:22","13:22","14:22","15:22","16:22","17:22","18:22","19:22","20:22"
"麻布東ルート","港区役所","110","東麻布一丁目(東京ﾀﾜｰ下)","8:24","9:24","10:24","11:24","12:24","13:24","14:24","15:24","16:24","17:24","18:24","19:24","20:24"
"麻布東ルート","港区役所","111","虎ノ門五丁目","8:25","9:25","10:25","11:25","12:25","13:25","14:25","15:25","16:25","17:25","18:25","19:25","20:25"
"麻布東ルート","港区役所","112","神谷町駅前","8:26","9:26","10:26","11:26","12:26","13:26","14:26","15:26","16:26","17:26","18:26","19:26","20:26"
"麻布東ルート","港区役所","113","御成門北","8:28","9:28","10:28","11:28","12:28","13:28","14:28","15:28","16:28","17:28","18:28","19:28","20:28"
"麻布東ルート","港区役所","114","御成門中学校","8:29","9:29","10:29","11:29","12:29","13:29","14:29","15:29","16:29","17:29","18:29","19:29","20:29"
"麻布東ルート","港区役所","68-2","港区役所北","8:32","9:32","10:32","11:32","12:32","13:32","14:32","15:32","16:32","17:32","18:32","19:32","20:32"

"ちぃばす時刻表　麻布東ルート（土曜日・日曜日及び祝祭日）","Ver202104",,,,,,,,,,,,,,,
