"年月[西暦]","施設名称","施設郵便番号","施設所在地","施設方書","許可日","許可番号"
"202404","スゴイサウナ　赤坂店","107-0052","東京都港区赤坂四丁目2番12号","エスセナーリオ赤坂WEST1階111","2024/4/4","5港み生環き第278号"
"202404","リトリト","107-0052","東京都港区赤坂六丁目3番15号","J‐赤坂ビル603","2024/4/17","6港み生環へ第3号"
"202404","高輪発酵浴サロン　久","108-0074","東京都港区高輪三丁目23番14号","ホウライレジデンス1階","2024/4/25","6港み生環き第2号"
"202405","ザ・レジデンス白金スイート　大浴場","108-0072","東京都港区白金六丁目16番6号","ザ・レジデンス白金スイート C棟 2階","2024/5/17","6港み生環き第22号"
"202405","ＷＡＲＭ　ｓｈｉｒｏｇａｎｅ","108-0071","東京都港区白金台一丁目2番16号","ナリヅカビル3階","2024/5/27","5港み生環き第280号"
"202405","ｂｅ－ｎａｎｏｍｉｓｔ","105-0014","東京都港区芝一丁目9番9号","小林ビル4階","2024/5/29","6港み生環き第12号"
"202406","Ｌｅｄｉａｎ　Ｓｐａ　麻布十番店","106-0045","東京都港区麻布十番一丁目5番13号","ニュー高雄ハイツ地下1階","2024/6/21","5港み生環き第274号"
"202407","ＦＬＵＸ　ＣＯＮＤＩＴＩＯＮＩＮＧＳ六本木","106-0032","東京都港区六本木七丁目14番7号","TRINITYビル3階","2024/7/30","6港み生環き第47号"
"202407","スゴイサウナ　東麻布店","106-0044","東京都港区東麻布三丁目6番11号","THE CITY 麻布十番 EAST 1階2階 ","2024/7/31","6港み生環き第60号"

"公衆浴場新規一覧(令和6年7月31日現在)","Ver202407",,,,,
