"職種","職別現員 係長[人]","職別現員 主査[人]","職別現員 主任[人]","職別現員 係員[人]","職別現員 校・園長[人]","職別現員 副校･園長[人]","職別現員 主幹教諭[人]","職別現員 主任教諭[人]","職別現員 教諭[人]","職別現員 計[人]","所属別現員 教育委[人]","所属別現員 中学校[人]","所属別現員 小学校[人]","所属別現員 幼稚園[人]","定数外 自治法上派遣[人]","定数外 休職、結核休養[人]","定数外 育休、公務災害休養[人]","定数外 配偶者同行休業[人]"
"事務","0","0","9","3","0","0","0","0","0","12","0","6","6","0","0","0","0","0"
"福祉","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0"
"１自動車運転","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0"
"２警備","0","0","2","0","0","0","0","0","0","2","0","0","2","0","0","0","0","0"
"２作業１","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"３調理","0","0","18","0","0","0","0","0","0","18","0","0","18","0","0","0","0","0"
"３用務","4","0","25","5","0","0","0","0","0","34","0","0","34","0","0","0","0","0"
"３作業２","0","0","3","0","0","0","0","0","0","3","0","0","3","0","0","0","0","0"
"幼稚園教育職員","0","0","0","0","11","3","0","17","25","56","1","0","0","55","1","10","0","0"
"区費指導主事","0","0","0","0","3","1","4","0","0","8","8","0","0","0","0","0","0","0"
"(2)学校関係計","4","0","58","9","14","4","4","17","25","135","9","6","65","55","1","10","0","0"

"令和5年度港区行政資料集　学校関係職員（常勤職員）","Ver202304",,,,,,,,,,,,,,,,,
