年・期,西暦(年),四半期,建設業（千人）,製造業（千人）,情報通信業（千人）,運輸業（千人）,卸売・小売業（千人）,金融・保険業（千人）,不動産業（千人）,飲食店，宿泊業（千人）,医療，福祉（千人）,教育，学習支援業（千人）,※サービス業（千人）
実数／男女計／平成14年平均,2002,,414,842,379,302,1032,209,130,345,362,254,927
実数／男女計／平成15年平均,2003,,400,775,451,297,1028,207,129,353,407,250,925
実数／男女計／平成16年平均,2004,,411,742,443,251,1062,230,113,324,423,255,966
実数／男女計／平成17年平均,2005,,385,767,435,267,1034,220,140,343,476,261,978
実数／男女計／平成18年平均,2006,,381,768,461,309,1046,217,155,342,477,265,1049
実数／男女計／平成19年平均,2007,,409,807,511,303,1128,243,162,353,472,266,1092
実数／男女計／平成14年１～３月平均,2002,01～03,438,889,368,295,991,207,124,325,377,270,967
実数／男女計／平成14年４～６月平均,2002,04～06,421,895,368,285,1045,208,121,353,379,198,891
実数／男女計／平成14年７～９月平均,2002,07～09,378,792,402,300,1047,220,137,352,356,263,910
実数／男女計／平成14年10～12月平均,2002,10～12,418,792,380,328,1047,201,135,350,335,287,941
実数／男女計／平成15年１～３月平均,2003,01～03,419,809,414,301,930,179,145,346,383,276,909
実数／男女計／平成15年４～６月平均,2003,04～06,423,807,528,266,1049,214,117,335,397,219,920
実数／男女計／平成15年７～９月平均,2003,07～09,380,722,481,297,1135,210,126,341,434,257,937
実数／男女計／平成15年10～12月平均,2003,10～12,379,760,380,324,997,226,129,393,415,249,933
実数／男女計／平成16年１～３月平均,2004,01～03,412,770,454,256,990,226,126,309,399,241,915
実数／男女計／平成16年４～６月平均,2004,04～06,444,757,483,214,1080,214,108,327,394,272,975
実数／男女計／平成16年７～９月平均,2004,07～09,411,731,445,273,1113,212,116,327,434,239,1009
実数／男女計／平成16年10～12月平均,2004,10～12,379,709,390,262,1066,269,104,333,466,269,966
実数／男女計／平成17年１～３月平均,2005,01～03,383,724,453,257,1031,202,122,334,441,254,958
実数／男女計／平成17年４～６月平均,2005,04～06,386,827,424,236,1017,209,130,335,489,263,1005
実数／男女計／平成17年７～９月平均,2005,07～09,389,794,438,288,997,215,164,340,495,260,953
実数／男女計／平成17年10～12月平均,2005,10～12,382,722,425,286,1091,252,143,364,480,270,994
実数／男女計／平成18年１～３月平均,2006,01～03,374,783,460,309,1054,206,169,321,411,275,1020
実数／男女計／平成18年４～６月平均,2006,04～06,417,827,478,304,1038,202,156,343,498,286,1088
実数／男女計／平成18年７～９月平均,2006,07～09,377,750,494,316,1049,228,157,364,520,269,1045
実数／男女計／平成18年10～12月平均,2006,10～12,355,710,411,306,1045,231,138,338,478,229,1044
実数／男女計／平成19年１～３月平均,2007,01～03,399,842,516,333,1098,213,183,334,440,247,1030
実数／男女計／平成19年４～６月平均,2007,04～06,439,857,501,294,1102,218,164,331,467,259,1096
実数／男女計／平成19年７～９月平均,2007,07～09,405,751,512,282,1224,267,147,388,490,279,1133
実数／男女計／平成19年10～12月平均,2007,10～12,395,777,514,302,1089,271,154,359,493,277,1107
実数／男女計／平成20年１～３月平均,2008,01～03,417,844,538,321,1130,273,167,378,444,270,1044
実数／男女計／平成20年４～６月平均,2008,04～06,401,801,472,263,1221,290,155,362,476,302,1090
実数／男女計／平成20年７～９月平均,2008,07～09,419,787,526,286,1092,284,162,361,540,280,1106
実数／男／平成14年平均,2002,,346,598,268,254,560,95,76,167,86,132,519
実数／男／平成15年平均,2003,,334,553,337,243,553,112,73,167,94,123,515
実数／男／平成16年平均,2004,,333,534,326,204,570,115,69,151,94,125,538
実数／男／平成17年平均,2005,,328,547,313,217,540,113,90,170,102,127,549
実数／男／平成18年平均,2006,,322,542,340,255,533,119,100,160,104,128,572
実数／男／平成19年平均,2007,,348,589,377,248,596,135,101,164,116,133,589
