階層コード,地域コード,地域,人口総数／平成19年1月１日,人口総数／平成18年12月１日,人口総数／平成18年１月１日,前月との比較／増減数,前月との比較／増減率（％）,前年同月との比較／増減数,前年同月との比較／増減率（％）
0,13000,総数,12710634,12709546,12611677,1088,0.01,98957,0.78
1,13100,区部,8626582,8625944,8549896,638,0.01,76686,0.9
1,13200,市部,3994384,3993960,3971791,424,0.01,22593,0.57
1,13300,郡部,60350,60279,60475,71,0.12,-125,-0.21
1,13350,島部,29318,29363,29515,-45,-0.15,-197,-0.67
,,,,,,,,,
住民基本台帳による世帯と人口_平成19年1月,,,,,,,,,
＜参考＞前月及び前年同月との比較,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部）,,,,,,,,,
