階層コード,地域コード,地域,人口総数／平成19年３月１日,人口総数／平成19年２月１日,人口総数／平成18年３月１日,前月との比較／増減数,前月との比較／増減率（％）,前年同月との比較／増減数,前年同月との比較／増減率（％）
0,13000,総数,12714542,12714985,12609551,-443,0,104991,0.83
1,13100,区部,8631683,8630997,8551818,686,0.01,79865,0.93
1,13200,市部,3993265,3994356,3967823,-1091,-0.03,25442,0.64
1,13300,郡部,60306,60346,60448,-40,-0.07,-142,-0.23
1,13350,島部,29288,29286,29462,2,0.01,-174,-0.59
,,,,,,,,,
住民基本台帳による世帯と人口_平成19年３月,,,,,,,,,
＜参考＞前月及び前年同月との比較,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部）,,,,,,,,,
