,,特定分別基準適合物の量の見込み(t),特定分別基準適合物の量の見込み(t),特定分別基準適合物の量の見込み(t),特定分別基準適合物の量の見込み(t),特定分別基準適合物の量の見込み(t),特定分別基準適合物の量の見込み（内、指定法人等への引渡見込書）(t),特定分別基準適合物の量の見込み（内、指定法人等への引渡見込書）(t),特定分別基準適合物の量の見込み（内、指定法人等への引渡見込書）(t),特定分別基準適合物の量の見込み（内、指定法人等への引渡見込書）(t),特定分別基準適合物の量の見込み（内、指定法人等への引渡見込書）(t),特定分別基準適合物の量の見込み（内、区市町村独自処理予定量）(t),特定分別基準適合物の量の見込み（内、区市町村独自処理予定量）(t),特定分別基準適合物の量の見込み（内、区市町村独自処理予定量）(t),特定分別基準適合物の量の見込み（内、区市町村独自処理予定量）(t),特定分別基準適合物の量の見込み（内、区市町村独自処理予定量）(t)
市町村コード,区市町村名,29,30,31,32,33,29,30,31,32,33,29,30,31,32,33
101,千代田区,222,222,222,222,222,211,211,211,211,211,11,11,11,11,11
102,中央区,458,482,506,532,547,458,482,506,532,547,0,0,0,0,0
103,港区,632,645,657,673,686,0,0,0,0,0,632,645,657,673,686
104,新宿区,675,683,692,700,709,0,0,0,0,0,675,683,692,700,709
105,文京区,615,613,610,607,605,615,613,610,607,605,0,0,0,0,0
106,台東区,630,672,714,763,810,630,672,714,763,810,0,0,0,0,0
107,墨田区,602,606,610,614,618,0,0,0,0,0,602,606,610,614,618
108,江東区,1054,1068,1081,1096,1109,0,0,0,0,0,1054,1068,1081,1096,1109
109,品川区,775,777,779,781,784,0,0,0,0,0,775,777,779,781,784
110,目黒区,472,465,459,450,442,472,465,459,450,442,0,0,0,0,0
111,大田区,1231,1237,1246,1249,1254,0,0,0,0,0,1231,1237,1246,1249,1254
112,世田谷区,1200,1168,1140,1107,1078,1032,1004,980,952,927,168,164,160,155,151
113,渋谷区,497,502,507,512,517,0,0,0,0,0,497,502,507,512,517
114,中野区,683,683,684,684,684,577,577,578,578,578,106,106,106,106,106
115,杉並区,1108,1097,1086,1075,1064,953,943,934,925,915,155,154,152,150,149
116,豊島区,571,582,588,588,594,0,0,0,0,0,571,582,588,588,594
117,北区,516,523,526,528,531,516,523,526,528,531,0,0,0,0,0
118,荒川区,613,625,633,644,650,0,0,0,0,0,613,625,633,644,650
119,板橋区,1041,1044,1046,1049,1049,0,0,0,0,0,1041,1044,1046,1049,1049
120,練馬区,1153,1151,1149,1148,1147,0,0,0,0,0,1153,1151,1149,1148,1147
121,足立区,1442,1446,1448,1449,1448,0,0,0,0,0,1442,1446,1448,1449,1448
122,葛飾区,800,799,798,797,797,0,0,0,0,0,800,799,798,797,797
123,江戸川区,1522,1538,1557,1575,1590,0,0,0,0,0,1522,1538,1557,1575,1590
201,八王子市,1274,1273,1271,1270,1267,979,978,977,976,974,295,295,294,294,293
202,立川市,293,292,292,291,290,293,292,292,291,290,0,0,0,0,0
203,武蔵野市,321,322,323,324,325,321,322,323,324,325,0,0,0,0,0
204,三鷹市,510,510,510,510,510,319,319,319,319,319,191,191,191,191,191
205,青梅市,232,231,230,229,228,232,231,230,229,228,0,0,0,0,0
206,府中市,430,422,413,405,397,430,422,413,405,397,0,0,0,0,0
207,昭島市,186,187,188,189,188,186,187,188,189,188,0,0,0,0,0
208,調布市,425,427,428,428,429,4,4,4,4,4,421,423,424,424,425
209,町田市,803,804,805,807,805,0,0,0,0,0,803,804,805,807,805
210,小金井市,234,235,236,237,237,0,0,0,0,0,234,235,236,237,237
211,小平市,326,326,343,345,347,326,326,343,345,347,0,0,0,0,0
212,日野市,278,283,288,293,298,278,283,288,293,298,0,0,0,0,0
213,東村山市,219,219,219,218,218,219,219,219,218,218,0,0,0,0,0
