,,29,30,31,32,33
スチール缶,23区,15532,15530,15525,15512,15503
スチール缶,多摩,5495,5475,5492,5473,5451
スチール缶,島しょ,87,87,88,87,86
スチール缶,合計,21114,21092,21105,21072,21040
アルミ缶,23区,11223,11305,11382,11449,11512
アルミ缶,多摩,5719,5715,5743,5745,5734
アルミ缶,島しょ,93,93,93,92,92
アルミ缶,合計,17035,17113,17218,17286,17338
段ボール,23区,95507,96642,97871,98970,100056
段ボール,多摩,34641,34693,34733,34757,34752
段ボール,島しょ,182,182,287,286,285
段ボール,合計,130330,131517,132891,134013,135093
飲料用紙パック,23区,711,717,719,724,727
飲料用紙パック,多摩,538,537,536,534,532
飲料用紙パック,島しょ,1,2,2,2,2
飲料用紙パック,合計,1250,1255,1256,1260,1261
合計,23区,122973,124194,125497,126655,127798
合計,多摩,46393,46420,46504,46509,46469
合計,島しょ,364,364,469,466,464
合計,合計(t),169729,170978,172470,173630,174731
