区市町村名,分別回収,拠点回収,ピックアップ,イベント回収,窓口回収,その他,概要,回収場所等,対象品目,令和元年度上半期回収実績
八王子市,,,〇,,,〇,平成３０年４月から収集され又は直接持込まれた小型家電類を機械処理後、手選別で製品プラスチック部を除去し、資源化している。,戸吹不燃物処理センター等,小型家電リサイクル法対象品目（一部の暖房器具、ホットカーペット類、スピーカー、フロン入り除湿機は除外する。）,72950kg
八王子市,,,,,,〇,リネットジャパンと協定締結,宅配便による,パソコン、携帯電話、小型家電,13230.8kg
立川市,,〇,,,,,市の公共施設に専用回収ボックスを設置し、対象品目を限定して、市民に直接投函してもらう,立川市役所本庁舎、総合リサイクルセンター、子ども未来センター,携帯電話・ＰＨＳ、電子辞書、カーナビ、デジタルカメラ、音楽プレイヤー、ＣＤ・ＭＤプレイヤー、ゲーム機、コード類,31600kg
立川市,,,〇,,,,粗大ごみ・不燃ごみとして回収した後、総合リサイクルセンターにてピックアップしている,総合リサイクルセンター,電子レンジ、小型プリンター、ビデオデッキ、掃除機、扇風機、オーディオ・アンプ類　等、ガイドラインに示された品目,31600kg
立川市,,,,,,〇,リネットジャパンと協定締結, 宅配便による,,4623.5kg
立川市,,〇,,,,,「スペシャルオリンピックス日本」応援プログラム携帯電話専用回収ボックス,立川泉体育館、立川柴崎体育館、富士見連絡所、窓口サービスセンター、西部連絡所、東部連絡所,携帯電話,0kg
武蔵野市,,,〇,,,,有害ごみの中から、クリーンセンター（プラットホーム)にてピックアップ回収を実施,武蔵野クリーンセンター,携帯電話(リチウム電池含む) , 680.0kg
武蔵野市,,〇,,,,,市役所本庁舎総合受付等、市内16ヶ所に小型家電回収ＢＯＸを設置,武蔵野市役所、市政センター（3ヶ所）、コミュニティセンター（12ヶ所）,携帯電話、デジタルカメラ、ICレコーダー、携帯音楽プレーヤー、電卓、電子辞書、携帯ゲーム機等,746.9kg
武蔵野市,,,,〇,,,毎年行われる環境フェスタにて、ブースを設けて回収。,環境フェスタ会場(R2は11月10日実施予定：集計中）,40Lの有料ごみ袋に入る大きさの小型家電（パソコンリサイクル法、家電リサイクル法対象品目を除く）,-
武蔵野市,,,,,,〇,リネットジャパンと協定締結,宅配便による,パソコンを含む小型家電製品全般,4647.6kg
