,,特定分別基準適合物の量の見込み(t),特定分別基準適合物の量の見込み(t),特定分別基準適合物の量の見込み(t),特定分別基準適合物の量の見込み(t),特定分別基準適合物の量の見込み(t),特定分別基準適合物の量の見込み（内、指定法人等への引渡見込書）(t),特定分別基準適合物の量の見込み（内、指定法人等への引渡見込書）(t),特定分別基準適合物の量の見込み（内、指定法人等への引渡見込書）(t),特定分別基準適合物の量の見込み（内、指定法人等への引渡見込書）(t),特定分別基準適合物の量の見込み（内、指定法人等への引渡見込書）(t),特定分別基準適合物の量の見込み（内、区市町村独自処理予定量）(t),特定分別基準適合物の量の見込み（内、区市町村独自処理予定量）(t),特定分別基準適合物の量の見込み（内、区市町村独自処理予定量）(t),特定分別基準適合物の量の見込み（内、区市町村独自処理予定量）(t),特定分別基準適合物の量の見込み（内、区市町村独自処理予定量）(t)
市町村コード,区市町村名,29,30,31,32,33,29,30,31,32,33,29,30,31,32,33
101,千代田区,400,400,400,400,400,379,379,379,379,379,21,21,21,21,21
102,中央区,824,867,909,957,983,824,867,909,957,983,0,0,0,0,0
103,港区,1206,1230,1253,1284,1308,0,0,0,0,0,1206,1230,1253,1284,1308
104,新宿区,1634,1655,1675,1696,1717,0,0,0,0,0,1634,1655,1675,1696,1717
105,文京区,1213,1208,1203,1197,1192,0,0,0,0,0,1213,1208,1203,1197,1192
106,台東区,1375,1467,1557,1665,1768,0,0,0,0,0,1375,1467,1557,1665,1768
107,墨田区,1031,1038,1044,1050,1056,0,0,0,0,0,1031,1038,1044,1050,1056
108,江東区,1869,1894,1918,1943,1967,0,0,0,0,0,1869,1894,1918,1943,1967
109,品川区,1569,1573,1577,1581,1587,0,0,0,0,0,1569,1573,1577,1581,1587
110,目黒区,1106,1105,1106,1101,1098,0,0,0,0,0,1106,1105,1106,1101,1098
111,大田区,2043,2054,2070,2073,2082,0,0,0,0,0,2043,2054,2070,2073,2082
112,世田谷区,2636,2609,2591,2560,2538,0,0,0,0,0,2636,2609,2591,2560,2538
113,渋谷区,1248,1254,1260,1266,1272,0,0,0,0,0,1248,1254,1260,1266,1272
114,中野区,1455,1456,1456,1457,1458,0,0,0,0,0,1455,1456,1456,1457,1458
115,杉並区,2196,2174,2152,2131,2109,0,0,0,0,0,2196,2174,2152,2131,2109
116,豊島区,1352,1379,1393,1393,1407,0,0,0,0,0,1352,1379,1393,1393,1407
117,北区,1211,1236,1250,1264,1279,0,0,0,0,0,1211,1236,1250,1264,1279
118,荒川区,875,893,905,920,929,0,0,0,0,0,875,893,905,920,929
119,板橋区,2024,2044,2065,2085,2102,0,0,0,0,0,2024,2044,2065,2085,2102
120,練馬区,2228,2226,2227,2227,2227,0,0,0,0,0,2228,2226,2227,2227,2227
121,足立区,2072,2077,2081,2082,2080,0,0,0,0,0,2072,2077,2081,2082,2080
122,葛飾区,1686,1684,1683,1681,1679,0,0,0,0,0,1686,1684,1683,1681,1679
123,江戸川区,2278,2302,2329,2357,2379,0,0,0,0,0,2278,2302,2329,2357,2379
201,八王子市,2018,2016,2015,2013,2008,1981,1979,1978,1976,1971,37,37,37,37,37
202,立川市,624,623,622,620,619,624,623,622,620,619,0,0,0,0,0
203,武蔵野市,561,563,565,566,568,561,563,565,566,568,0,0,0,0,0
204,三鷹市,779,779,779,779,779,557,557,557,557,557,222,222,222,222,222
205,青梅市,373,371,370,368,366,373,371,370,368,366,0,0,0,0,0
206,府中市,831,823,815,806,798,831,823,815,806,798,0,0,0,0,0
207,昭島市,237,238,240,240,240,237,238,240,240,240,0,0,0,0,0
208,調布市,646,647,649,651,652,6,6,6,6,6,640,641,643,645,646
209,町田市,1556,1559,1561,1564,1561,0,0,0,0,0,1556,1559,1561,1564,1561
210,小金井市,496,498,499,500,501,0,0,0,0,0,496,498,499,500,501
211,小平市,539,538,556,558,559,539,538,556,558,559,0,0,0,0,0
212,日野市,578,584,591,597,604,578,584,591,597,604,0,0,0,0,0
213,東村山市,392,392,392,391,390,392,392,392,391,390,0,0,0,0,0
214,国分寺市,364,364,365,365,364,364,364,365,365,364,0,0,0,0,0
215,国立市,225,225,225,225,225,225,225,225,225,225,0,0,0,0,0
218,福生市,212,211,210,209,208,0,0,0,0,0,212,211,210,209,208
219,狛江市,270,271,273,275,273,0,0,0,0,0,270,271,273,275,273
220,東大和市,295,289,284,285,285,295,289,284,285,285,0,0,0,0,0
221,清瀬市,281,277,274,269,264,0,0,0,0,0,281,277,274,269,264
222,東久留米市,385,383,380,377,375,0,0,0,0,0,385,383,380,377,375
223,武蔵村山市,207,210,212,214,215,0,0,0,0,0,207,210,212,214,215
224,多摩市,565,564,564,563,563,521,520,520,519,519,44,44,44,44,44
225,稲城市,288,293,296,297,298,288,293,296,297,298,0,0,0,0,0
227,羽村市,177,176,176,176,176,177,176,176,176,176,0,0,0,0,0
228,あきる野市,269,268,267,266,265,269,268,267,266,265,0,0,0,0,0
229,西東京市,725,724,725,721,719,0,0,0,0,0,725,724,725,721,719
303,瑞穂町,111,111,110,110,110,0,0,0,0,0,111,111,110,110,110
305,日の出町,41,43,44,45,47,0,0,0,0,0,41,43,44,45,47
307,檜原村,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0
308,奥多摩町,32,31,30,30,29,32,31,30,30,29,0,0,0,0,0
361,大島町,,,,,,,,,,,,,,,
362,利島村,,,,,,,,,,,,,,,
363,新島村,,,32,32,32,0,0,0,0,0,,,32,32,32
364,神津島村,1,1,2,2,2,0,0,0,0,0,1,1,2,2,2
381,三宅村,27,27,27,27,27,27,27,27,27,27,0,0,0,0,0
382,御蔵島村,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0
401,八丈町,,,,,,,,,,,,,,,
402,青ヶ島村,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0
421,小笠原村,23,23,23,23,23,0,0,0,0,0,23,23,23,23,23
,全区市町村合計,49674,49962,50292,50548,50776,10095,10128,10185,10226,10243,39579,39834,40107,40322,40533
,23区,35531,35825,36104,36370,36617,1203,1246,1288,1336,1362,34328,34579,34816,35034,35255
,多摩,14088,14082,14100,14091,14072,8861,8851,8866,8859,8850,5227,5231,5234,5232,5222
,島しょ,55,55,88,87,87,31,31,31,31,31,24,24,57,56,56
,合計,49674,49962,50292,50548,50776,10095,10128,10185,10226,10243,39579,39834,40107,40322,40533
,実施区市町村数（全62区市町村）,58,58,59,59,59,,,,,,,,,,
