区市町村名,スチール缶(H27実績)(t),スチール缶(一人当たり)(kg),アルミ缶(H27実績)(t),アルミ缶(一人当たり)(kg),段ボール(H27実績)(t),段ボール(一人当たり)(kg),飲料用紙パック(H27実績)(t),飲料用紙パック(一人当たり)(kg)
千代田区,159,2.8,78,1.4,714,12.4,5,0.1
中央区,223,1.6,182,1.3,1434,10.3,11,0.1
港区,392,1.6,452,1.9,4427,18.3,,
新宿区,903,2.7,301,0.9,2882,8.8,14,0
文京区,356,1.7,185,0.9,2969,14.2,12,0.1
台東区,487,2.6,26,0.1,1242,6.5,7,0
墨田区,391,1.5,144,0.6,1580,6.1,0,0
江東区,586,1.2,842,1.7,5357,10.8,9,0
品川区,395,1.1,523,1.4,2920,7.8,46,0.1
目黒区,406,1.5,418,1.5,4412,16.3,5,0
大田区,1148,1.6,534,0.8,7586,10.7,166,0.2
世田谷区,1168,1.3,1421,1.6,10663,12.1,35,0
渋谷区,412,1.9,319,1.5,3605,16.5,8,0
中野区,409,1.3,576,1.8,,,,
杉並区,1520,2.8,531,1,5474,10,28,0.1
豊島区,507,1.8,429,1.5,2651,9.6,26,0.1
北区,516,1.5,417,1.2,3466,10.2,25,0.1
荒川区,372,1.8,263,1.3,2308,11,1,0
板橋区,688,1.3,877,1.6,2055,3.8,41,0.1
練馬区,1338,1.9,774,1.1,7743,10.8,50,0.1
足立区,1118,1.7,314,0.5,3614,5.3,16,0
葛飾区,629,1.4,106,0.2,2964,6.6,80,0.2
江戸川区,914,1.3,534,0.8,3969,5.8,62,0.1
八王子市,814,1.5,578,1,4280,7.6,119,0.2
立川市,235,1.3,209,1.2,1157,6.5,,
武蔵野市,229,1.6,198,1.4,1304,9.1,26,0.2
三鷹市,254,1.4,276,1.5,2023,11.1,12,0.1
青梅市,158,1.2,157,1.1,586,4.3,13,0.1
府中市,314,1.2,299,1.2,1578,6.2,57,0.2
昭島市,154,1.4,185,1.6,785,7,29,0.3
調布市,270,1.2,314,1.4,2264,10.1,26,0.1
町田市,558,1.3,707,1.7,4312,10.1,40,0.1
小金井市,107,0.9,158,1.3,1090,9.3,3,0
小平市,195,1,280,1.5,1571,8.4,8,0
日野市,161,0.9,199,1.1,1451,8,57,0.3
東村山市,199,1.3,249,1.6,918,6.1,1,0
国分寺市,178,1.5,153,1.3,1003,8.4,33,0.3
国立市,106,1.4,108,1.4,700,9.4,10,0.1
福生市,71,1.2,70,1.2,374,6.4,,
狛江市,92,1.2,94,1.2,740,9.3,2,0
東大和市,87,1,105,1.2,635,7.4,6,0.1
清瀬市,90,1.2,124,1.7,511,6.9,13,0.2
東久留米市,150,1.3,206,1.8,643,5.5,0,0
武蔵村山市,130,1.8,129,1.8,583,8.1,3,0
多摩市,161,1.1,190,1.3,866,5.9,3,0
稲城市,81,0.9,123,1.4,576,6.6,2,0
羽村市,115,2,87,1.5,419,7.4,24,0.4
あきる野市,178,2.2,88,1.1,628,7.7,6,0.1
西東京市,210,1.1,290,1.5,1520,7.7,,
瑞穂町,55,1.6,60,1.8,268,8,11,0.3
日の出町,27,1.6,13,0.7,92,5.4,1,0.1
檜原村,8,3.4,4,1.7,28,11.7,0,0.1
奥多摩町,2,0.3,3,0.5,16,2.9,0,0
大島町,17,2.1,20,2.5,,,,
利島村,1,3.1,1,4.4,,,,
新島村,10,3.4,17,6,,,,
神津島村,1,0.3,2,1.2,,,,
三宅村,12,4.8,11,4,,,,
御蔵島村,1,2.1,2,8,,,,
八丈町,16,2.1,,,,,,
青ヶ島村,7.8,48.8,9,53.1,26,159.4,,
小笠原村,10,4.2,16,6.5,154,61.8,0.6,0.2
全区市町村合計,20500,1.5,15978,1.2,117135,8.8,1150,0.09
23区,15038,40,10246,26.5,84034,223.9,646,1.43
多摩,5387,41,5654,40.7,32922,228.2,504,3.4
島しょ,75,71,78,85.7,180,221.2,1,0.23
合計,20500,151,15978,152.8,117135,673.3,1150,5.07
実施区市町村数（全62区市町村）,62,62,61,61,54,54,48,48
