,,特定分別基準適合物の量の見込み(t),特定分別基準適合物の量の見込み(t),特定分別基準適合物の量の見込み(t),特定分別基準適合物の量の見込み(t),特定分別基準適合物の量の見込み(t),特定分別基準適合物の量の見込み（内、指定法人等への引渡見込書）(t),特定分別基準適合物の量の見込み（内、指定法人等への引渡見込書）(t),特定分別基準適合物の量の見込み（内、指定法人等への引渡見込書）(t),特定分別基準適合物の量の見込み（内、指定法人等への引渡見込書）(t),特定分別基準適合物の量の見込み（内、指定法人等への引渡見込書）(t),特定分別基準適合物の量の見込み（内、区市町村独自処理予定量）(t),特定分別基準適合物の量の見込み（内、区市町村独自処理予定量）(t),特定分別基準適合物の量の見込み（内、区市町村独自処理予定量）(t),特定分別基準適合物の量の見込み（内、区市町村独自処理予定量）(t),特定分別基準適合物の量の見込み（内、区市町村独自処理予定量）(t)
市町村コード,区市町村名,29,30,31,32,33,29,30,31,32,33,29,30,31,32,33
101,千代田区,,,,,,,,,,,,,,,
102,中央区,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1
103,港区,,,,,,,,,,,,,,,
104,新宿区,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1
105,文京区,2,2,3,3,3,0,0,0,0,0,2,2,3,3,3
106,台東区,39,42,45,48,51,0,0,0,0,0,39,42,45,48,51
107,墨田区,16,16,16,16,16,16,16,16,16,16,0,0,0,0,0
108,江東区,,,,,,,,,,,,,,,
109,品川区,,,,,,,,,,,,,,,
110,目黒区,,,,,,,,,,,,,,,
111,大田区,,,,,,,,,,,,,,,
112,世田谷区,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
113,渋谷区,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1
114,中野区,,,,,,,,,,,,,,,
115,杉並区,,,,,,,,,,,,,,,
116,豊島区,98,100,101,101,102,0,0,0,0,0,98,100,101,101,102
117,北区,3,4,4,5,6,0,0,0,0,0,3,4,4,5,6
118,荒川区,26,27,29,31,32,0,0,0,0,0,26,27,29,31,32
119,板橋区,,,,,,,,,,,,,,,
120,練馬区,,,,,,,,,,,,,,,
121,足立区,,,,,,,,,,,,,,,
122,葛飾区,54,54,54,53,53,0,0,0,0,0,54,54,54,53,53
123,江戸川区,,,,,,,,,,,,,,,
201,八王子市,,,,,,,,,,,,,,,
202,立川市,,,,,,,,,,,,,,,
203,武蔵野市,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
204,三鷹市,,,,,,,,,,,,,,,
205,青梅市,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0
206,府中市,,,,,,,,,,,,,,,
207,昭島市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,調布市,,,,,,,,,,,,,,,
209,町田市,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0
210,小金井市,,,,,,,,,,,,,,,
211,小平市,2,2,3,3,3,2,2,3,3,3,0,0,0,0,0
212,日野市,,,,,,,,,,,,,,,
213,東村山市,,,,,,,,,,,,,,,
214,国分寺市,,,,,,,,,,,,,,,
215,国立市,,,,,,,,,,,,,,,
218,福生市,,,,,,,,,,,,,,,
219,狛江市,,,,,,,,,,,,,,,
220,東大和市,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
221,清瀬市,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0
222,東久留米市,,,,,,,,,,,,,,,
223,武蔵村山市,,,,,,,,,,,,,,,
224,多摩市,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1
225,稲城市,7,7,7,7,7,0,0,0,0,0,7,7,7,7,7
227,羽村市,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0
228,あきる野市,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0
229,西東京市,,,,,,,,,,,,,,,
303,瑞穂町,,,,,,,,,,,,,,,
305,日の出町,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
307,檜原村,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
308,奥多摩町,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
361,大島町,,,,,,,,,,,,,,,
362,利島村,,,,,,,,,,,,,,,
363,新島村,,,,,,,,,,,,,,,
364,神津島村,,,,,,,,,,,,,,,
381,三宅村,,,,,,,,,,,,,,,
382,御蔵島村,,,,,,,,,,,,,,,
401,八丈町,,,,,,,,,,,,,,,
402,青ヶ島村,,,,,,,,,,,,,,,
421,小笠原村,,,,,,,,,,,,,,,
,全区市町村合計,293,300,308,313,319,60,60,61,61,61,233,240,247,252,258
,23区,242,249,256,261,267,17,17,17,17,17,225,232,239,244,250
,多摩,51,51,52,52,52,43,43,44,44,44,8,8,8,8,8
,島しょ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合計,293,300,308,313,319,60,60,61,61,61,233,240,247,252,258
,実施区市町村数（全62区市町村）,25,25,25,25,25,,,,,,,,,,
