,,特定分別基準適合物の量の見込み(t),特定分別基準適合物の量の見込み(t),特定分別基準適合物の量の見込み(t),特定分別基準適合物の量の見込み(t),特定分別基準適合物の量の見込み(t),特定分別基準適合物の量の見込み（内、指定法人等への引渡見込書）(t),特定分別基準適合物の量の見込み（内、指定法人等への引渡見込書）(t),特定分別基準適合物の量の見込み（内、指定法人等への引渡見込書）(t),特定分別基準適合物の量の見込み（内、指定法人等への引渡見込書）(t),特定分別基準適合物の量の見込み（内、指定法人等への引渡見込書）(t),特定分別基準適合物の量の見込み（内、区市町村独自処理予定量）(t),特定分別基準適合物の量の見込み（内、区市町村独自処理予定量）(t),特定分別基準適合物の量の見込み（内、区市町村独自処理予定量）(t),特定分別基準適合物の量の見込み（内、区市町村独自処理予定量）(t),特定分別基準適合物の量の見込み（内、区市町村独自処理予定量）(t)
市町村コード,区市町村名,29,30,31,32,33,29,30,31,32,33,29,30,31,32,33
101,千代田区,267,267,267,267,267,253,253,253,253,253,14,14,14,14,14
102,中央区,961,1011,1061,1116,1147,961,1011,1061,1116,1147,0,0,0,0,0
103,港区,1838,1874,1911,1957,1995,1838,1874,1911,1957,1995,0,0,0,0,0
104,新宿区,1244,1259,1275,1291,1307,1244,1259,1275,1291,1307,0,0,0,0,0
105,文京区,739,736,733,730,726,739,736,733,730,726,0,0,0,0,0
106,台東区,860,917,973,1041,1105,860,917,973,1041,1105,0,0,0,0,0
107,墨田区,759,764,769,774,779,661,665,670,674,679,98,99,99,100,100
108,江東区,1498,1518,1537,1558,1576,1498,1518,1537,1558,1576,0,0,0,0,0
109,品川区,1199,1202,1205,1208,1213,1199,1202,1205,1208,1213,0,0,0,0,0
110,目黒区,1395,1436,1481,1517,1555,1395,1436,1481,1517,1555,0,0,0,0,0
111,大田区,2620,2633,2654,2659,2670,2196,2207,2225,2229,2238,424,426,429,430,432
112,世田谷区,4394,4537,4700,4844,5008,4394,4537,4700,4844,5008,0,0,0,0,0
113,渋谷区,1788,1815,1842,1870,1898,1627,1652,1676,1702,1727,161,163,166,168,171
114,中野区,1054,1054,1055,1055,1056,1033,1033,1034,1034,1035,21,21,21,21,21
115,杉並区,1936,1917,1898,1879,1860,1782,1764,1746,1729,1711,155,153,152,150,149
116,豊島区,675,689,696,696,703,0,0,0,0,0,675,689,696,696,703
117,北区,911,935,952,969,986,911,935,952,969,986,0,0,0,0,0
118,荒川区,263,268,271,276,279,0,0,0,0,0,263,268,271,276,279
119,板橋区,1289,1319,1349,1380,1408,1289,1319,1349,1380,1408,0,0,0,0,0
120,練馬区,2083,2082,2083,2082,2083,0,0,0,0,0,2083,2082,2083,2082,2083
121,足立区,1470,1474,1476,1477,1475,1010,1013,1015,1015,1014,460,461,461,462,461
