,,特定分別基準適合物の量の見込み(t),特定分別基準適合物の量の見込み(t),特定分別基準適合物の量の見込み(t),特定分別基準適合物の量の見込み(t),特定分別基準適合物の量の見込み(t),特定分別基準適合物の量の見込み（内、指定法人等への引渡見込書）(t),特定分別基準適合物の量の見込み（内、指定法人等への引渡見込書）(t),特定分別基準適合物の量の見込み（内、指定法人等への引渡見込書）(t),特定分別基準適合物の量の見込み（内、指定法人等への引渡見込書）(t),特定分別基準適合物の量の見込み（内、指定法人等への引渡見込書）(t),特定分別基準適合物の量の見込み（内、区市町村独自処理予定量）(t),特定分別基準適合物の量の見込み（内、区市町村独自処理予定量）(t),特定分別基準適合物の量の見込み（内、区市町村独自処理予定量）(t),特定分別基準適合物の量の見込み（内、区市町村独自処理予定量）(t),特定分別基準適合物の量の見込み（内、区市町村独自処理予定量）(t)
市町村コード,区市町村名,29,30,31,32,33,29,30,31,32,33,29,30,31,32,33
101,千代田区,409,412,413,415,417,409,412,413,415,417,0,0,0,0,0
102,中央区,782,822,863,907,933,782,822,863,907,933,0,0,0,0,0
103,港区,1050,1070,1091,1117,1139,1050,1070,1091,1117,1139,0,0,0,0,0
104,新宿区,1349,1366,1383,1400,1417,0,0,0,0,0,1349,1366,1383,1400,1417
105,文京区,830,840,851,861,872,622,630,638,646,654,208,210,213,215,218
106,台東区,1048,1118,1187,1269,1348,0,0,0,0,0,1048,1118,1187,1269,1348
107,墨田区,996,1003,1009,1015,1021,996,1003,1009,1015,1021,0,0,0,0,0
108,江東区,1944,1971,1995,2022,2047,1944,1971,1995,2022,2047,0,0,0,0,0
109,品川区,1560,1564,1579,1584,1589,1545,1549,1564,1569,1574,15,15,15,15,15
110,目黒区,1165,1195,1228,1227,1281,1165,1195,1228,1227,1281,0,0,0,0,0
111,大田区,2563,2576,2596,2601,2612,0,0,0,0,0,2563,2576,2596,2601,2612
112,世田谷区,2398,2398,2405,2401,2404,2398,2398,2405,2401,2404,0,0,0,0,0
113,渋谷区,960,950,941,932,923,0,0,0,0,0,960,950,941,932,923
114,中野区,1103,1120,1138,1154,1172,945,945,946,946,947,158,175,192,208,225
115,杉並区,1866,1866,1866,1866,1866,616,616,616,616,616,1250,1250,1250,1250,1250
116,豊島区,1545,1576,1592,1592,1608,0,0,0,0,0,1545,1576,1592,1592,1608
117,北区,1360,1373,1376,1378,1380,0,0,0,0,0,1360,1373,1376,1378,1380
118,荒川区,724,738,748,761,768,724,738,748,761,768,0,0,0,0,0
119,板橋区,1950,1953,1957,1961,1960,975,977,979,981,980,975,976,978,980,980
120,練馬区,2000,1963,1926,1891,1856,600,589,578,567,557,1400,1374,1348,1324,1299
121,足立区,2724,2730,2735,2736,2734,0,0,0,0,0,2724,2730,2735,2736,2734
122,葛飾区,1410,1409,1407,1406,1404,0,0,0,0,0,1410,1409,1407,1406,1404
123,江戸川区,2486,2506,2501,2521,2536,2486,2506,2501,2521,2536,0,0,0,0,0
201,八王子市,1589,1588,1587,1585,1581,1589,1588,1587,1585,1581,0,0,0,0,0
