,A車,B車,C車
3回測定後の充電電力(kWh),3.06,－,4.63
1回当たりの充電電力(kWh),1.02,－,1.54
積込みの消費電力(1回当たり)(kWh(Ah)),0.719,0.709,0.739（10.27）
排出の消費電力(1回当たり)(kWh(Ah)),0.080,0.087,0.089（1.24）
合計の消費電力(1回当たり)(kWh(Ah)),0.799,0.796,0.828（8.17）
