,,特定分別基準適合物の量の見込み(t),特定分別基準適合物の量の見込み(t),特定分別基準適合物の量の見込み(t),特定分別基準適合物の量の見込み(t),特定分別基準適合物の量の見込み(t),特定分別基準適合物の量の見込み（内、指定法人等への引渡見込書）(t),特定分別基準適合物の量の見込み（内、指定法人等への引渡見込書）(t),特定分別基準適合物の量の見込み（内、指定法人等への引渡見込書）(t),特定分別基準適合物の量の見込み（内、指定法人等への引渡見込書）(t),特定分別基準適合物の量の見込み（内、指定法人等への引渡見込書）(t),特定分別基準適合物の量の見込み（内、区市町村独自処理予定量）(t),特定分別基準適合物の量の見込み（内、区市町村独自処理予定量）(t),特定分別基準適合物の量の見込み（内、区市町村独自処理予定量）(t),特定分別基準適合物の量の見込み（内、区市町村独自処理予定量）(t),特定分別基準適合物の量の見込み（内、区市町村独自処理予定量）(t)
市町村コード,区市町村名,29,30,31,32,33,29,30,31,32,33,29,30,31,32,33
101,千代田区,488,488,488,488,488,488,488,488,488,488,0,0,0,0,0
102,中央区,570,600,629,662,680,569,599,628,661,679,1,1,1,1,1
103,港区,2287,2332,2377,2435,2481,1745,1779,1814,1858,1893,542,552,563,577,588
104,新宿区,1871,1894,1918,1941,1965,1870,1893,1917,1940,1964,1,1,1,1,1
105,文京区,4,4,5,5,6,2,2,2,2,3,2,2,3,3,3
106,台東区,49,53,56,60,64,0,0,0,0,0,49,53,56,60,64
107,墨田区,28,28,28,28,28,16,16,16,16,16,12,12,12,12,12
108,江東区,2454,2488,2519,2552,2583,2256,2287,2316,2346,2375,198,200,203,206,208
109,品川区,1186,1213,1216,1219,1224,1186,1213,1216,1219,1224,0,0,0,0,0
110,目黒区,1470,1393,1319,1236,1155,1470,1393,1319,1236,1155,0,0,0,0,0
111,大田区,114,114,114,114,114,0,0,0,0,0,114,114,114,114,114
112,世田谷区,19,18,17,16,16,1,1,1,1,1,18,17,16,15,15
113,渋谷区,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1
114,中野区,2348,2427,2505,2584,2663,2348,2427,2505,2584,2663,0,0,0,0,0
115,杉並区,4411,4416,4420,4425,4429,4367,4372,4376,4381,4385,44,44,44,44,44
116,豊島区,277,282,285,285,288,0,0,0,0,0,277,282,285,285,288
117,北区,3,4,4,5,6,0,0,0,0,0,3,4,4,5,6
118,荒川区,26,27,29,31,32,0,0,0,0,0,26,27,29,31,32
119,板橋区,58,61,64,68,72,0,0,0,0,0,58,61,64,68,72
120,練馬区,4608,4608,4608,4608,4608,4562,4562,4562,4562,4562,46,46,46,46,46
121,足立区,4,4,4,4,4,0,0,0,0,0,4,4,4,4,4
122,葛飾区,2652,2650,2648,2645,2642,2585,2583,2581,2578,2575,67,67,67,67,67
123,江戸川区,2612,2617,2623,2628,2628,2612,2617,2623,2628,2628,0,0,0,0,0
201,八王子市,5077,5072,5068,5064,5051,4972,4967,4964,4961,4949,105,105,104,103,102
