区市町村名,分別回収,拠点回収,ピックアップ,イベント回収,窓口回収,その他,概要,回収場所等,対象品目,令和元年度上半期回収実績
千代田区,,〇,,,,,区施設に、回収ボックスを設置し、投入口（30センチ×15センチ）に入る小型家電を、直接投函による回収（17か所）,千代田区役所２Ｆ総合窓口課、麹町出張所、富士見出張所、神保町出張所、神田公園出張所ストックヤード、和泉橋出張所ストックヤード、ちよだパークサイドプラザ、スポーツセンター、九段生涯学習館、四番町図書館、昌平まちかど図書館、神田まちかど図書館、西神田コスモス館ストックヤード、千代田清掃事務所、飯田橋車庫、障害者福祉センター、いきいきプラザ一番町,（主な品目）携帯電話、スマートフォン、デジタルカメラ、ビデオカメラ、電話機、カーナビ、携帯ゲーム機、電卓、携帯音楽プレーヤー、ＡＣアダプター、ドライヤー、電気カミソリ、ＩＣレコーダー、ラジオ等,携帯電話 51.8kg／その他 1144.5kg
千代田区,,,,,〇,,小型家電（回収ボックス投入口【30センチ×15センチ】を通るもの）を、窓口での対面回収(2か所）,千代田区役所５階安全生活課窓口、万世橋出張所窓口,（主な品目）携帯電話、スマートフォン、デジタルカメラ、ビデオカメラ、電話機、カーナビ、携帯ゲーム機、電卓、携帯音楽プレーヤー、ＡＣアダプター、ドライヤー、電気カミソリ、ＩＣレコーダー、ラジオ等,携帯電話 51.8kg／その他 1144.5kg
千代田区,,,,〇,,,区イベント「環境まつり」、あおぞら・ふれあい相談回収において、会場内に回収ボックスを設置し、投入口（30センチ×15センチ）に入る小型家電を、直接投函による回収を行った。,千代田区役所１Ｆ区民ホール、ほほえみプラザ他,（主な品目）携帯電話、スマートフォン、デジタルカメラ、ビデオカメラ、電話機、カーナビ、携帯ゲーム機、電卓、携帯音楽プレーヤー、ＡＣアダプター、ドライヤー、電気カミソリ、ＩＣレコーダー、ラジオ等,携帯電話0.2kg／その他8.3kg
中央区,,〇,,,,,区施設に設置したボックスの投入口（10センチ×25センチ）に入る小型家電を回収するとともに、資源の拠点回収（毎週土曜日）の対象品目としても同基準により回収している。,(常設)リサイクルハウスかざぐるま明石町、リサイクルハウスかざぐるま箱崎町、区役所本庁舎、中央清掃事務所、日本橋特別出張所、月島特別出張所　の6か所／(土曜日のみ)城東小学校、泰明小学校、中央小学校、明石小学校、京橋築地小学校、明正小学校、銀座中学校、常盤小学校、日本橋小学校、有馬小学校、久松小学校、阪本小学校、日本橋中学校、佃島小学校、月島第一小学校、月島第二小学校、月島第三小学校、豊海小学校　の18か所,10cm×25cm以下の小型家電／【例】携帯電話、携帯音楽プレーヤー、携帯ゲーム機、デジタルカメラ、ポータブルビデオカメラ、ポータブルカーナビ、電子辞書、卓上計算機、ＡＣアダプター、タブレット端末、ＩＣレコーダー、ＵＳＢメモリー・メモリーカード、電話機、ラジオ、ドライヤー、電気かみそり、リモコンなど,携帯電話74.451kg／ﾃﾞｼﾞﾀﾙ小型家電1427.15kg
中央区,,,〇,,,,粗大ごみとして回収した後、区の中継所にてピックアップしている,月島粗大中継所,電子レンジ、DVDプレーヤー、炊飯器等,粗大系小型家電5280kg
中央区,,,,〇,,,区イベント「エコまつり」にて、ボックスの投入口（10センチ×25センチ）に入る小型家電の回収を行った。,区立あかつき公園,10cm×25cm以下の小型家電／【例】携帯電話、携帯音楽プレーヤー、携帯ゲーム機、デジタルカメラ、ポータブルビデオカメラ、ポータブルカーナビ、電子辞書、卓上計算機、ＡＣアダプター、タブレット端末、ＩＣレコーダー、ＵＳＢメモリー・メモリーカード、電話機、ラジオ、ドライヤー、電気かみそり、リモコンなど,0kg
港区,,〇,,,,,区の施設にボックスを設置し、対象品目を限定して、区民に直接投函してもらう,各地区総合支所６、エコプラザ、みなとリサイクル清掃事務所、いきいきプラザ４、区民センター１　の合計13か所,携帯電話、携帯音楽プレーヤー、携帯ゲーム機器、デジタルカメラ、ポータブルビデオカメラ、ポータブルカーナビ、電子手帳、卓上計算機、ＡＣアダプター等のコード類,携帯電話 241kg／その他   967kg
港区,,,〇,,,,不燃ごみ及び粗大ごみとして収集した後、区の中継所にてピックアップしている,芝浦清掃作業所、新堀粗大ごみ中継所の２か所,携帯電話、デジタルカメラ、電子レンジ、プリンター、ビデオデッキ、掃除機、扇風機、炊飯器、自転車　等,不燃ごみ 281.2t／コード類  14.3t／粗大ごみ 172.5t
港区,,,,〇,,,おまつりやイベントでブースやテントスペースを設け資源回収を実施,各地区総合支所管内（５か所）での資源回収イベント会場,携帯電話、携帯音楽プレーヤー、携帯ゲーム機器、デジタルカメラ、ポータブルビデオカメラ、ポータブルカーナビ、電子手帳、卓上計算機、ＡＣアダプター等のコード類,29.5kg
新宿区,,,〇,,,,粗大ごみとして回収した後、中継所にてピックアップしている。ピックアップは豊島区と協同で処理を行っている,豊島区東池袋粗大ごみ中継所,電子レンジ、プリンター、ビデオデッキ、掃除機、扇風機、オーディオ機器　等,74576.0 kg
新宿区,,,〇,,,,区内の資源・ごみ集積所から金属・陶器ガラスごみ（不燃系）を収集後、手作業により選別している,新宿中継・資源センター、新宿清掃事務所,小型家電リサイクル法に定める制度対象品目全て,167347.0 kg
