車両,測定条件,測定回(回目),CO2(/回),NOx(g/回),燃費(km/L)
A車,疑似ごみ積込み有(★）,1,521.5,3.54,4.73
A車,疑似ごみ積込み有(★）,2,508.9,3.46,4.86
A車,疑似ごみ積込み有(★）,3,504.0,3.32,4.92
A車,疑似ごみ積込み有(★）,平均,511.5,3.44,4.84
A車,疑似ごみ積込みなし,1,761.8,3.12,3.25
A車,疑似ごみ積込みなし（★）,1,512.8,3.07,4.81
B車,疑似ごみ積込み有（★）,3,1010.4,5.46,2.45
B車,疑似ごみ積込みなし,1,740.0,3.26,3.34
B車,疑似ごみ積込みなし（★）,1,542.5,2.94,4.49
C車,疑似ごみ積込み有（★）,2,516.4,2.79,4.82
C車,疑似ごみ積込み有（★）,3,513.9,2.73,4.89
C車,疑似ごみ積込み有（★）,平均,515.2,2.76,4.86
C車,疑似ごみ積込みなし,1,701.9,3.12,3.54
C車,疑似ごみ積込みなし（★）,1,503.6,2.46,4.91
現行パッカー車,疑似ごみ積込み有,1,1480.3,10.46,1.69
現行パッカー車,疑似ごみ積込み有,2,1477.4,10.26,1.68
現行パッカー車,疑似ごみ積込み有,3,1454.0,10.31,1.72
現行パッカー車,疑似ごみ積込み有,平均,1470.6,10.34,1.70
現行パッカー車,疑似ごみ積込みなし,1,675.2,2.83,3.67
現行パッカー車,疑似ごみ積込みなし（★）,1,482.2,2.43,5.11
