"
",電動パッカー車／Ａ車,電動パッカー車／Ｂ車,電動パッカー車／Ｃ車,現行パッカー車
ごみ収集作業時の作業回数当たり排出量(g/回),511.5,1010.4,515.2,1470.6
ごみ収集作業回数(回),6,6,6,6
ごみ収集作業時の排出量(g)：(1),3069.0,6062.4,3091.2,8823.6
一般道路走行時の距離当たり排出量／積載なし(g/km),357.8,355.5,342.4,320.6
一般道路走行距離／積載なし(km),25,25,25,25
一般道路走行時の排出量／積載なし(g)：(2),8945.0,8887.5,8560.0,8015.0
一般道路走行時の距離当たり排出量／満積載(g/km),416.0,403.5,387.1,369.9
一般道路走行距離／満積載(km),25,25,25,25
一般道路走行時の排出量／満積載(g)：(3),10400.0,10087.5,9677.5,9247.5
一般道路走行時の排出量合計：(4)=(2)+(3),19345.0,18975.0,18237.5,17262.5
充電時の作業回数当たり充電電力(kWh/回),1.02,0,1.54,0
充電時の作業回数(回),6,0,6,0
充電時の電力の排出係数(g/kWh),382,382,382,382
充電時の排出量(g)：(5),2337.8,0.0,3529.7,0.0
1日の排出量合計(g)：(1)+(4)+(5),24751.8,25037.4,24858.4,26086.1
現行パッカー車と比較した削減率,5.1%,4.0%,4.7%,－
