,,,,,,,,,（単位：TEU）,
航路別,合計,,,出貨,,,入貨,,,
,計,実入,空,計,実入,空,計,実入,空,
合計,"5,047,883 ","3,692,975 ","1,354,908 ","2,468,585 ","1,150,340 ","1,318,245 ","2,579,298 ","2,542,635 ","36,663 ",
外航計,"4,500,302 ","3,400,739 ","1,099,563 ","2,074,794 ","989,439 ","1,085,355 ","2,425,508 ","2,411,300 ","14,208 ",
外航定期計,"4,500,302 ","3,400,739 ","1,099,563 ","2,074,794 ","989,439 ","1,085,355 ","2,425,508 ","2,411,300 ","14,208 ",
世界一周,-,-,-,-,-,-,-,-,-,
北米西岸(メキシコ含む),"662,036 ","491,911 ","170,125 ","355,774 ","191,234 ","164,540 ","306,262 ","300,677 ","5,585 ",
北米東岸(カリビア海含む),"166,692 ","140,605 ","26,087 ","95,142 ","69,203 ","25,939 ","71,550 ","71,402 ",148 ,
北欧・地中海,"238,123 ","214,142 ","23,981 ","117,526 ","93,958 ","23,568 ","120,597 ","120,184 ",413 ,
南米西岸,"61,759 ","49,739 ","12,020 ","13,504 ","1,860 ","11,644 ","48,255 ","47,879 ",376 ,
南米東岸,-,-,-,-,-,-,-,-,-,
南米東岸･南ア経由,-,-,-,-,-,-,-,-,-,
アフリカ,-,-,-,-,-,-,-,-,-,
オセアニア,"32,458 ","21,030 ","11,428 ","14,747 ","3,325 ","11,422 ","17,711 ","17,705 ",6 ,
印パ･ペルシャ･ベンガル,"113,404 ","106,838 ","6,566 ","72,963 ","66,452 ","6,511 ","40,441 ","40,386 ",55 ,
東南アジア,"1,459,065 ","1,229,046 ","230,019 ","552,654 ","326,051 ","226,603 ","906,411 ","902,995 ","3,416 ",
台湾,-,-,-,-,-,-,-,-,-,
韓国,"195,956 ","138,825 ","57,131 ","94,095 ","38,684 ","55,411 ","101,861 ","100,141 ","1,720 ",
中国(香港含む),"1,570,809 ","1,008,603 ","562,206 ","758,389 ","198,672 ","559,717 ","812,420 ","809,931 ","2,489 ",
ナホトカ,-,-,-,-,-,-,-,-,-,
外航不定期,-,-,-,-,-,-,-,-,-,
内航計,"547,581 ","292,236 ","255,345 ","393,791 ","160,901 ","232,890 ","153,790 ","131,335 ","22,455 ",
内航定期計,"231,709 ","188,407 ","43,302 ","118,394 ","94,326 ","24,068 ","113,315 ","94,081 ","19,234 ",
北海道,"76,850 ","73,221 ","3,629 ","38,805 ","37,913 ",892 ,"38,045 ","35,308 ","2,737 ",
東北,"51,317 ","37,507 ","13,810 ","29,422 ","17,101 ","12,321 ","21,895 ","20,406 ","1,489 ",
関東,-,-,-,-,-,-,-,-,-,
伊豆諸島,-,-,-,-,-,-,-,-,-,
中部,"24,140 ","15,735 ","8,405 ","9,672 ","1,268 ","8,404 ","14,468 ","14,467 ",1 ,
近畿,"10,470 ","7,451 ","3,019 ","3,176 ",869 ,"2,307 ","7,294 ","6,582 ",712 ,
中国,-,-,-,-,-,-,-,-,-,
四国,-,-,-,-,-,-,-,-,-,
九州,"25,655 ","25,638 ",17 ,"12,631 ","12,617 ",14 ,"13,024 ","13,021 ",3 ,
沖縄,"43,277 ","28,855 ","14,422 ","24,688 ","24,558 ",130 ,"18,589 ","4,297 ","14,292 ",
内航不定期,"315,871 ","103,827 ","212,044 ","275,397 ","66,575 ","208,822 ","40,474 ","37,252 ","3,222 ",
,,,,,,,,,,
（注）オセアニアは豪州・ニュージーランド・南太平洋諸島,,,,,,,,,,
*単位未満の数は四捨五入しているため、総数と内訳の合計と一致しない場合がある。,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
