,,,,,,,,,(単位：トン）,,,,,,,
19,鉄鉱石,294,21,273,"1,440",-,"1,440","-1,146",20.4%,,,,,,,
20,金属鉱,"5,715",70,"5,645","7,523",1,"7,522","-1,808",76.0%,,,,,,,
21,砂利、砂,"14,120",793,"13,327","6,742",161,"6,581","7,378",209.4%,,,,,,,
22,石材,"105,004","1,359","103,645","114,080",979,"113,101","-9,076",92.0%,,,,,,,
23,原油,"2,250",-,"2,250","2,146",46,"2,100",104,104.8%,,,,,,,
24,りん鉱石,57,-,57,-,-,-,57,-,,,,,,,
25,石灰石,854,-,854,"1,296",-,"1,296",-442,65.9%,,,,,,,
26,原塩,"5,130",55,"5,075","3,303",220,"3,083","1,827",155.3%,,,,,,,
27,非金属鉱物,"135,968","15,791","120,177","106,742","12,354","94,388","29,226",127.4%,,,,,,,
金属機械工業品,,"13,163,642","5,207,835","7,955,807","12,580,579","4,921,080","7,659,499","583,063",104.6%,,,,,,,
28,鉄鋼,"75,891","27,465","48,426","50,788","15,324","35,464","25,103",149.4%,,,,,,,
29,鋼材,"370,439","274,169","96,270","351,747","261,260","90,487","18,692",105.3%,,,,,,,
30,非鉄金属,"273,173","114,454","158,719","262,721","121,595","141,126","10,452",104.0%,,,,,,,
31,金属製品,"1,590,353","289,621","1,300,732","1,487,308","255,165","1,232,143","103,045",106.9%,,,,,,,
32,鉄道車両,"3,017",841,"2,176","2,064",647,"1,417",953,146.2%,,,,,,,
33,完成自動車,"105,979","83,023","22,956","104,917","89,789","15,128","1,062",101.0%,,,,,,,
34,その他の輸送用車両,"81,396","3,123","78,273","73,288","2,133","71,155","8,108",111.1%,,,,,,,
35,二輪自動車,"54,533","8,826","45,707","43,467","5,094","38,373","11,066",125.5%,,,,,,,
36,自動車部品,"2,235,557","1,479,481","756,076","2,245,808","1,517,068","728,740","-10,251",99.5%,,,,,,,
37,その他輸送機械,"383,296","45,419","337,877","362,600","49,521","313,079","20,696",105.7%,,,,,,,
38,産業機械,"3,371,195","1,923,367","1,447,828","3,046,011","1,694,952","1,351,059","325,184",110.7%,,,,,,,
39,電気機械,"3,877,151","727,573","3,149,578","3,823,917","677,339","3,146,578","53,234",101.4%,,,,,,,
40,測量・光学・医療器械,"495,498","177,547","317,951","471,243","170,001","301,242","24,255",105.1%,,,,,,,
41,事務用機械,"198,424","38,233","160,191","195,015","35,026","159,989","3,409",101.7%,,,,,,,
42,その他機械,"47,740","14,693","33,047","59,685","26,166","33,519","-11,945",80.0%,,,,,,,
化学工業品,,"5,843,737","2,377,143","3,466,594","5,463,518","2,273,998","3,189,520","380,219",107.0%,,,,,,,
43,陶磁器,"155,896","10,180","145,716","149,146","9,758","139,388","6,750",104.5%,,,,,,,
44,セメント,"21,322","8,629","12,693","17,357","9,507","7,850","3,965",122.8%,,,,,,,
45,ガラス類,"203,514","69,108","134,406","169,933","73,716","96,217","33,581",119.8%,,,,,,,
46,窯業品,"354,713","109,848","244,865","332,195","101,213","230,982","22,518",106.8%,,,,,,,
47,重油,-,-,-,-,-,-,-,-,,,,,,,
48,石油製品,"36,674","20,855","15,819","32,505","22,964","9,541","4,169",112.8%,,,,,,,
49,LNG/液化天然ガス,318,-,318,-,-,-,318,-,,,,,,,
50,LPG/液化石油ガス,-,-,-,-,-,-,-,-,,,,,,,
51,その他石油製品,"23,538","9,308","14,230","25,841","9,381","16,460","-2,303",91.1%,,,,,,,
52,コークス,"9,096",-,"9,096","6,974",170,"6,804","2,122",130.4%,,,,,,,
53,石炭製品,"8,244","7,824",420,"11,372","10,641",731,"-3,128",72.5%,,,,,,,
54,化学薬品,"948,302","315,884","632,418","891,280","298,620","592,660","57,022",106.4%,,,,,,,
55,化学肥料,"53,508","4,102","49,406","53,140","7,611","45,529",368,100.7%,,,,,,,
56,その他化学工業品,"4,028,612","1,821,405","2,207,207","3,773,775","1,730,417","2,043,358","254,837",106.8%,,,,,,,
軽工業品,,"5,705,577","694,938","5,010,639","5,390,599","645,826","4,744,773","314,978",105.8%,,,,,,,
57,紙、パルプ,"1,144,885","332,985","811,900","1,121,436","294,417","827,019","23,449",102.1%,,,,,,,
58,糸及び紡績半製品,"72,221","7,420","64,801","91,054","10,947","80,107","-18,833",79.3%,,,,,,,
59,その他繊維工業品,"407,020","61,392","345,628","382,384","56,022","326,362","24,636",106.4%,,,,,,,
60,砂糖,"57,248",511,"56,737","44,395",535,"43,860","12,853",129.0%,,,,,,,
61,製造食品,"2,734,281","242,776","2,491,505","2,492,446","236,952","2,255,494","241,835",109.7%,,,,,,,
62,飲料,"835,528","44,667","790,861","787,365","42,877","744,488","48,163",106.1%,,,,,,,
63,水,"195,419","4,205","191,214","214,543","3,316","211,227","-19,124",91.1%,,,,,,,
64,たばこ,"81,049",198,"80,851","83,040",130,"82,910","-1,991",97.6%,,,,,,,
65,その他食料工業品,"177,926",784,"177,142","173,936",630,"173,306","3,990",102.3%,,,,,,,
雑工業品,,"11,529,818","1,188,625","10,341,193","11,028,199","1,197,131","9,831,068","501,619",104.5%,,,,,,,
66,がん具,"660,434","17,877","642,557","619,412","18,104","601,308","41,022",106.6%,,,,,,,
67,衣服、身廻品、はきもの,"4,794,432","178,084","4,616,348","4,631,384","201,277","4,430,107","163,048",103.5%,,,,,,,
68,文房具、運動娯楽用品、楽器,"814,422","125,446","688,976","802,833","129,392","673,441","11,589",101.4%,,,,,,,
69,家具装備品,"2,200,547","97,633","2,102,914","2,167,863","112,322","2,055,541","32,684",101.5%,,,,,,,
70,その他日用品,"582,439","123,266","459,173","546,755","127,998","418,757","35,684",106.5%,,,,,,,
71,ゴム製品,"793,960","366,336","427,624","725,995","359,225","366,770","67,965",109.4%,,,,,,,
72,木製品,"1,134,884","10,503","1,124,381","1,052,028","12,722","1,039,306","82,856",107.9%,,,,,,,
73,その他製造工業品,"548,700","269,480","279,220","481,929","236,091","245,838","66,771",113.9%,,,,,,,
特殊品,,"6,056,891","3,067,589","2,989,302","6,245,101","3,351,828","2,893,273","-188,210",97.0%,,,,,,,
74,金属くず,"137,554","71,863","65,691","133,653","76,957","56,696","3,901",102.9%,,,,,,,
75,再利用資材,"2,452,301","2,404,593","47,708","2,629,985","2,579,333","50,652","-177,684",93.2%,,,,,,,
76,動植物性製造飼肥料,"1,076,276","17,190","1,059,086","925,917","11,709","914,208","150,359",116.2%,,,,,,,
77,廃棄物,-,-,-,-,-,-,-,-,,,,,,,
78,廃土砂,-,-,-,-,-,-,-,-,,,,,,,
79,輸送用容器,"1,215,559","185,219","1,030,340","1,181,243","189,147","992,096","34,316",102.9%,,,,,,,
80,取合せ品,"1,175,201","388,724","786,477","1,374,303","494,682","879,621","-199,102",85.5%,,,,,,,
分類不能のもの,,-,-,-,-,-,-,-,-,,,,,,,
