,,,,,,(単位：隻、総トン）
トン数階級別,計,,外航船,,内航船,
,隻数,総トン数,隻数,総トン数,隻数,総トン数
合計,"23,604 ","174,745,700 ","5,355 ","130,776,662 ","18,249 ","43,969,038 "
500トン未満,"9,897 ","3,743,538 ",-,-,"9,897 ","3,743,538 "
5～99,168 ,"13,291 ",-,-,168 ,"13,291 "
100～199,"1,832 ","319,126 ",-,-,"1,832 ","319,126 "
200～299,"1,710 ","437,119 ",-,-,"1,710 ","437,119 "
300～399,299 ,"108,680 ",-,-,299 ,"108,680 "
400～499,"5,888 ","2,865,322 ",-,-,"5,888 ","2,865,322 "
500トン以上5000トン未満,"5,410 ","8,952,488 ",149 ,"514,282 ","5,261 ","8,438,206 "
500～699,"1,017 ","645,621 ",-,-,"1,017 ","645,621 "
700～999,"1,907 ","1,432,327 ",-,-,"1,907 ","1,432,327 "
"1,000～1,999",861 ,"1,194,729 ",33 ,"56,836 ",828 ,"1,137,893 "
"2,000～2,999",813 ,"2,107,441 ",18 ,"45,526 ",795 ,"2,061,915 "
"3,000～3,999",295 ,"1,062,202 ",44 ,"158,099 ",251 ,"904,103 "
"4,000～4,999",517 ,"2,510,168 ",54 ,"253,821 ",463 ,"2,256,347 "
"5,000トン以上10,000トン未満","3,663 ","31,553,971 ","2,366 ","21,907,382 ","1,297 ","9,646,589 "
"5,000～5,999",556 ,"3,123,545 ",28 ,"152,052 ",528 ,"2,971,493 "
"6,000～6,999",128 ,"833,065 ",92 ,"595,425 ",36 ,"237,640 "
"7,000～7,999",509 ,"3,780,040 ",256 ,"1,899,418 ",253 ,"1,880,622 "
"8,000～8,999",249 ,"2,083,520 ",151 ,"1,297,467 ",98 ,"786,053 "
"9,000～9,999","2,221 ","21,733,801 ","1,839 ","17,963,020 ",382 ,"3,770,781 "
"10,000トン以上30,000トン未満","3,338 ","54,949,936 ","1,549 ","33,059,941 ","1,789 ","21,889,995 "
"10,000～19,999","2,639 ","36,280,959 ",862 ,"14,677,116 ","1,777 ","21,603,843 "
"20,000～29,999",699 ,"18,668,977 ",687 ,"18,382,825 ",12 ,"286,152 "
"30,000トン以上60,000トン未満",801 ,"35,829,853 ",796 ,"35,579,143 ",5 ,"250,710 "
"30,000～39,999",197 ,"6,764,691 ",197 ,"6,764,691 ",-,-
"40,000～49,999",361 ,"15,423,916 ",361 ,"15,423,916 ",-,-
"50,000～59,999",243 ,"13,641,246 ",238 ,"13,390,536 ",5 ,"250,710 "
"60,000トン以上",495 ,"39,715,914 ",495 ,"39,715,914 ",-,-
,,,,,,
*入港最大船舶,船名,MOL BEACON,,,"113,042",トン
,,MOL BEAUTY,,,"113,042",
,,MOL BREEZE,,,"113,042",
,,MOL BRIGHTNESS,,,"113,042",
,,MOL BRILLIANCE,,,"113,042",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
