,,,,,,,,,(単位：トン）,,
品種,,平成29年(2017年),0,0,平成28年(2016年),0,0,前年比較,,,
,,計,移出,移入,計,移出,移入,計：増減,前年比,,
合計,,"40,663,990","15,791,781","24,872,209","37,851,778","14,295,663","23,556,115","2,812,212",107.4%,,
農水産品,,"346,335","165,668","180,667","303,535","144,191","159,344","42,800",114.1%,,
1,麦,"92,057","10,336","81,721","44,743","10,510","34,233","47,314",205.7%,,
2,米,"19,444","11,574","7,870","18,245","11,751","6,494","1,199",106.6%,,
3,とうもろこし,830,815,15,"5,669","1,484","4,185","-4,839",14.6%,,
4,豆類,"14,004","9,249","4,755","8,625","3,025","5,600","5,379",162.4%,,
5,その他雑穀,"1,360",695,665,755,485,270,605,180.1%,,
6,野菜、果物,"123,392","72,622","50,770","131,068","62,986","68,082","-7,676",94.1%,,
7,綿花,150,150,-,90,90,-,60,166.7%,,
8,その他農産品,"17,734","12,767","4,967","13,393","3,828","9,565","4,341",132.4%,,
9,羊毛,22,22,-,73,58,15,-51,30.1%,,
10,その他畜産品,"26,412","21,167","5,245","24,631","17,801","6,830","1,781",107.2%,,
11,水産品,"50,930","26,271","24,659","56,243","32,173","24,070","-5,313",90.6%,,
林産品,,"78,493","49,783","28,710","74,359","46,497","27,862","4,134",105.6%,,
12,原木,40,-,40,110,-,110,-70,36.4%,,
13,製材,"54,875","37,687","17,188","48,903","33,783","15,120","5,972",112.2%,,
14,樹脂類,"17,196","8,080","9,116","20,073","10,160","9,913","-2,877",85.7%,,
15,木材チップ,870,-,870,"1,430",-,"1,430",-560,60.8%,,
16,その他林産品,"5,242","3,786","1,456","3,608","2,354","1,254","1,634",145.3%,,
17,薪炭,270,230,40,235,200,35,35,114.9%,,
鉱産品,,"5,591,528","58,550","5,532,978","5,068,393","100,809","4,967,584","523,135",110.3%,,
18,石炭,"30,833","13,627","17,206","21,535","5,438","16,097","9,298",143.2%,,
19,鉄鉱石,-,-,-,20,20,-,-20,-,,
20,金属鉱,725,705,20,"4,555","2,280","2,275","-3,830",15.9%,,
21,砂利、砂,"4,289,006","27,525","4,261,481","3,841,861","64,743","3,777,118","447,145",111.6%,,
22,石材,"869,639","3,632","866,007","663,738","6,018","657,720","205,901",131.0%,,
23,原油,30,30,-,"53,000",-,"53,000","-52,970",0.1%,,
24,りん鉱石,-,-,-,-,-,-,-,-,,
25,石灰石,"343,743","2,150","341,593","291,045","5,255","285,790","52,698",118.1%,,
26,原塩,"4,300",70,"4,230","5,395",35,"5,360","-1,095",79.7%,,
27,非金属鉱物,"53,252","10,811","42,441","187,244","17,020","170,224","-133,992",28.4%,,
金属機械工業品,,"15,453,894","8,413,358","7,040,536","14,252,494","7,647,666","6,604,828","1,201,400",108.4%,,
28,鉄鋼,"12,256",475,"11,781","7,710",535,"7,175","4,546",159.0%,,
29,鋼材,"1,095,823","14,764","1,081,059","1,053,894","16,755","1,037,139","41,929",104.0%,,
30,非鉄金属,"54,473","4,192","50,281","44,304","6,561","37,743","10,169",123.0%,,
31,金属製品,"85,766","49,310","36,456","66,926","41,653","25,273","18,840",128.2%,,
32,鉄道車両,10,10,-,-,-,-,10,-,,
33,完成自動車,"13,306,457","7,820,926","5,485,531","12,224,987","7,071,044","5,153,943","1,081,470",108.8%,,
34,その他の輸送用車両,"26,842","13,494","13,348","37,133","15,285","21,848","-10,291",72.3%,,
35,二輪自動車,"1,679",694,985,913,231,682,766,183.9%,,
36,自動車部品,"113,191","30,931","82,260","95,599","33,814","61,785","17,592",118.4%,,
37,その他輸送機械,"204,318","78,815","125,503","206,228","80,460","125,768","-1,910",99.1%,,
38,産業機械,"309,763","204,141","105,622","277,794","185,833","91,961","31,969",111.5%,,
39,電気機械,"84,918","57,807","27,111","74,391","56,933","17,458","10,527",114.2%,,
40,測量・光学・医療器械,"17,124","11,177","5,947","24,014","13,567","10,447","-6,890",71.3%,,
41,事務用機械,"116,709","115,849",860,"114,242","113,732",510,"2,467",102.2%,,
42,その他機械,"24,565","10,773","13,792","24,359","11,263","13,096",206,100.8%,,
