,,,,,,,,(単位：隻、総トン）,,,
年次,合計,,外航船,,,,内航船,,,,
,,,計,,コンテナ船,,,,,,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,,,
平成元年(1989),"57,659","117,983,470","4,724","79,894,283","2,168","64,868,744","52,935","38,089,187",,,
　　 2年(1990),"55,934","125,507,500","4,915","85,038,055","2,423","70,077,928","51,019","40,469,445",,,
　　 3年(1991),"56,753","131,909,101","5,134","90,145,562","2,656","75,407,101","51,619","41,763,539",,,
　　 4年(1992),"54,387","133,462,166","5,374","92,201,815","2,713","75,987,249","49,013","41,260,351",,,
　　 5年(1993),"50,213","116,557,088","4,609","76,215,839","2,358","62,421,067","45,604","40,341,249",,,
　　 6年(1994),"48,882","122,801,795","4,709","81,616,589","2,645","68,460,656","44,173","41,185,206",,,
　　 7年(1995),"48,716","133,898,523","4,893","91,589,583","3,086","79,068,704","43,823","42,308,940",,,
　　 8年(1996),"46,279","140,214,228","4,787","98,292,551","3,245","86,364,328","41,492","41,921,677",,,
　　 9年(1997),"45,331","148,363,636","5,124","106,144,749","3,674","94,758,768","40,207","42,218,887",,,
　　10年(1998),"40,520","141,401,525","4,704","100,760,873","3,548","92,492,582","35,816","40,640,652",,,
　　11年(1999),"35,222","138,385,819","4,753","101,638,241","3,632","94,641,439","30,469","36,747,578",,,
　　12年(2000),"34,250","150,393,552","5,331","109,764,654","4,208","101,823,575","28,919","40,628,898",,,
　　13年(2001),"33,368","154,619,987","5,528","113,175,585","4,298","104,666,807","27,840","41,444,402",,,
　　14年(2002),"33,477","155,297,183","5,472","113,978,960","4,225","105,860,300","28,005","41,318,223",,,
　　15年(2003),"33,912","162,902,720","6,164","120,507,871","4,871","112,638,990","27,748","42,394,849",,,
　　16年(2004),"32,633","165,899,097","6,368","122,297,797","5,161","114,386,048","26,265","43,601,300",,,
    17年(2005),"32,180","172,458,854","6,827","129,384,364","5,569","121,663,426","25,353","43,074,490",,,
    18年(2006),"31,653","176,063,567","6,708","132,864,182","5,579","125,745,525","24,945","43,199,385",,,
    19年(2007),"31,322","174,532,001","6,460","132,960,502","5,417","126,627,585","24,862","41,571,499",,,
    20年(2008),"30,244","168,816,407","6,071","130,027,830","5,180","124,303,651","24,173","38,788,577",,,
    21年(2009),"28,118","160,782,381","5,925","124,578,247","5,064","118,789,185","22,193","36,204,134",,,
    22年(2010),"26,411","163,951,676","6,128","127,905,291","5,234","122,595,349","20,283","36,046,385",,,
    23年(2011),"26,358","167,762,720","6,157","129,045,754","5,389","123,673,313","20,201","38,716,966",,,
    24年(2012),"25,743","164,032,393","5,956","125,376,413","5,194","120,828,104","19,787","38,655,980",,,
    25年(2013),"26,095","165,370,385","5,731","125,343,709","5,073","120,233,824","20,364","40,026,676",,,
    26年(2014),"25,259","159,380,433","5,343","118,862,181","4,813","113,843,519","19,916","40,518,252",,,
    27年(2015),"23,997","161,235,534","5,240","119,868,419","4,816","115,252,878","18,757","41,367,115",,,
    28年(2016),"22,665","170,426,797","5,366","128,494,863","4,919","122,754,598","17,299","41,931,934",,,
平成29年(2017),"23,604","174,745,700","5,355","130,776,662","5,015","125,651,243","18,249","43,969,038",,,
1月,"1,818","13,499,840",421,"10,125,135",390,"9,545,400","1,397","3,374,705",,,
2月,"1,806","12,661,957",372,"9,304,989",353,"9,039,296","1,434","3,356,968",,,
3月,"2,103","14,774,581",461,"10,923,935",436,"10,727,775","1,642","3,850,646",,,
4月,"1,980","14,240,220",431,"10,667,022",402,"10,225,326","1,549","3,573,198",,,
5月,"1,968","14,958,933",463,"11,350,917",435,"10,975,906","1,505","3,608,016",,,
6月,"2,021","14,816,732",465,"11,272,140",434,"10,899,442","1,556","3,544,592",,,
7月,"2,087","15,194,722",463,"11,223,283",432,"10,800,034","1,624","3,971,439",,,
8月,"1,916","14,842,206",456,"11,144,715",430,"10,625,949","1,460","3,697,491",,,
9月,"1,952","14,626,820",455,"10,967,752",423,"10,524,148","1,497","3,659,068",,,
10月,"1,802","14,278,373",414,"10,681,810",391,"10,258,167","1,388","3,596,563",,,
11月,"2,077","15,632,910",486,"11,817,620",449,"11,189,225","1,591","3,815,290",,,
12月,"2,074","15,218,406",468,"11,297,344",440,"10,840,575","1,606","3,921,062",,,
前年比（％）,104.1%,102.5%,99.8%,101.8%,102.0%,102.4%,105.5%,104.9%,,,
前年比較増減,939,"4,318,903",-11,"2,281,799",96,"2,896,645",950,"2,037,104",,,
