,,(単位：隻、総トン）
国籍,隻数,総トン数
中国,"1,367","23,833,768"
(香港),"1,219","21,193,327"
パナマ,964,"36,091,918"
シンガポール,646,"16,589,453"
リベリア,482,"13,581,072"
韓国,381,"3,501,999"
アンティグア･バーブーダ,287,"2,796,646"
マーシャル諸島,246,"6,186,755"
バハマ,193,"3,579,490"
キプロス,174,"3,233,997"
マルタ,138,"2,926,659"
蘭領アンティル,85,"783,090"
モントセラト,82,"6,421,912"
ポルトガル,53,"2,146,848"
台湾,37,"838,400"
ドイツ,31,"2,002,092"
イギリス,28,"910,465"
日本,27,"2,295,644"
フィリピン,26,"755,560"
タイ,25,"621,809"
ベリーズ,22,"80,884"
イタリア,20,"1,293,364"
トーゴ,11,"27,425"
シエラレオネ,8,"35,098"
ノルウェー,4,"125,584"
ロシア,4,"15,659"
バヌアツ,3,"56,819"
キリバス,3,"13,557"
カナダ,2,"9,870"
マレーシア,1,"5,604"
ベトナム,1,"5,552"
ニュージーランド,1,"3,600"
ニウエ,1,"2,994"
メキシコ,1,"1,800"
その他,1,"1,275"
合計,"5,355","130,776,662"
