２　入港船舶数,,,
,,,
,,隻数,前年比
,　合計,"23,604",104.10%
,　　外航船,"5,355",99.80%
,　　　（コンテナ船）,"5,015",102.00%
,　　内航船,"18,249",105.50%
,　　　（カーフェリー）,352,101.70%
,　　　（コンテナ船）,"2,830",101.80%
