,,,,,,,,,,,,（単位：隻、総トン）,
,平成29年(2017年),,,,,,平成28年(2016年),,,,,,
係留施設,合計,,内航,,外航,,合計,,内航,,外航,,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,
合計,"23,604 ","174,745,700 ","18,249 ","43,969,038 ","5,355 ","130,776,662 ","22,665 ","170,426,797 ","17,299 ","41,931,934 ","5,366 ","128,494,863 ",
公共計,"12,050 ","62,019,581 ","9,956 ","34,462,993 ","2,094 ","27,556,588 ","11,676 ","60,329,324 ","9,580 ","33,443,020 ","2,096 ","26,886,304 ",
ドルフィン,39 ,"25,509 ",39 ,"25,509 ",-,-,43 ,"26,488 ",43 ,"26,488 ",-,-,
芝浦ふ頭,465 ,"1,063,247 ",465 ,"1,063,247 ",-,-,480 ,"1,115,417 ",480 ,"1,115,417 ",-,-,
芝浦物揚場,307 ,"121,336 ",307 ,"121,336 ",-,-,429 ,"162,542 ",429 ,"162,542 ",-,-,
日の出ふ頭,100 ,"67,045 ",100 ,"67,045 ",-,-,90 ,"65,431 ",90 ,"65,431 ",-,-,
竹芝ふ頭,"1,929 ","4,268,108 ","1,929 ","4,268,108 ",-,-,"1,827 ","4,159,996 ","1,827 ","4,159,996 ",-,-,
品川岸壁,"1,708 ","18,132,361 ",802 ,"9,384,237 ",906 ,"8,748,124 ","1,665 ","17,335,996 ",791 ,"9,168,516 ",874 ,"8,167,480 ",
　品川コンテナ,934 ,"8,547,961 ",51 ,"51,697 ",883 ,"8,496,264 ",910 ,"8,094,777 ",52 ,"50,410 ",858 ,"8,044,367 ",
　品川外貿,23 ,"251,860 ",-,-,23 ,"251,860 ",16 ,"123,113 ",-,-,16 ,"123,113 ",
　品川内貿,751 ,"9,332,540 ",751 ,"9,332,540 ",-,-,739 ,"9,118,106 ",739 ,"9,118,106 ",-,-,
晴海ふ頭,91 ,"1,573,373 ",70 ,"697,773 ",21 ,"875,600 ",83 ,"1,069,820 ",63 ,"423,473 ",20 ,"646,347 ",
月島ふ頭,45 ,"15,388 ",45 ,"15,388 ",-,-,50 ,"19,259 ",50 ,"19,259 ",-,-,
漁業基地,28 ,"39,481 ",27 ,"38,270 ",1 ,"1,211 ",32 ,"42,493 ",31 ,"41,282 ",1 ,"1,211 ",
10号西岸壁,759 ,"7,622,489 ",759 ,"7,622,489 ",-,-,752 ,"7,757,387 ",752 ,"7,757,387 ",-,-,
10号東岸壁,402 ,"172,459 ",402 ,"172,459 ",-,-,451 ,"193,307 ",451 ,"193,307 ",-,-,
東京港フェリーふ頭,352 ,"4,447,872 ",352 ,"4,447,872 ",-,-,346 ,"4,144,951 ",346 ,"4,144,951 ",-,-,
多目的ふ頭,22 ,"41,431 ",22 ,"41,431 ",-,-,21 ,"51,873 ",21 ,"51,873 ",-,-,
辰巳ふ頭,979 ,"344,824 ",979 ,"344,824 ",-,-,"1,039 ","366,002 ","1,039 ","366,002 ",-,-,
青海コンテナふ頭（公共）,"1,419 ","15,560,794 ",438 ,"319,180 ",981 ,"15,241,614 ","1,369 ","15,237,025 ",366 ,"271,964 ","1,003 ","14,965,061 ",
有明ふ頭,61 ,"55,291 ",61 ,"55,291 ",-,-,59 ,"50,466 ",59 ,"50,466 ",-,-,
大井水産物ふ頭,7 ,"16,804 ",3 ,"1,145 ",4 ,"15,659 ",15 ,"401,534 ",7 ,"15,680 ",8 ,"385,854 ",
