,,,,,,（単位：トン）
係留施設,平成29年(2017年),,,平成28年(2016年),,
,合計,外貿,内貿,合計,外貿,内貿
合計,"90,780,146 ","50,116,156 ","40,663,990 ","85,954,195 ","48,102,417 ","37,851,778 "
公共計,"41,437,898 ","13,731,651 ","27,706,247 ","39,982,064 ","13,596,211 ","26,385,853 "
ドルフィン,"69,766 ",-,"69,766 ","64,032 ",-,"64,032 "
芝浦ふ頭,"865,194 ",-,"865,194 ","841,500 ",-,"841,500 "
芝浦物揚場,"84,217 ",-,"84,217 ","92,653 ",-,"92,653 "
日の出ふ頭,"42,585 ",-,"42,585 ","33,343 ",-,"33,343 "
竹芝ふ頭,"81,421 ",-,"81,421 ","82,554 ",-,"82,554 "
品川岸壁,"7,884,402 ","4,391,626 ","3,492,776 ","7,596,354 ","3,996,207 ","3,600,147 "
　品川コンテナ,"4,354,694 ","4,354,694 ",-,"3,975,288 ","3,972,734 ","2,554 "
　品川外貿,"36,932 ","36,932 ",-,"23,473 ","23,473 ",-
　品川内貿,"3,492,776 ",-,"3,492,776 ","3,597,593 ",-,"3,597,593 "
月島ふ頭,"17,040 ",-,"17,040 ","21,314 ",-,"21,314 "
10号西岸壁,"6,295,331 ",-,"6,295,331 ","6,485,485 ",-,"6,485,485 "
10号東岸壁,"384,358 ",-,"384,358 ","421,686 ",-,"421,686 "
東京港フェリーふ頭,"10,085,730 ",-,"10,085,730 ","9,125,710 ",-,"9,125,710 "
辰巳ふ頭,"383,385 ",-,"383,385 ","390,537 ",-,"390,537 "
青海コンテナふ頭（公共）,"8,794,114 ","8,641,656 ","152,458 ","8,949,488 ","8,807,576 ","141,912 "
大井水産物ふ頭,"3,006 ","2,682 ",324 ,985 ,512 ,473 
大井食品ふ頭（OL）,"321,179 ","244,048 ","77,131 ","370,681 ","342,613 ","28,068 "
大井食品ふ頭（OM）,"108,967 ","108,967 ",-,"107,118 ","107,118 ",-
大井食品ふ頭（ON）,"12,110 ","12,050 ",60 ,"6,440 ","5,840 ",600 
若洲内貿ふ頭,"660,815 ",-,"660,815 ","670,582 ",-,"670,582 "
15号地木材ふ頭,"128,295 ","125,603 ","2,692 ","149,589 ","144,112 ","5,477 "
若洲建材ふ頭,"530,473 ",-,"530,473 ","571,364 ",-,"571,364 "
大井建材ふ頭,"1,539,133 ",-,"1,539,133 ","1,347,241 ",-,"1,347,241 "
城南島建設発生土ふ頭,"1,342,414 ",-,"1,342,414 ","1,063,316 ",-,"1,063,316 "
中央防波堤内側ばら物ふ頭,"257,846 ","205,019 ","52,827 ","240,230 ","192,233 ","47,997 "
中央防波堤内側建設発生土ふ頭,"413,363 ",-,"413,363 ","230,729 ",-,"230,729 "
中央防波堤内側内貿ふ頭,"973,706 ",-,"973,706 ","993,174 ",-,"993,174 "
官公庁（月島）,-,-,-,7 ,-,7 
その他,"159,048 ",-,"159,048 ","125,952 ",-,"125,952 "
東京港埠頭㈱計,"35,998,185 ","34,320,110 ","1,678,075 ","33,631,821 ","32,581,719 ","1,050,102 "
青海コンテナふ頭(埠頭㈱),"7,125,774 ","7,087,184 ","38,590 ","6,046,003 ","6,035,459 ","10,544 "
お台場ライナーふ頭,"929,940 ","766,711 ","163,229 ","915,756 ","769,957 ","145,799 "
大井コンテナふ頭,"27,942,471 ","26,466,215 ","1,476,256 ","26,670,062 ","25,776,303 ","893,759 "
民間計,"13,344,063 ","2,064,395 ","11,279,668 ","12,340,310 ","1,924,487 ","10,415,823 "
