,,,,(単位:人)
〈内航〉,,,,
港名,,乗船人数,降船人数,計
内航 計,,"967,169","934,388","1,901,557"
東北 計,,459,-,459
,秋田,459,-,459
関東 計,,"945,196","915,562","1,860,758"
,大島（元町）,"45,056","48,964","94,020"
,大島（岡田）,"117,772","116,763","234,535"
,新島,"23,998","17,507","41,505"
,新島諸港,"4,469","5,884","10,353"
,神津島,"15,547","12,699","28,246"
,神津島諸港,"10,149","7,402","17,551"
,三宅島（三池）,"12,647","9,723","22,370"
,三宅島諸港,"19,417","15,394","34,811"
,八丈島（八重根）,632,378,"1,010"
,八丈島（神湊）,"20,457","11,099","31,556"
,利島,"5,449","3,430","8,879"
,御蔵島,"7,363","6,130","13,493"
,式根島諸港,"23,702","21,253","44,955"
,小笠原（二見）,"29,260","29,393","58,653"
,湾内周遊,"609,278","609,278","1,218,556"
,横浜,-,265,265
中部 計,,"1,364",784,"2,148"
,清水,492,784,"1,276"
,名古屋,872,-,872
近畿 計,,"1,207","1,268","2,475"
,四日市,-,365,365
,鳥羽,-,491,491
,神戸,419,-,419
,新宮,788,-,788
,串本,-,412,412
四国 計,,414,-,414
,徳島小松島,414,-,414
九州 計,,"18,529","16,774","35,303"
,北九州,"18,529","16,774","35,303"
〈外航〉,,,,
外航 計,,"1,170","1,344","2,514"
,釜山,-,140,140
,済州,212,-,212
,新港、天津,-,842,842
,ポートケラン,-,362,362
,シアヌークヴィル,361,-,361
,ホノルル,597,-,597
,,,,
総計,,"968,339","935,732","1,904,071"
