,,,,,,,,,(単位：トン）,,,,,
品種,,平成29年(2017年),0,0,平成28年(2016年),0,0,前年比較,,,,,,
,,計,輸出,輸入,計,輸出,輸入,計：増減,前年比,,,,,
合計,,"50,116,156","13,508,587","36,607,569","48,102,417","13,368,468","34,733,949","2,013,739",104.2%,,,,,
農水産品,,"5,394,370","371,104","5,023,266","5,054,762","329,664","4,725,098","339,608",106.7%,,,,,
1,麦,"259,817",45,"259,772","378,571",3,"378,568","-118,754",68.6%,,,,,
2,米,"25,787","3,127","22,660","19,247","2,881","16,366","6,540",134.0%,,,,,
3,とうもろこし,"5,205",37,"5,168","6,348",15,"6,333","-1,143",82.0%,,,,,
4,豆類,"124,914",191,"124,723","111,843","5,788","106,055","13,071",111.7%,,,,,
5,その他雑穀,"3,341",104,"3,237","1,410",43,"1,367","1,931",237.0%,,,,,
6,野菜、果物,"1,838,348","30,238","1,808,110","1,629,709","36,019","1,593,690","208,639",112.8%,,,,,
7,綿花,516,12,504,515,20,495,1,100.2%,,,,,
8,その他農産品,"244,717","9,267","235,450","207,204","9,299","197,905","37,513",118.1%,,,,,
9,羊毛,692,-,692,905,11,894,-213,76.5%,,,,,
10,その他畜産品,"1,655,687","37,892","1,617,795","1,557,148","36,252","1,520,896","98,539",106.3%,,,,,
11,水産品,"1,235,346","290,191","945,155","1,141,862","239,333","902,529","93,484",108.2%,,,,,
林産品,,"1,214,787","26,154","1,188,633","1,172,672","39,947","1,132,725","42,115",103.6%,,,,,
12,原木,"4,702","2,342","2,360","4,436","3,255","1,181",266,106.0%,,,,,
13,製材,"1,059,705","22,089","1,037,616","1,020,852","30,008","990,844","38,853",103.8%,,,,,
14,樹脂類,"85,662","1,331","84,331","85,379","6,098","79,281",283,100.3%,,,,,
15,木材チップ,"4,156",229,"3,927","2,233",196,"2,037","1,923",186.1%,,,,,
16,その他林産品,"4,679",6,"4,673","6,009",90,"5,919","-1,330",77.9%,,,,,
17,薪炭,"55,883",157,"55,726","53,763",300,"53,463","2,120",103.9%,,,,,
鉱産品,,"474,518","18,168","456,350","439,215","13,761","425,454","35,303",108.0%,,,,,
18,石炭,"132,313",79,"132,234","84,025",-,"84,025","48,288",157.5%,,,,,
19,鉄鉱石,294,21,273,"1,440",-,"1,440","-1,146",20.4%,,,,,
