 10 輸出貨物主要港品種別表（上位15位）,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,(単位：トン）,,,,,,,,,(単位：トン）,,,,
品種,,上海,ロサンゼルス,レムチャバン,香港,タコマ,ロングビーチ,ロッテルダム,寧波－舟山,品種,,サバンナ,ハイフォン,釜山,基隆,シンガポール,ジャカルタ,ポートケラン,,,,
合計,,"1,217,393","668,438","666,722","593,250","557,271","554,210","499,859","387,441",合計,,"328,944","327,694","327,369","262,560","242,875","224,328","220,795",,,,
農水産品,,399,"4,474","68,474","19,796","2,304","1,604",915,"1,096",農水産品,,-,"5,602","7,107","18,543","6,566","2,706","1,972",,,,
1,麦,-,-,-,-,30,-,-,-,1,麦,-,-,-,-,-,-,-,,,,
2,米,-,746,-,548,-,75,100,-,2,米,-,-,-,169,366,-,39,,,,
3,とうもろこし,-,7,-,-,-,-,-,-,3,とうもろこし,-,-,-,-,-,-,-,,,,
4,豆類,-,4,-,70,-,40,30,-,4,豆類,-,-,-,-,-,-,-,,,,
5,その他雑穀,-,-,-,-,104,-,-,-,5,その他雑穀,-,-,-,-,-,-,-,,,,
6,野菜、果物,182,57,686,"5,432",-,59,30,42,6,野菜、果物,-,300,8,"16,165",486,35,313,,,,
7,綿花,-,-,-,11,-,-,-,-,7,綿花,-,-,-,-,-,-,-,,,,
8,その他農産品,126,547,8,773,7,186,91,730,8,その他農産品,-,61,56,561,"1,126",90,542,,,,
9,羊毛,-,-,-,-,-,-,-,-,9,羊毛,-,-,-,-,-,-,-,,,,
10,その他畜産品,-,481,"18,644","7,337",494,9,15,24,10,その他畜産品,-,"1,606","1,204",94,870,32,-,,,,
11,水産品,91,"2,632","49,136","5,625","1,669","1,235",649,300,11,水産品,-,"3,635","5,839","1,554","3,718","2,549","1,078",,,,
林産品,,"5,012",294,204,-,-,1,35,347,林産品,,-,-,20,553,330,158,-,,,,
12,原木,-,-,-,-,-,1,-,-,12,原木,-,-,-,401,-,-,-,,,,
13,製材,"4,884",43,-,-,-,-,19,-,13,製材,-,-,-,135,-,-,-,,,,
14,樹脂類,128,146,-,-,-,-,-,347,14,樹脂類,-,-,14,12,330,158,-,,,,
15,木材チップ,-,-,204,-,-,-,-,-,15,木材チップ,-,-,-,-,-,-,-,,,,
16,その他林産品,-,-,-,-,-,-,-,-,16,その他林産品,-,-,6,-,-,-,-,,,,
17,薪炭,-,105,-,-,-,-,16,-,17,薪炭,-,-,-,5,-,-,-,,,,
鉱産品,,"4,054",313,560,608,-,353,43,280,鉱産品,,-,60,"1,027",619,174,698,126,,,,
18,石炭,-,79,-,-,-,-,-,-,18,石炭,-,-,-,-,-,-,-,,,,
19,鉄鉱石,-,-,21,-,-,-,-,-,19,鉄鉱石,-,-,-,-,-,-,-,,,,
20,金属鉱,-,-,-,-,-,-,-,-,20,金属鉱,-,-,-,-,-,-,-,,,,
21,砂利、砂,60,-,1,25,-,-,-,-,21,砂利、砂,-,-,28,-,-,600,64,,,,
22,石材,36,-,-,-,-,33,2,-,22,石材,-,-,3,-,-,-,-,,,,
23,原油,-,-,-,-,-,-,-,-,23,原油,-,-,-,-,-,-,-,,,,
24,りん鉱石,-,-,-,-,-,-,-,-,24,りん鉱石,-,-,-,-,-,-,-,,,,
25,石灰石,-,-,-,-,-,-,-,-,25,石灰石,-,-,-,-,-,-,-,,,,
26,原塩,15,-,-,-,-,-,-,-,26,原塩,-,-,-,-,-,-,-,,,,
27,非金属鉱物,"3,943",234,538,583,-,320,41,280,27,非金属鉱物,-,60,996,619,174,98,62,,,,
金属機械工業品,,"303,931","492,595","250,327","197,256","470,619","363,082","324,658","12,446",金属機械工業品,,"210,456","131,651","115,002","64,420","114,385","138,789","106,022",,,,
28,鉄鋼,"2,720","1,028","3,051",929,168,156,514,40,28,鉄鋼,-,-,"3,546","2,629",337,839,226,,,,
29,鋼材,"8,058","9,938","18,654","2,596","1,551","6,508","1,485","2,659",29,鋼材,"4,327","37,762","8,209","5,407","4,855","4,385","2,694",,,,
30,非鉄金属,"6,462","3,808","8,262","6,555","3,493","2,869","1,179",255,30,非鉄金属,750,475,"3,455",928,"1,470","1,393","7,111",,,,
31,金属製品,"16,581","18,361","17,639","7,005","14,600","16,476","2,942","3,380",31,金属製品,"2,245","3,296","10,612","3,442","4,857","7,193","18,789",,,,
32,鉄道車両,276,56,-,5,-,275,35,-,32,鉄道車両,-,-,-,2,10,752,-,,,,
33,完成自動車,99,592,218,714,85,265,60,191,33,完成自動車,"4,066","16,291",429,"4,606",140,"1,357","10,805",,,,
34,その他の輸送用車両,261,560,89,81,13,114,11,265,34,その他の輸送用車両,-,30,52,142,155,41,36,,,,
35,二輪自動車,-,196,15,17,15,78,42,-,35,二輪自動車,"1,382",-,-,981,239,-,9,,,,
36,自動車部品,"51,203","200,218","97,226","19,170","316,722","171,317","22,322",204,36,自動車部品,"26,900","10,691","2,466","4,229","4,504","67,811","40,877",,,,
37,その他輸送機械,305,"1,606",123,297,"12,305","1,577","1,187",28,37,その他輸送機械,"3,449",59,707,30,901,13,15,,,,
38,産業機械,"144,589","185,787","62,063","68,575","62,007","125,759","243,501","4,129",38,産業機械,"145,281","59,243","42,616","9,818","57,074","43,737","9,598",,,,
39,電気機械,"57,887","47,863","23,847","80,608","51,903","28,909","30,383",960,39,電気機械,"20,564","3,037","40,299","29,568","29,987","4,185","9,574",,,,
40,測量・光学・医療器械,"11,829","18,423","10,739","6,699","7,691","6,794","18,730",209,40,測量・光学・医療器械,"1,346",605,"2,358","1,636","2,986","6,682","2,869",,,,
41,事務用機械,"2,664","3,499","8,223","3,430",66,"1,467","2,181",79,41,事務用機械,146,162,176,492,"5,953",401,374,,,,
42,その他機械,997,660,178,575,-,518,86,47,42,その他機械,-,-,77,510,917,-,"3,045",,,,
化学工業品,,"347,533","64,763","101,653","133,283","28,225","58,107","89,512","40,208",化学工業品,,"51,869","19,636","101,998","66,390","50,251","54,189","40,958",,,,
43,陶磁器,517,353,126,421,164,100,91,-,43,陶磁器,238,-,30,"2,058",272,-,7,,,,
44,セメント,207,74,30,75,-,5,"1,006",68,44,セメント,-,30,81,74,54,454,31,,,,
45,ガラス類,"3,469","3,218",397,"1,910","8,149","2,840","2,740",50,45,ガラス類,252,732,"3,670","1,190","3,218",181,"1,882",,,,
46,窯業品,"9,118","1,294","4,915","4,554",678,"2,420","3,675",114,46,窯業品,"17,447",743,"4,336","3,120",662,"4,750",864,,,,
47,重油,-,-,-,-,-,-,-,-,47,重油,-,-,-,-,-,-,-,,,,
48,石油製品,"3,440",106,"1,525",382,16,360,759,510,48,石油製品,72,975,409,"1,774",249,248,326,,,,
49,LNG/液化天然ガス,-,-,-,-,-,-,-,-,49,LNG/液化天然ガス,-,-,-,-,-,-,-,,,,
50,LPG/液化石油ガス,-,-,-,-,-,-,-,-,50,LPG/液化石油ガス,-,-,-,-,-,-,-,,,,
51,その他石油製品,889,130,429,242,-,46,30,-,51,その他石油製品,13,18,154,159,175,173,"3,884",,,,
52,コークス,-,-,-,-,-,-,-,-,52,コークス,-,-,-,-,-,-,-,,,,
53,石炭製品,65,-,-,-,-,-,-,-,53,石炭製品,825,-,-,15,30,-,750,,,,
54,化学薬品,"32,180","14,558","34,111","2,413","6,908","10,297","25,502","4,514",54,化学薬品,"4,208","1,029","13,679","6,132","12,316","7,789","3,141",,,,
55,化学肥料,-,255,-,15,31,3,13,110,55,化学肥料,-,-,41,-,64,15,45,,,,
56,その他化学工業品,"297,648","44,775","60,120","123,271","12,279","42,036","55,696","34,842",56,その他化学工業品,"28,814","16,109","79,598","51,868","33,211","40,579","30,028",,,,
軽工業品,,"24,002","43,589","12,928","73,542","6,705","38,654","27,662","7,522",軽工業品,,"42,602","4,371","18,221","24,576","21,714","7,918","10,539",,,,
57,紙、パルプ,"12,159","15,155","5,581","6,062","1,071","16,372","22,335","1,135",57,紙、パルプ,"39,878",944,722,"2,995","1,453","2,168","4,739",,,,
58,糸及び紡績半製品,411,62,819,"1,115",2,225,67,230,58,糸及び紡績半製品,964,-,3,131,649,21,15,,,,
59,その他繊維工業品,"7,838","1,907","2,405","2,901","1,115","1,353","1,250","5,277",59,その他繊維工業品,754,"1,260","2,213","1,285","1,103","3,315","1,355",,,,
60,砂糖,-,39,-,32,-,1,-,-,60,砂糖,-,-,33,167,31,-,1,,,,
61,製造食品,"2,138","21,344","3,883","56,011","4,027","17,137","3,303",745,61,製造食品,679,"1,998","14,396","17,541","16,454","2,371","2,614",,,,
62,飲料,"1,188","4,565",210,"7,285",475,"3,518",707,135,62,飲料,327,169,785,"2,453","1,344",43,369,,,,
63,水,267,504,30,121,-,2,-,-,63,水,-,-,31,4,656,-,"1,446",,,,
