,,,,(単位：隻、総トン）,
航路別,入港船舶,,うちコンテナ船,,
,隻数,総トン数,隻数,総トン数,
合計,"23,604","174,745,700","7,845","148,155,821",
外航計,"5,355","130,776,662","5,015","125,651,243",
外航定期計,"5,032","125,920,299","5,015","125,651,243",
世界一周,-,-,-,-,
北米西岸(メキシコ含む),577,"34,691,023",577,"34,691,023",
北米東岸(カリビア海含む),118,"8,821,200",118,"8,821,200",
北欧・地中海,68,"6,452,723",68,"6,452,723",
南米西岸,53,"3,763,426",52,"3,746,475",
南米東岸,-,-,-,-,
南米東岸･南ア経由,-,-,-,-,
アフリカ,-,-,-,-,
オセアニア,68,"2,406,725",68,"2,406,725",
印パ･ペルシャ･ベンガル,65,"3,363,041",65,"3,363,041",
東南アジア,"1,597","37,026,406","1,593","36,988,423",
台湾,-,-,-,-,
韓国,586,"4,855,668",579,"4,823,073",
中国(香港含む),"1,900","24,540,087","1,895","24,358,560",
ナホトカ,-,-,-,-,
外航不定期,323,"4,856,363",-,-,
内航計,"18,249","43,969,038","2,830","22,504,578",
内航定期計,"5,962","30,643,642","2,762","22,383,494",
北海道,"1,189","12,492,820","1,189","12,492,820",
東北,422,"317,956",422,"317,956",
関東,907,"208,188",-,-,
伊豆諸島,"1,941","3,604,088",-,-,
中部,214,"163,746",214,"163,746",
近畿,72,"392,619",72,"392,619",
中国,-,-,-,-,
四国,-,-,-,-,
九州,933,"10,549,372",581,"6,101,500",
沖縄,284,"2,914,853",284,"2,914,853",
内航不定期,"12,287","13,325,396",68,"121,084",
,,,,,
（注）オセアニアは豪州・ニュージーランド・南太平洋諸島,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
