,,,,,,,(単位：トン）
航路別,合計,,,（コンテナ取扱貨物量）,,,コンテナ化率
,計,出貨,入貨,計,出貨,入貨,
合計,"90,780,146","29,300,368","61,479,778","51,285,923","14,771,148","36,514,775",56.5%
外航計,"50,116,156","13,508,587","36,607,569","48,151,899","12,950,374","35,201,525",96.1%
外航定期計,"48,990,147","13,109,527","35,880,620","48,151,899","12,950,374","35,201,525",98.3%
世界一周,-,-,-,-,-,-,-
北米西岸(メキシコ含む),"6,918,849","2,378,590","4,540,259","6,803,887","2,378,590","4,425,297",98.3%
北米東岸(カリビア海含む),"1,779,788","733,900","1,045,888","1,779,788","733,900","1,045,888",100.0%
北欧・地中海,"2,993,195","1,290,818","1,702,377","2,993,195","1,290,818","1,702,377",100.0%
南米西岸,"729,191","22,860","706,331","703,153","22,860","680,293",96.4%
南米東岸,-,-,-,-,-,-,-
南米東岸･南ア経由,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-
オセアニア,"380,739","44,213","336,526","301,483","44,213","257,270",79.2%
印パ･ペルシャ･ベンガル,"1,526,689","928,536","598,153","1,526,689","928,536","598,153",100.0%
東南アジア,"17,948,526","4,395,209","13,553,317","17,453,747","4,331,929","13,121,818",97.2%
台湾,-,-,-,-,-,-,-
韓国,"2,078,618","615,845","1,462,773","1,985,797","525,003","1,460,794",95.5%
中国(香港含む),"14,634,552","2,699,556","11,934,996","14,604,160","2,694,525","11,909,635",99.8%
ナホトカ,-,-,-,-,-,-,-
外航不定期,"1,126,009","399,060","726,949",-,-,-,-
内航計,"40,663,990","15,791,781","24,872,209","3,134,024","1,820,774","1,313,250",7.7%
内航定期計,"22,789,934","12,645,770","10,144,164","1,979,575","1,099,077","880,498",8.7%
北海道,"4,652,545","2,619,995","2,032,550","700,617","367,344","333,273",15.1%
東北,"339,944","147,315","192,629","335,320","147,315","188,005",98.6%
関東,"513,132","291,584","221,548",-,-,-,-
伊豆諸島,"81,108","53,983","27,125",-,-,-,-
中部,"122,299","13,530","108,769","122,299","13,530","108,769",100.0%
近畿,"87,881","15,514","72,367","87,881","15,514","72,367",100.0%
中国,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-
九州,"15,645,785","8,518,955","7,126,830","244,195","119,470","124,725",1.6%
沖縄,"1,347,240","984,894","362,346","489,263","435,904","53,359",36.3%
内航不定期,"17,874,056","3,146,011","14,728,045","1,154,449","721,697","432,752",6.5%
,,,,,,,
（注）オセアニアは豪州・ニュージーランド・南太平洋諸島,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
