,,,,,,,,,,,,,,,（単位：ＴＥＵ）,,,,,
,,,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,合計,,,,,
合計,,計,"391,262","344,668","442,903","425,136","424,657","423,775","423,795","424,571","430,091","404,835","461,079","451,111","5,047,883",,,,,
,,実入,"290,758","259,186","330,186","309,821","308,388","310,367","311,499","307,429","310,413","297,818","335,191","321,919","3,692,975",,,,,
,,空,"100,504","85,482","112,717","115,315","116,269","113,408","112,296","117,142","119,678","107,017","125,888","129,192","1,354,908",,,,,
外貿,輸出,実入,"68,816","84,770","90,519","88,924","78,369","84,107","84,777","75,705","82,083","77,317","84,253","89,799","989,439",,,,,
,,空,"85,688","60,453","87,423","90,509","96,227","90,553","89,445","94,661","99,657","85,146","99,951","105,642","1,085,355",,,,,
,輸入,実入,"202,352","154,437","216,886","196,085","204,578","200,834","200,724","205,624","203,069","195,834","225,394","205,483","2,411,300",,,,,
,,空,772,"1,268",755,"1,533","2,018","1,383","1,153","1,840",819,584,"1,130",953,"14,208",,,,,
内貿,移出,実入,"10,766","10,239","11,998","13,389","14,865","14,604","14,466","14,929","13,829","14,271","13,629","13,916","160,901",,,,,
,,空,"12,438","22,554","23,592","21,212","16,277","19,306","19,668","18,326","17,474","19,566","22,384","20,093","232,890",,,,,
,移入,実入,"8,824","9,740","10,783","11,423","10,576","10,822","11,532","11,171","11,432","10,396","11,915","12,721","131,335",,,,,
,,空,"1,606","1,207",947,"2,061","1,747","2,166","2,030","2,315","1,728","1,721","2,423","2,504","22,455",,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
