"年月[西暦]","調査項目","設問","選択肢","回答数[人]","構成比[%]"
"202003","区の取組","Q9. すべての方にお聞きします。今後、区民と区が協力して取り組む環境に関する活動に参加するとすれば、どのような活動に興味がありますか。（○はいくつでも）","家庭における省エネルギープログラム","130","30.2"
"202003","区の取組","Q9. すべての方にお聞きします。今後、区民と区が協力して取り組む環境に関する活動に参加するとすれば、どのような活動に興味がありますか。（○はいくつでも）","二酸化炭素吸収量の増加に貢献できる国産木材の利用や森づくりへの支援","83","19.3"
"202003","区の取組","Q9. すべての方にお聞きします。今後、区民と区が協力して取り組む環境に関する活動に参加するとすれば、どのような活動に興味がありますか。（○はいくつでも）","ごみの減量やリサイクル活動（古着の拠点回収や資源回収など）","215","50.0"
"202003","区の取組","Q9. すべての方にお聞きします。今後、区民と区が協力して取り組む環境に関する活動に参加するとすれば、どのような活動に興味がありますか。（○はいくつでも）","ごみの減量・リサイクルや食品ロスの削減に取り組む　店舗の利用","196","45.6"
"202003","区の取組","Q9. すべての方にお聞きします。今後、区民と区が協力して取り組む環境に関する活動に参加するとすれば、どのような活動に興味がありますか。（○はいくつでも）","地域の清掃活動","116","27.0"
"202003","区の取組","Q9. すべての方にお聞きします。今後、区民と区が協力して取り組む環境に関する活動に参加するとすれば、どのような活動に興味がありますか。（○はいくつでも）","地域の緑化活動","140","32.6"
"202003","区の取組","Q9. すべての方にお聞きします。今後、区民と区が協力して取り組む環境に関する活動に参加するとすれば、どのような活動に興味がありますか。（○はいくつでも）","身近な自然や生き物の観察会","96","22.3"
"202003","区の取組","Q9. すべての方にお聞きします。今後、区民と区が協力して取り組む環境に関する活動に参加するとすれば、どのような活動に興味がありますか。（○はいくつでも）","環境に関する学習や体験ができるイベント","103","24.0"
"202003","区の取組","Q9. すべての方にお聞きします。今後、区民と区が協力して取り組む環境に関する活動に参加するとすれば、どのような活動に興味がありますか。（○はいくつでも）","その他","15","3.5"
"202003","区の取組","Q9. すべての方にお聞きします。今後、区民と区が協力して取り組む環境に関する活動に参加するとすれば、どのような活動に興味がありますか。（○はいくつでも）","特にない","32","7.4"

"港区の環境に関する区民アンケート（郵送）調査結果・単純集計表・区の取組Q9","Ver202003",,,,
