"年度","育児サポート「子むすび」（活動件数）[件]","乳幼児ショートステイ「麻布乳児院」利用[日]","養育支援家庭訪問事業（派遣回数）[回]","港区産前産後家事・育児支援サービス派遣[回]","派遣型一時保育（活動件数）[件]","子育てコーディネーター事業（相談件数）[件]","港区産後要支援母子ショートステイ事業[日]"
"2015","10731","294","4517",,"11105","2092",
"2016","9808","186","5046",,"12201","3471",
"2017","6733","449","57","5501","13222","4814",
"2018","5657","631","295","4467","13500","5228","26"
"2019","5290","562","258","4832","12497","5313","14"

"令和2年度港区行政資料集　子育て支援事業実施状況","Ver202003",,,,,,
