"年月日時［西暦]","地区","二酸化硫黄[ppb]","一酸化窒素[ppb]","二酸化窒素[ppb]","窒素酸化物[ppb]","オキシダント[ppb]","一酸化炭素[0.1ppm]","ノンメタン炭化水素(非メタン9[0.01ppmC]","メタン[0.01ppmC]","浮遊粒子状物質[μg/立方メートル]","PM2.5[μg/m3]","風速[0.1m/s]","風向","温度[0.1℃]","湿度[%]","THC[0.01ppmC]"
2010120101,"港南",2,9995,9995,9995,6,,,,19,,2,"ESE",,,
2010120102,"港南",2,0,31,31,7,,,,28,,4,"E",,,
2010120103,"港南",2,2,38,40,2,,,,31,,3,"E",,,
2010120104,"港南",2,5,40,45,1,,,,24,,3,"ESE",,,
2010120105,"港南",2,13,40,53,0,,,,29,,3,"E",,,
2010120106,"港南",2,9,38,47,1,,,,19,,5,"E",,,
2010120107,"港南",2,25,38,63,1,,,,21,,3,"E",,,
2010120108,"港南",2,37,37,74,2,,,,24,,2,"NW",,,
2010120109,"港南",4,112,48,160,2,,,,40,,11,"E",,,
2010120110,"港南",4,91,48,139,4,,,,26,,6,"ENE",,,
2010120111,"港南",2,27,39,66,13,,,,15,,10,"NE",,,
2010120112,"港南",5,27,42,69,12,,,,33,,10,"E",,,
2010120113,"港南",8,29,46,75,11,,,,28,,9,"E",,,
2010120114,"港南",6,17,47,64,12,,,,41,,4,"WNW",,,
2010120115,"港南",6,17,51,68,9,,,,45,,4,"WNW",,,
2010120116,"港南",6,15,52,67,8,,,,38,,2,"N",,,
2010120117,"港南",4,6,48,54,11,,,,38,,2,"N",,,
2010120118,"港南",5,7,49,56,9,,,,34,,4,"NNW",,,
2010120119,"港南",4,3,40,43,14,,,,18,,6,"ENE",,,
2010120120,"港南",2,3,47,50,8,,,,21,,4,"E",,,
2010120121,"港南",2,2,45,47,8,,,,32,,4,"ENE",,,
2010120122,"港南",3,6,49,55,5,,,,25,,1,"ENE",,,
2010120123,"港南",4,7,49,56,4,,,,21,,0,"NNE",,,
2010120124,"港南",3,13,52,65,1,,,,26,,6,"E",,,
2010120201,"港南",9995,56,54,110,1,,,,45,,5,"E",,,
2010120202,"港南",2,38,46,84,1,,,,58,,5,"ESE",,,
2010120203,"港南",2,35,42,77,0,,,,52,,3,"E",,,
2010120204,"港南",1,24,38,62,0,,,,45,,4,"E",,,
2010120205,"港南",1,21,37,58,0,,,,42,,5,"E",,,
2010120206,"港南",1,10,37,47,1,,,,35,,5,"E",,,
2010120207,"港南",1,20,38,58,1,,,,29,,4,"ESE",,,
2010120208,"港南",1,38,40,78,2,,,,34,,7,"ESE",,,
2010120209,"港南",2,31,38,69,4,,,,37,,3,"E",,,
2010120210,"港南",3,53,45,98,5,,,,40,,5,"E",,,
2010120211,"港南",3,42,48,90,7,,,,40,,6,"E",,,
2010120212,"港南",9998,9998,9998,9998,9998,,,,9998,,15,"E",,,
2010120213,"港南",3,23,50,73,13,,,,43,,7,"E",,,
2010120214,"港南",3,12,45,57,16,,,,35,,10,"E",,,
2010120215,"港南",3,15,52,67,9,,,,43,,7,"E",,,
2010120216,"港南",3,26,57,83,3,,,,46,,4,"ENE",,,
2010120217,"港南",3,20,51,71,5,,,,29,,4,"ENE",,,
2010120218,"港南",5,13,48,61,3,,,,29,,6,"E",,,
2010120219,"港南",3,9,45,54,5,,,,23,,6,"E",,,
2010120220,"港南",2,13,46,59,2,,,,24,,4,"E",,,
2010120221,"港南",2,14,45,59,1,,,,26,,2,"ENE",,,
2010120222,"港南",3,12,44,56,3,,,,35,,3,"WNW",,,
2010120223,"港南",2,10,41,51,3,,,,25,,4,"NE",,,
2010120224,"港南",1,47,52,99,1,,,,67,,4,"E",,,
2010120301,"港南",1,43,48,91,9995,,,,55,,4,"E",,,
2010120302,"港南",1,33,43,76,1,,,,53,,1,"WNW",,,
2010120303,"港南",1,29,39,68,1,,,,53,,6,"E",,,
2010120304,"港南",1,38,40,78,1,,,,43,,3,"NNW",,,
2010120305,"港南",1,9,36,45,2,,,,19,,1,"ENE",,,
2010120306,"港南",1,3,33,36,6,,,,22,,1,"WNW",,,
2010120307,"港南",0,2,30,32,11,,,,30,,2,"NE",,,
2010120308,"港南",1,5,31,36,9,,,,22,,7,"E",,,
2010120309,"港南",1,7,27,34,8,,,,12,,4,"W",,,
2010120310,"港南",0,2,15,17,23,,,,26,,5,"W",,,
2010120311,"港南",1,4,14,18,25,,,,16,,5,"W",,,
2010120312,"港南",1,3,13,16,30,,,,22,,6,"WSW",,,
