"大分類","中分類","小分類","事業所数","従業者数[人]"
"A 農業，林業","01 農業","010 管理，補助的経済活動を行う事業所","1","2"
"A 農業，林業","01 農業","011 耕種農業","8","71"
"A 農業，林業","01 農業","012 畜産農業","3","9"
"A 農業，林業","01 農業","013 農業サービス業（園芸サービス業を除く）","4","31"
"A 農業，林業","01 農業","014 園芸サービス業","6","41"
"A 農業，林業","02 林業","020 管理，補助的経済活動を行う事業所","0","0"
"A 農業，林業","02 林業","021 育林業","0","0"
"A 農業，林業","02 林業","022 素材生産業","0","0"
"A 農業，林業","02 林業","023 特用林産物生産業（きのこ類の栽培を除く）","0","0"
"A 農業，林業","02 林業","024 林業サービス業","1","2"
"A 農業，林業","02 林業","029 その他の林業","0","0"
"B 漁業","03 漁業（水産養殖業を除く）","030 管理，補助的経済活動を行う事業所","0","0"
"B 漁業","03 漁業（水産養殖業を除く）","031 海面漁業","2","12"
"B 漁業","03 漁業（水産養殖業を除く）","032 内水面漁業","0","0"
"B 漁業","04 水産養殖業","040 管理，補助的経済活動を行う事業所","0","0"
"B 漁業","04 水産養殖業","041 海面養殖業","0","0"
"B 漁業","04 水産養殖業","042 内水面養殖業","0","0"
"C 鉱業，採石業，砂利採取業","05 鉱業，採石業，砂利採取業","050 管理，補助的経済活動を行う事業所","2","5"
"C 鉱業，採石業，砂利採取業","05 鉱業，採石業，砂利採取業","051 金属鉱業","1","1"
"C 鉱業，採石業，砂利採取業","05 鉱業，採石業，砂利採取業","052 石炭・亜炭鉱業","0","0"
"C 鉱業，採石業，砂利採取業","05 鉱業，採石業，砂利採取業","053 原油・天然ガス鉱業","36","1066"
"C 鉱業，採石業，砂利採取業","05 鉱業，採石業，砂利採取業","054 採石業，砂・砂利・玉石採取業","1","4"
"C 鉱業，採石業，砂利採取業","05 鉱業，採石業，砂利採取業","055 窯業原料用鉱物鉱業（耐火物・陶磁器・ガラス・セメント原料用に限る）","0","0"
"C 鉱業，採石業，砂利採取業","05 鉱業，採石業，砂利採取業","059 その他の鉱業","2","8"
"D 建設業","06 総合工事業","060 管理，補助的経済活動を行う事業所","12","513"
"D 建設業","06 総合工事業","061 一般土木建築工事業","49","14059"
"D 建設業","06 総合工事業","062 土木工事業（舗装工事業を除く）","81","2677"
"D 建設業","06 総合工事業","063 舗装工事業","15","518"
"D 建設業","06 総合工事業","064 建築工事業（木造建築工事業を除く）","118","10198"
"D 建設業","06 総合工事業","065 木造建築工事業","17","661"
"D 建設業","06 総合工事業","066 建築リフォーム工事業","78","1022"
"D 建設業","07 職別工事業（設備工事業を除く）","070 管理，補助的経済活動を行う事業所","0","0"
"D 建設業","07 職別工事業（設備工事業を除く）","071 大工工事業","2","19"
"D 建設業","07 職別工事業（設備工事業を除く）","072 とび・土工・コンクリート工事業","28","1281"
"D 建設業","07 職別工事業（設備工事業を除く）","073 鉄骨・鉄筋工事業","10","271"
"D 建設業","07 職別工事業（設備工事業を除く）","074 石工・れんが・タイル・ブロック工事業","11","102"
"D 建設業","07 職別工事業（設備工事業を除く）","075 左官工事業","5","27"
"D 建設業","07 職別工事業（設備工事業を除く）","076 板金・金物工事業","7","156"
"D 建設業","07 職別工事業（設備工事業を除く）","077 塗装工事業","29","313"
"D 建設業","07 職別工事業（設備工事業を除く）","078 床・内装工事業","139","1631"
"D 建設業","07 職別工事業（設備工事業を除く）","079 その他の職別工事業","51","590"
"D 建設業","08 設備工事業","080 管理，補助的経済活動を行う事業所","8","303"
"D 建設業","08 設備工事業","081 電気工事業","117","4361"
"D 建設業","08 設備工事業","082 電気通信・信号装置工事業","81","6429"
"D 建設業","08 設備工事業","083 管工事業（さく井工事業を除く）","108","3745"
"D 建設業","08 設備工事業","084 機械器具設置工事業","50","1232"
"D 建設業","08 設備工事業","089 その他の設備工事業","14","436"
"E 製造業","09 食料品製造業","090 管理，補助的経済活動を行う事業所","9","1350"
"E 製造業","09 食料品製造業","091 畜産食料品製造業","10","1325"
"E 製造業","09 食料品製造業","092 水産食料品製造業","5","154"
"E 製造業","09 食料品製造業","093 野菜缶詰・果実缶詰・農産保存食料品製造業","2","36"
"E 製造業","09 食料品製造業","094 調味料製造業","3","405"
"E 製造業","09 食料品製造業","095 糖類製造業","1","7"
"E 製造業","09 食料品製造業","096 精穀・製粉業","2","37"
"E 製造業","09 食料品製造業","097 パン・菓子製造業","15","373"
"E 製造業","09 食料品製造業","098 動植物油脂製造業","1","1"
"E 製造業","09 食料品製造業","099 その他の食料品製造業","37","915"
"E 製造業","10 飲料・たばこ・飼料製造業","100 管理，補助的経済活動を行う事業所","4","17"
"E 製造業","10 飲料・たばこ・飼料製造業","101 清涼飲料製造業","6","728"
"E 製造業","10 飲料・たばこ・飼料製造業","102 酒類製造業","5","68"
"E 製造業","10 飲料・たばこ・飼料製造業","103 茶・コーヒー製造業（清涼飲料を除く）","7","109"
"E 製造業","10 飲料・たばこ・飼料製造業","104 製氷業","2","31"
"E 製造業","10 飲料・たばこ・飼料製造業","105 たばこ製造業","0","0"
"E 製造業","10 飲料・たばこ・飼料製造業","106 飼料・有機質肥料製造業","3","49"
"E 製造業","11 繊維工業","110 管理，補助的経済活動を行う事業所","3","21"
"E 製造業","11 繊維工業","111 製糸業，紡績業，化学繊維・ねん糸等製造業","1","4"
"E 製造業","11 繊維工業","112 織物業","4","12"
"E 製造業","11 繊維工業","113 ニット生地製造業","0","0"
"E 製造業","11 繊維工業","114 染色整理業","3","18"
"E 製造業","11 繊維工業","115 綱・網・レース・繊維粗製品製造業","3","73"
"E 製造業","11 繊維工業","116 外衣・シャツ製造業（和式を除く）","57","1496"
"E 製造業","11 繊維工業","117 下着類製造業","2","3"
"E 製造業","11 繊維工業","118 和装製品・その他の衣服・繊維製身の回り品製造業","5","33"
"E 製造業","11 繊維工業","119 その他の繊維製品製造業","14","31"
"E 製造業","12 木材・木製品製造業（家具を除く）","120 管理，補助的経済活動を行う事業所","0","0"
"E 製造業","12 木材・木製品製造業（家具を除く）","121 製材業，木製品製造業","1","2"
"E 製造業","12 木材・木製品製造業（家具を除く）","122 造作材・合板・建築用組立材料製造業","2","5"
"E 製造業","12 木材・木製品製造業（家具を除く）","123 木製容器製造業（竹，とうを含む）","1","1"
"E 製造業","12 木材・木製品製造業（家具を除く）","129 その他の木製品製造業（竹，とうを含む）","2","3"
"E 製造業","13 家具・装備品製造業","130 管理，補助的経済活動を行う事業所","1","2"
