"年度","区・財団関係 件数[件]","区・財団関係 人数[人]","社会教育関係団体 件数[件]","社会教育関係団体 人数[人]","その他団体 件数[件]","その他団体 人数[人]","図書室利用 人数[人]","合計 件数[件]","合計 人数[人]"
"2016","78","935","614","4531","890","10698","10078","1582","26242"
"2017","95","1118","614","4741","900","9861","10592","1609","26312"
"2018","182","1951","568","4444","866","9038","12207","1616","27640"
"2019","167","2400","490","3794","775","7480","13188","1432","26862"
"2020","163","1646","288","2126","379","2961","11613","830","18346"

"令和3年度港区行政資料集　施設利用状況一覧 青山生涯学習館","Ver202103",,,,,,,,
