（輸出）,, 5-(1)外貿貨物主要国別表（累計上位20位）,,,,(単位：トン）
,,当月,前年比,1月以降累計,前年比,構成比
総計,,"1,106,244",98.7%,"7,287,000",95.1%,100.0%
1,アメリカ,"286,466",129.0%,"1,787,364",114.4%,24.5%
2,中国,"238,723",70.5%,"1,779,515",85.8%,24.4%
,(香港),"30,703",86.1%,"237,386",85.4%,3.3%
3,ベトナム,"87,527",161.0%,"538,857",111.6%,7.4%
4,タイ,"67,914",90.0%,"480,709",84.8%,6.6%
5,韓国,"54,144",105.1%,"391,696",98.3%,5.4%
6,台湾,"55,255",92.1%,"339,980",84.8%,4.7%
7,オランダ,"47,454",104.5%,"285,073",91.8%,3.9%
8,マレーシア,"33,566",69.5%,"248,596",80.7%,3.4%
9,インドネシア,"39,611",86.7%,"228,402",91.7%,3.1%
10,インド,"33,908",120.2%,"211,569",112.4%,2.9%
11,ドイツ,"21,329",112.0%,"140,407",105.5%,1.9%
12,フィリピン,"22,220",113.7%,"134,800",88.6%,1.8%
13,シンガポール,"19,287",98.3%,"127,389",94.3%,1.7%
14,イギリス,"15,539",115.2%,"84,740",81.8%,1.2%
15,カナダ,"10,071",65.6%,"78,561",86.9%,1.1%
16,ロシア,"9,812",135.6%,"58,070",102.2%,0.8%
17,アラブ首長国,"6,963",138.7%,"40,225",92.2%,0.6%
18,ブラジル,"7,524",128.2%,"39,413",89.4%,0.5%
19,フランス,"5,853",99.3%,"33,908",83.6%,0.5%
20,オーストラリア,"4,789",122.3%,"27,991",92.2%,0.4%
,その他,"38,289",104.9%,"229,735",79.2%,3.2%
,,,,,,
