 1-(4)海上出入貨物航路別表,,,,,,,,,,,,(単位：トン）
航路別,合計,,,,,,コンテナ船計,,,,,
,当月,,,1月以降累計,,,当月,,,1月以降累計,,
,計,出貨,入貨,計,出貨,入貨,計,出貨,入貨,計,出貨,入貨
合計,"7,921,074","2,508,693","5,412,381","51,696,211","16,185,246","35,510,965","5,456,061","1,782,856","3,673,205","35,037,351","11,413,005","23,624,346"
外航計,"4,364,836","1,106,244","3,258,592","28,155,319","7,287,000","20,868,319","4,279,461","1,069,535","3,209,926","27,487,416","6,992,429","20,494,987"
外航定期計,"4,279,461","1,069,535","3,209,926","27,487,416","6,992,429","20,494,987","4,279,461","1,069,535","3,209,926","27,487,416","6,992,429","20,494,987"
世界一周,-,-,-,-,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),"510,712","125,868","384,844","3,614,679","1,043,773","2,570,906","510,712","125,868","384,844","3,614,679","1,043,773","2,570,906"
北米東岸(カリビア海含む),"143,096","60,233","82,863","929,322","396,221","533,101","143,096","60,233","82,863","929,322","396,221","533,101"
北欧・地中海,"398,513","232,167","166,346","2,163,404","1,130,137","1,033,267","398,513","232,167","166,346","2,163,404","1,130,137","1,033,267"
南米西岸,"45,858","9,415","36,443","286,264","38,662","247,602","45,858","9,415","36,443","286,264","38,662","247,602"
南米東岸,-,-,-,-,-,-,-,-,-,-,-,-
南米東岸･南ア経由,-,-,-,-,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-,-,-,-,-
オセアニア,"28,045","4,546","23,499","179,145","19,937","159,208","28,045","4,546","23,499","179,145","19,937","159,208"
印パ･ペルシャ･ベンガル,-,-,-,-,-,-,-,-,-,-,-,-
東南アジア,"1,864,630","440,405","1,424,225","11,920,457","2,921,512","8,998,945","1,864,630","440,405","1,424,225","11,920,457","2,921,512","8,998,945"
台湾,-,-,-,-,-,-,-,-,-,-,-,-
韓国,"149,434","37,958","111,476","1,079,021","288,600","790,421","149,434","37,958","111,476","1,079,021","288,600","790,421"
中国(香港含む),"1,139,173","158,943","980,230","7,315,124","1,153,587","6,161,537","1,139,173","158,943","980,230","7,315,124","1,153,587","6,161,537"
ナホトカ,-,-,-,-,-,-,-,-,-,-,-,-
外航不定期,"85,375","36,709","48,666","667,903","294,571","373,332",-,-,-,-,-,-
内航計,"3,556,238","1,402,449","2,153,789","23,540,892","8,898,246","14,642,646","1,176,600","713,321","463,279","7,549,935","4,420,576","3,129,359"
内航定期計,"2,172,086","1,217,273","954,813","14,162,563","7,803,343","6,359,220","1,160,989","697,804","463,185","7,461,321","4,340,368","3,120,953"
北海道,"415,689","240,822","174,867","2,710,361","1,532,458","1,177,903","415,689","240,822","174,867","2,710,361","1,532,458","1,177,903"
東北,"40,701","23,018","17,683","235,134","128,697","106,437","40,701","23,018","17,683","228,318","124,609","103,709"
関東,"65,024","26,039","38,985","348,543","161,848","186,695",-,-,-,442,-,442
伊豆諸島,"8,403","5,915","2,488","51,154","34,387","16,767",-,-,-,"4,344","3,173","1,171"
中部,"23,486","4,406","19,080","165,606","36,465","129,141","23,486","4,406","19,080","165,606","36,465","129,141"
近畿,"11,432","1,310","10,122","69,793","8,354","61,439","11,432","1,310","10,122","69,793","8,354","61,439"
中国,-,-,-,-,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-,-,-,-,-
九州,"1,485,162","820,487","664,675","9,765,135","5,286,156","4,478,979","547,492","332,972","214,520","3,465,620","2,020,331","1,445,289"
沖縄,"122,189","95,276","26,913","816,837","614,978","201,859","122,189","95,276","26,913","816,837","614,978","201,859"
内航不定期,"1,384,152","185,176","1,198,976","9,378,329","1,094,903","8,283,426","15,611","15,517",94,"88,614","80,208","8,406"
,,,,,,,,,,,,
（注）オセアニアは豪州・ニュージーランド・南太平洋諸島,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
