 4-(4)コンテナ取扱個数係留施設別表,,,,,,,,,,,,,,(単位：ＴＥＵ）
係留施設,合計,,外貿,,,,,,内貿,,,,,
,,,計,,輸出,,輸入,,計,,移出,,移入,
,実入,空,実入,空,実入,空,実入,空,実入,空,実入,空,実入,空
合計,"321,303","121,921","294,741","104,772","83,058","104,266","211,683",506,"26,562","17,149","12,764","15,331","13,798","1,818"
,105.7%,111.6%,104.7%,120.1%,102.3%,122.1%,105.7%,27.2%,118.6%,77.8%,110.8%,75.6%,126.9%,102.4%
,"2,073,121","814,555","1,911,459","688,622","533,375","683,731","1,378,084","4,891","161,662","125,933","75,506","111,930","86,156","14,003"
,97.5%,103.1%,97.6%,108.0%,94.9%,108.5%,98.7%,66.5%,96.7%,82.5%,81.8%,80.1%,115.2%,108.2%
品川岸壁,"24,185","16,263","24,185","12,681","5,223","12,563","18,962",118,-,"3,582",-,"3,494",-,88
,92.5%,141.2%,92.5%,136.3%,75.4%,137.0%,98.6%,85.5%,-,162.2%,-,163.4%,-,125.7%
,"167,255","111,120","166,931","93,334","35,657","92,654","131,274",680,324,"17,786",-,"17,482",324,304
,95.0%,118.4%,94.8%,120.4%,81.9%,121.3%,99.1%,60.2%,-,109.0%,-,108.8%,-,121.6%
10号西岸壁,"4,228",585,-,-,-,-,-,-,"4,228",585,"2,625",-,"1,603",585
,98.0%,94.8%,-,-,-,-,-,-,98.0%,94.8%,95.1%,-,103.2%,94.8%
,"27,258","5,333",-,-,-,-,-,-,"27,258","5,333","16,676",39,"10,582","5,294"
,100.6%,176.5%,-,-,-,-,-,-,100.6%,176.5%,98.6%,-,103.9%,175.2%
青海コンテナふ頭（公共）,"59,352","26,838","56,971","21,458","10,517","21,290","46,454",168,"2,381","5,380","1,415","5,281",966,99
,102.1%,85.5%,100.9%,84.7%,83.7%,85.8%,105.8%,32.3%,143.3%,88.6%,181.2%,88.1%,109.6%,123.8%
,"369,528","183,424","356,423","147,004","71,949","145,665","284,474","1,339","13,105","36,420","7,347","36,025","5,758",395
,96.0%,89.7%,95.3%,86.8%,90.8%,86.9%,96.5%,78.8%,119.6%,103.9%,106.9%,107.2%,141.0%,27.3%
青海コンテナふ頭(埠頭㈱),"42,298","23,283","41,527","22,035","10,279","22,014","31,248",21,771,"1,248",602,"1,248",169,-
,104.8%,117.2%,104.2%,119.9%,106.7%,120.0%,103.4%,65.6%,154.5%,84.0%,120.6%,84.0%,-,-
,"272,405","143,972","267,970","136,317","63,570","136,010","204,400",307,"4,435","7,655","3,285","7,655","1,150",-
,93.3%,97.8%,92.7%,106.5%,92.5%,107.0%,92.8%,36.9%,149.0%,39.7%,114.9%,40.0%,991.4%,-
お台場ライナーふ頭,199,20,199,20,-,-,199,20,-,-,-,-,-,-
,310.9%,-,310.9%,-,-,-,310.9%,-,-,-,-,-,-,-
,785,260,785,260,-,-,785,260,-,-,-,-,-,-
,70.7%,634.1%,70.7%,634.1%,-,-,70.7%,634.1%,-,-,-,-,-,-
大井コンテナふ頭,"169,500","45,502","158,475","40,598","54,124","40,421","104,351",177,"11,025","4,904","3,266","4,804","7,759",100
,110.7%,113.9%,109.4%,134.5%,114.0%,139.3%,107.2%,15.2%,132.7%,50.3%,111.7%,49.8%,144.1%,94.3%
,"1,096,330","309,177","1,031,840","262,466","341,531","260,171","690,309","2,295","64,490","46,711","17,805","46,235","46,685",476
,98.6%,106.5%,99.4%,118.8%,97.0%,119.7%,100.6%,65.6%,87.0%,67.3%,50.6%,69.5%,119.9%,16.2%
その他,"21,541","9,430","13,384","7,980","2,915","7,978","10,469",2,"8,157","1,450","4,856",504,"3,301",946
,99.0%,158.6%,94.6%,197.8%,63.7%,197.8%,109.4%,100.0%,107.2%,75.9%,106.7%,50.0%,108.0%,104.9%
,"139,560","61,269","87,510","49,241","20,668","49,231","66,842",10,"52,050","12,028","30,393","4,494","21,657","7,534"
,105.7%,119.3%,109.3%,117.7%,111.5%,118.1%,108.6%,6.6%,100.1%,126.7%,99.6%,102.9%,100.8%,146.9%
,,,,,,,,,,,,,,
(注) 上段： 当月，　下段： １月以降累計，　各下段： 対前年比％,,,,,,,,,,,,,,
