 2-(5)カーフェリー輸送状況,,,,,,（単位：隻、総トン、トン、台、人）,
,,,合計,,九州,,
,,,当月,1月以降累計,当月,1月以降累計,
入港船舶,隻数,,31,202,31,202,
,総トン数,,"391,716","2,552,472","391,716","2,552,472",
取扱貨物,計,計,"937,670","6,299,515","937,670","6,299,515",
,,出荷,"487,515","3,265,825","487,515","3,265,825",
,,入荷,"450,155","3,033,690","450,155","3,033,690",
取　扱　台　数,バ　ス,計,10,59,10,59,
,,出荷,5,25,5,25,
,,入荷,5,34,5,34,
,トラック,計,"8,621","57,119","8,621","57,119",
,,出荷,"4,545","29,949","4,545","29,949",
,,入荷,"4,076","27,170","4,076","27,170",
,乗用車,計,"4,798","36,254","4,798","36,254",
,,出荷,"2,871","21,619","2,871","21,619",
,,入荷,"1,927","14,635","1,927","14,635",
乗降人員,計,,"3,289","22,030","3,289","22,030",
,乗船,,"1,983","11,831","1,983","11,831",
,降船,,"1,306","10,199","1,306","10,199",
,,,,,,,
（注）カーフェリー（自動車航送船）による貨物量は車両区分別に台数を調整し,,,,,,,
　　　所定の換算トンをかけて算出しています。,,,,,,,
