 3-(3)海上出入貨物係留施設別表,,,,,,,,,,,,,,(単位：トン）
,合計,,外貿,,,,,,内貿,,,,,
係留施設,,,当月,,,1月以降累計,,,当月,,,1月以降累計,,
,当月,1月以降累計,計,輸出,輸入,計,輸出,輸入,計,移出,移入,計,移出,移入
合計,"7,921,074 ","51,696,211 ","4,364,836 ","1,106,244 ","3,258,592 ","28,155,319 ","7,287,000 ","20,868,319 ","3,556,238 ","1,402,449 ","2,153,789 ","23,540,892 ","8,898,246 ","14,642,646 "
公共計,"3,679,306 ","23,955,124 ","1,205,785 ","207,599 ","998,186 ","7,740,269 ","1,400,514 ","6,339,755 ","2,473,521 ","1,295,498 ","1,178,023 ","16,214,855 ","8,275,932 ","7,938,923 "
ドルフィン,"9,440 ","55,104 ",-,-,-,-,-,-,"9,440 ","9,440 ",-,"55,104 ","54,504 ",600 
芝浦ふ頭,"69,850 ","434,193 ",-,-,-,-,-,-,"69,850 ","1,758 ","68,092 ","434,193 ","11,114 ","423,079 "
芝浦物揚場,"6,337 ","48,726 ",-,-,-,-,-,-,"6,337 ","4,528 ","1,809 ","48,726 ","34,137 ","14,589 "
日の出ふ頭,"4,355 ","21,010 ",-,-,-,-,-,-,"4,355 ",-,"4,355 ","21,010 ",-,"21,010 "
竹芝ふ頭,"8,403 ","47,177 ",-,-,-,-,-,-,"8,403 ","5,915 ","2,488 ","47,177 ","31,581 ","15,596 "
品川岸壁,"649,791 ","4,372,788 ","352,725 ","66,672 ","286,053 ","2,393,456 ","460,971 ","1,932,485 ","297,066 ","178,188 ","118,878 ","1,979,332 ","1,183,654 ","795,678 "
　品川コンテナ,"344,647 ","2,339,206 ","344,647 ","64,977 ","279,670 ","2,337,826 ","454,523 ","1,883,303 ",-,-,-,"1,380 ",690 ,690 
　品川外貿,"8,078 ","55,630 ","8,078 ","1,695 ","6,383 ","55,630 ","6,448 ","49,182 ",-,-,-,-,-,-
　品川内貿,"297,066 ","1,977,952 ",-,-,-,-,-,-,"297,066 ","178,188 ","118,878 ","1,977,952 ","1,182,964 ","794,988 "
月島ふ頭,"2,082 ","11,125 ",-,-,-,-,-,-,"2,082 ","1,054 ","1,028 ","11,125 ","5,089 ","6,036 "
10号西岸壁,"603,944 ","3,872,717 ",-,-,-,-,-,-,"603,944 ","383,742 ","220,202 ","3,872,717 ","2,353,351 ","1,519,366 "
10号東岸壁,"31,858 ","213,150 ",-,-,-,-,-,-,"31,858 ",200 ,"31,658 ","213,150 ",901 ,"212,249 "
東京港フェリーふ頭,"937,670 ","6,299,515 ",-,-,-,-,-,-,"937,670 ","487,515 ","450,155 ","6,299,515 ","3,265,825 ","3,033,690 "
多目的ふ頭,50 ,50 ,-,-,-,-,-,-,50 ,-,50 ,50 ,-,50 
辰巳ふ頭,"32,499 ","229,760 ",-,-,-,-,-,-,"32,499 ","14,401 ","18,098 ","229,760 ","91,082 ","138,678 "
青海コンテナふ頭（公共）,"847,591 ","5,143,470 ","824,760 ","140,927 ","683,833 ","5,028,341 ","938,787 ","4,089,554 ","22,831 ","13,195 ","9,636 ","115,129 ","69,158 ","45,971 "
大井水産物ふ頭,-,50 ,-,-,-,50 ,50 ,-,-,-,-,-,-,-
大井食品ふ頭（OL）,"15,899 ","152,013 ","11,513 ",-,"11,513 ","108,629 ",-,"108,629 ","4,386 ",-,"4,386 ","43,384 ",-,"43,384 "
大井食品ふ頭（OM）,"10,434 ","56,692 ","10,434 ",-,"10,434 ","56,692 ",-,"56,692 ",-,-,-,-,-,-
大井食品ふ頭（ON）,-,"7,509 ",-,-,-,"7,509 ",-,"7,509 ",-,-,-,-,-,-
若洲内貿ふ頭,"55,902 ","365,956 ",-,-,-,-,-,-,"55,902 ","42,788 ","13,114 ","365,956 ","273,464 ","92,492 "
15号地木材ふ頭,"7,697 ","40,407 ","6,353 ",-,"6,353 ","34,305 ",706 ,"33,599 ","1,344 ","1,344 ",-,"6,102 ","2,376 ","3,726 "
若洲建材ふ頭,"66,184 ","460,037 ",-,-,-,-,-,-,"66,184 ","5,351 ","60,833 ","460,037 ","49,943 ","410,094 "
大井建材ふ頭,"117,150 ","849,457 ",-,-,-,-,-,-,"117,150 ",-,"117,150 ","849,457 ",-,"849,457 "
城南島建設発生土ふ頭,"89,460 ","460,920 ",-,-,-,-,-,-,"89,460 ","89,460 ",-,"460,920 ","460,920 ",-
中央防波堤内側ばら物ふ頭,"13,441 ","147,860 ",-,-,-,"111,287 ",-,"111,287 ","13,441 ","6,322 ","7,119 ","36,573 ","15,701 ","20,872 "
中央防波堤内側建設発生土ふ頭,-,"67,874 ",-,-,-,-,-,-,-,-,-,"67,874 ","67,874 ",-
中央防波堤内側内貿ふ頭,"99,269 ","597,564 ",-,-,-,-,-,-,"99,269 ","50,297 ","48,972 ","597,564 ","305,258 ","292,306 "
東京港埠頭㈱計,"3,058,983 ","19,612,947 ","2,925,124 ","859,648 ","2,065,476 ","18,797,348 ","5,608,609 ","13,188,739 ","133,859 ","62,741 ","71,118 ","815,599 ","327,790 ","487,809 "
青海コンテナふ頭(埠頭㈱),"621,125 ","3,929,722 ","601,539 ","128,855 ","472,684 ","3,826,254 ","831,135 ","2,995,119 ","19,586 ","15,868 ","3,718 ","103,468 ","83,343 ","20,125 "
お台場ライナーふ頭,"60,419 ","475,707 ","53,050 ","36,709 ","16,341 ","387,822 ","296,338 ","91,484 ","7,369 ","6,177 ","1,192 ","87,885 ","20,761 ","67,124 "
大井コンテナふ頭,"2,377,439 ","15,207,518 ","2,270,535 ","694,084 ","1,576,451 ","14,583,272 ","4,481,136 ","10,102,136 ","106,904 ","40,696 ","66,208 ","624,246 ","223,686 ","400,560 "
民間計,"1,182,785 ","8,128,140 ","233,927 ","38,997 ","194,930 ","1,617,702 ","277,877 ","1,339,825 ","948,858 ","44,210 ","904,648 ","6,510,438 ","294,524 ","6,215,914 "
,,,,,,,,,,,,,,
(注) 実績の無い係留施設は表示なし,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
