 4-(3)コンテナ取扱個数航路別表,,,,,,,,,,,,(単位：ＴＥＵ）
航路名,合計,,,,出貨,,,,入貨,,,
,当月,,1月以降累計,,当月,,1月以降累計,,当月,,1月以降累計,
,実入,空,実入,空,実入,空,実入,空,実入,空,実入,空
合計,"321,303","121,921","2,073,119","814,553","95,823","119,597","608,881","795,661","225,480","2,324","1,464,238","18,892"
,105.7%,111.6%,97.5%,103.1%,103.4%,113.2%,93.0%,103.3%,106.7%,63.9%,99.5%,93.1%
外航計,"294,740","104,772","1,911,458","688,622","83,058","104,266","533,375","683,731","211,682",506,"1,378,083","4,891"
,104.7%,120.1%,97.6%,108.0%,102.3%,122.1%,94.9%,108.5%,105.7%,27.2%,98.7%,66.5%
外航定期計,"294,740","104,772","1,911,458","688,622","83,058","104,266","533,375","683,731","211,682",506,"1,378,083","4,891"
,104.7%,120.1%,97.6%,108.0%,102.3%,122.1%,94.9%,108.5%,105.7%,27.2%,98.7%,66.5%
世界一周,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),"35,973","13,383","252,150","94,222","10,352","13,323","80,102","92,760","25,621",60,"172,048","1,462"
,95.4%,110.7%,91.6%,94.3%,80.9%,111.9%,81.4%,94.3%,102.9%,34.1%,97.3%,90.6%
北米東岸(カリビア海含む),"10,515","2,401","66,410","16,910","4,796","2,393","30,303","16,800","5,719",8,"36,107",110
,94.7%,101.4%,84.4%,109.7%,119.9%,102.0%,92.0%,110.8%,80.5%,33.3%,78.9%,43.8%
北欧・地中海,"29,442","3,247","157,330","17,575","17,829","3,199","85,436","17,348","11,613",48,"71,894",227
,176.1%,1268.4%,123.9%,121.6%,239.8%,1311.1%,148.1%,122.3%,125.0%,400.0%,103.8%,84.1%
南米西岸,"3,248","1,957","20,318","14,782",691,"1,946","2,901","14,468","2,557",11,"17,417",314
,94.6%,65.5%,78.7%,214.4%,388.2%,96.6%,395.2%,253.6%,78.6%,1.1%,69.5%,26.4%
南米東岸,-,-,-,-,-,-,-,-,-,-,-,-
