 2-(2)入港船舶航路別表,,,,,,,,(単位：隻、総トン）
航路別,合計,,,,コンテナ船,,,
,当月,,1月以降累計,,当月,,1月以降累計,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数
合計,"2,143","15,772,021","13,892","105,399,315",764,"13,559,741","4,957","89,980,566"
外航計,451,"11,565,837","3,048","78,334,948",428,"11,181,094","2,886","75,018,732"
外航定期計,428,"11,181,094","2,886","75,018,732",428,"11,181,094","2,886","75,018,732"
世界一周,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),37,"2,545,120",276,"18,714,456",37,"2,545,120",276,"18,714,456"
北米東岸(カリビア海含む),14,"822,796",65,"4,901,639",14,"822,796",65,"4,901,639"
北欧・地中海,9,"885,781",49,"4,814,849",9,"885,781",49,"4,814,849"
南米西岸,4,"538,031",28,"3,686,754",4,"538,031",28,"3,686,754"
南米東岸,-,-,-,-,-,-,-,-
南米東岸･南ア経由,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-
オセアニア,5,"225,754",34,"1,457,610",5,"225,754",34,"1,457,610"
印パ･ペルシャ･ベンガル,-,-,-,-,-,-,-,-
東南アジア,155,"3,936,749","1,042","26,038,704",155,"3,936,749","1,042","26,038,704"
台湾,-,-,-,-,-,-,-,-
韓国,42,"368,380",314,"2,741,512",42,"368,380",314,"2,741,512"
中国(香港含む),162,"1,858,483","1,078","12,663,208",162,"1,858,483","1,078","12,663,208"
ナホトカ,-,-,-,-,-,-,-,-
外航不定期,23,"384,743",162,"3,316,216",-,-,-,-
内航計,"1,692","4,206,184","10,844","27,064,367",336,"2,378,647","2,071","14,961,834"
内航定期計,678,"3,151,385","3,985","19,715,426",336,"2,378,647","2,044","14,896,092"
北海道,112,"1,183,200",705,"7,610,169",112,"1,183,200",705,"7,610,169"
東北,73,"51,427",415,"327,492",73,"51,427",396,"313,261"
関東,103,"32,498",641,"207,063",-,-,2,998
伊豆諸島,208,"348,524","1,082","2,046,721",-,-,1,155
中部,39,"44,781",241,"313,668",39,"44,781",241,"313,668"
近畿,14,"17,169",90,"217,793",14,"17,169",90,"217,793"
中国,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-
九州,102,"1,189,096",641,"7,198,928",71,"797,380",439,"4,646,456"
沖縄,27,"284,690",170,"1,793,592",27,"284,690",170,"1,793,592"
内航不定期,"1,014","1,054,799","6,859","7,348,941",-,-,27,"65,742"
,,,,,,,,
（注）オセアニアは豪州・ニュージーランド・南太平洋諸島,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
