建物番号,建物名称,施設形態,建築年度(和暦),建築年度(西暦),築年数,延床面積,構造,規模,令和元年度-建-合計,令和元年度-事-合計,令和元年度-人件費（合計）,コード,施設名称,用途別面積,【用途中分類】,建物所有者
1,目黒区総合庁舎,複合,S41,1966,53,"48,075.27",SRC（鉄骨鉄筋ｺﾝｸﾘｰﾄ造）,地上9階・地下3階,"716,421,946 ",0 ,0 ,A001,目黒区役所,"48,075.27",01 庁舎等,目黒区
2,目黒区防災センター,複合,H9,1997,22,"3,656.21",SRC（鉄骨鉄筋ｺﾝｸﾘｰﾄ造）,地上3階・地下2階,"58,525,479 ","8,053,719 ","106,451,035 ",C001,目黒区防災センター,"3,253.90",01 庁舎等,目黒区
63,菅刈保育園,複合,S55,1980,39,"1,413.26",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階・地下1階,0 ,0 ,0 ,C002,北部地区備蓄倉庫,344.68,01 庁舎等,目黒区
13,目黒土木公園事務所,複合,S53,1978,41,"1,037.22",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上4階,"21,869 ",0 ,0 ,C003,北部地区上目黒備蓄倉庫,61.2,01 庁舎等,目黒区
3,北部地区東山公園備蓄倉庫,単独,H22,2010,9,202.50,S（鉄骨造）,地上1階,"249,109 ",0 ,0 ,C004,北部地区東山公園備蓄倉庫,202.50,01 庁舎等,目黒区
65,田道保育園,複合,H5,1993,26,"2,076.89",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階・地下1階,0 ,0 ,0 ,C005,東部地区下目黒備蓄倉庫,221.57,01 庁舎等,目黒区
83,田道ふれあい館,複合,H4,1992,27,"6,282.22",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階・地下2階,0 ,0 ,0 ,C006,東部地区田道備蓄倉庫,173.68,01 庁舎等,目黒区
4,東部地区中目黒公園備蓄倉庫,単独,H13,2001,18,210.24,S（鉄骨造）,地上1階,"72,325 ",0 ,0 ,C007,東部地区中目黒公園備蓄倉庫,210.24,01 庁舎等,目黒区
5,東部地区目黒不動防災ひろば備蓄倉庫,単独,H22,2010,9,74.82,RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上1階,"52,206 ",0 ,0 ,C009,東部地区目黒不動防災ひろば備蓄倉庫,74.82,01 庁舎等,目黒区
144,碑文谷体育館,複合,S43,1968,51,"3,295.27",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階,0 ,0 ,0 ,C010,中央地区碑文谷体育館備蓄倉庫,236.89,01 庁舎等,目黒区
