"施設名称","施設郵便番号","施設所在地","施設方書","許可日","許可番号","施設種別"
"ＡＮＡインターコンチネンタルホテル東京「ガーデンプール」","107-0052","東京都港区赤坂一丁目12番33号",,"2001/4/23","13港み生環き第1号","許可プール（営業）"
"エスフォルタ赤坂","107-0052","東京都港区赤坂八丁目5番26号","住友不動産青山ビル西館 地下1階","1992/10/23","4港赤総衛環き第12号","許可プール（営業）"
"港区立赤坂中学校プール","107-0052","東京都港区赤坂九丁目2番3号",,"2022/8/25","4港み生環き第78号","届出プール"
"赤坂中学校屋内プール","107-0052","東京都港区赤坂九丁目2番3号",,"2023/3/28","4港み生環き第210号","許可プール（開放）"
"ザ・リッツ・カールトン東京スパアンドフィットネス","107-0052","東京都港区赤坂九丁目7番1号","東京ミッドタウン タワー棟46階","2007/3/23","18港み生環き第134号","許可プール（営業）"
"ジャヌ東京（プール）","106-0041","東京都港区麻布台一丁目2番2号","麻布台ヒルズ レジデンスA 3階","2024/2/13","5港み生環き第54号","許可プール（営業）"
"アマンレジデンス東京（アマンスパ）","106-0041","東京都港区麻布台一丁目3番2号","麻布台ヒルズ森JPタワー54階","2024/2/13","5港み生環き第98号","許可プール（営業）"
"学校法人渋谷教育学園ブリティッシュ・スクール・イン東京　屋内プール","106-0041","東京都港区麻布台一丁目3番3号","地下1階","2023/8/15","5港み生環き第110号","届出プール"
"港区立麻布小学校プール","106-0041","東京都港区麻布台一丁目5番15号",,"1985/8/30","60港麻保衛環き第22号","届出プール"
"一般社団法人東京アメリカンクラブ","106-0041","東京都港区麻布台二丁目1番2号",,"2011/1/13","22港み生環き第152号","許可プール（営業）"
"虎ノ門ヒルズスパ（ＴＯＲＡＮＯＭＯＮ　ＨＩＬＬＳ　ＳＰＡ）","105-0002","東京都港区愛宕一丁目1番1号","虎ノ門ヒルズレジデンシャルタワー2階、3階","2022/3/31","3港み生環き第263号","許可プール（営業）"
"グリーンヒルズスパ（Ｇｒｅｅｎ　Ｈｉｌｌｓ　Ｓｐａ）","105-0002","東京都港区愛宕二丁目3番1号","愛宕フォレストタワー42階","2001/11/20","12港み生環き第162号","許可プール（営業）"
"東京都立芝商業高等学校プール","105-0022","東京都港区海岸一丁目8番25号",,"1995/8/11","7港芝総衛環き第25号","届出プール"
"港区立青山中学校プール","107-0061","東京都港区北青山一丁目1番9号",,"1985/2/1","59港赤保衛環き第31号","届出プール"
"アラマンダ・スパ青山クラブ","107-0061","東京都港区北青山二丁目7番13号","プラセオ青山ビル10、11階","2020/2/4","31港み生環き第209号","許可プール（営業）"
"東急スポーツオアシス青山","107-0061","東京都港区北青山二丁目8番44号",,"2000/3/1","11港み生環き第164号","許可プール（営業）"
"東京都立港特別支援学校プール","108-0075","東京都港区港南三丁目9番45号",,"1984/1/23","58港芝保衛環き第61号","届出プール"
"港区立港南いきいきプラザ","108-0075","東京都港区港南四丁目2番1号",,"2001/12/14","12港み生環き第46号","許可プール（営業）"
"港区立港南中学校プール","108-0075","東京都港区港南四丁目3番3号",,"2002/7/2","14港み生環き第44号","届出プール"
"港区立港南小学校プール","108-0075","東京都港区港南四丁目3番28号",,"2010/3/17","21港み生環き第164号","届出プール"
"港南小学校プール","108-0075","東京都港区港南四丁目3番28号",,"2010/3/10","20港み生環き第107号","許可プール（開放）"
"東京海洋大学プール","108-0075","東京都港区港南四丁目5番7号",,"1975/7/22","50港芝保衛環き第49号","届出プール"
"ワールドシティタワーズ　アクアサイトプール","108-0075","東京都港区港南四丁目6番1号","ワールドシティタワーズ アクアタワー 2階","2006/2/27","16港み生環き第68号","許可プール（営業）"
"港区立障害保健福祉センタープール","105-0014","東京都港区芝一丁目8番23号",,"1998/3/9","9港芝総衛環き第78号","許可プール（福祉等）"
"港区立芝小学校プール","105-0014","東京都港区芝二丁目21番3号",,"1983/6/15","58港芝保衛環き第19号","届出プール"
