"場所","年度[和暦]","透視度[センチメートル]","水温[度]","水素イオン濃度(pH)","溶存酸素(DO)[mg/L]","生物化学的酸素要求量(BOD)[mg/L]","生物化学的酸素要求量(BOD)(75%値)[mg/L]","浮遊物質(SS)[mg/L]","電気伝導率[マイクロジーメンス毎cm]"
"狸橋","平成17年度","98.8","19.8","7.3","10","1.2","-","2","475"
"狸橋","平成18年度","100","19.7","7.2","9.8","2.2","-","1","426"
"狸橋","平成19年度","100","19.7","7.4","9.7","1.3","-","2.4","452"
"狸橋","平成20年度",">100","20.4","7.1","10.3","1.2","-","2","423"
"狸橋","平成21年度","100","20.2","7.3","9.7","1.3","-","0.5","453"
"狸橋","平成22年度","100","19.7","7.3","8.6","1.4","-","0.6","428"
"狸橋","平成23年度","97.2","19.4","7.3","7.4","1.5","-","1.6","429"
"狸橋","平成24年度","100","20.3","7.3","9.6","2.0","-","2","437"
"狸橋","平成25年度","100","18.9","7.3","9.7","1.4","1.3","2","446"
"狸橋","平成26年度","100","21.1","7.3","10.1","4.8","6.6","1.9","432"
"狸橋","平成27年度","100","20.5","7.4","10.8","1.5","2.0","3","438"
"狸橋","平成28年度","98","20.2","7.1","7.9","3.5","6.0","6","430"
"狸橋","平成29年度",">100","20.7","7.2","10.6","2.0","2.4","2","384"
"狸橋","平成30年度","100","21.2","7.2","9.5","2.5","3.1","1.3","437.5"
"狸橋","令和元年度","90.8","21.4","7.2","11.0","1.4","1.6","3","451"
"狸橋","令和2年度","90.8","19.5","7.2","11.0","2.7","1.7","5","483"
"狸橋","令和3年度","90.8","21.6","7.1","10.0","2.2","2.9","2","489"
"狸橋","令和4年度",">100","21.3","7.5","8.9","2.6","3.5","3","436"
"古川橋","平成17年度","100","18.6","7.2","6.4","1.4","-","1","725"
"古川橋","平成18年度","96.7","18.1","7.2","6.4","2.2","-","1","682"
"古川橋","平成19年度","94.8","18.7","7.2","6.4","1.2","-","2.1","3845"
"古川橋","平成20年度",">100","19.2","7.0","7.2","1.7","-","2","1285"
"古川橋","平成21年度","96.7","18.9","7.2","7.8","1.4","-","1","480"
"古川橋","平成22年度","97.3","18.5","7.3","6.9","1.5","-","1.5","882"
"古川橋","平成23年度","86.2","18.1","7.3","5.9","2","-","5.7","2078"
"古川橋","平成24年度","95.8","19","7.2","6.4","2.2","-","2","1171"
"古川橋","平成25年度","100","17.8","7.2","6.1","1.5","1.7","2","1976"
"古川橋","平成26年度","100","19.2","7.2","7.0","5.1","6.6","1.8","1167"
