地域,地域コード,地域,昭和60（世帯）,昭和61（世帯）,昭和62（世帯）,昭和63（世帯）,昭和64（世帯）,平成2（世帯）,平成3（世帯）,平成4（世帯）,平成5（世帯）,平成6（世帯）,平成7（世帯）,平成8（世帯）,平成9（世帯）,平成10（世帯）,平成11（世帯）,平成12（世帯）,平成13（世帯）,平成14（世帯）,平成15（世帯）,平成16（世帯）,平成17（世帯）,平成18（世帯）,平成19（世帯）,平成20（世帯）,平成21（世帯）,平成22（世帯）,平成23（世帯）,平成24（世帯）,平成25年／総世帯数（世帯）,平成25年／日本人のみの世帯（世帯）,平成25年／外国人のみの世帯（世帯）,平成25年／日本人と外国人の複数国籍世帯（世帯）,平成26年／総世帯数（世帯）,平成26年／日本人のみの世帯（世帯）,平成26年／外国人のみの世帯（世帯）,平成26年／日本人と外国人の複数国籍世帯（世帯）,平成27年／総世帯数（世帯）,平成27年／日本人のみの世帯（世帯）,平成27年／外国人のみの世帯（世帯）,平成27年／日本人と外国人の複数国籍世帯（世帯）,平成28年／総世帯数（世帯）,平成28年／日本人のみの世帯（世帯）,平成28年／外国人のみの世帯（世帯）,平成28年／日本人と外国人の複数国籍世帯（世帯）,平成29年／総世帯数（世帯）,平成29年／日本人のみの世帯（世帯）,平成29年／外国人のみの世帯（世帯）,平成29年／日本人と外国人の複数国籍世帯（世帯）,平成30年／総世帯数（世帯）,平成30年／日本人のみの世帯（世帯）,平成30年／外国人のみの世帯（世帯）,平成30年／日本人と外国人の複数国籍世帯（世帯）,平成31年／総世帯数（世帯）,平成31年／日本人のみの世帯（世帯）,平成31年／外国人のみの世帯（世帯）,平成31年／日本人と外国人の複数国籍世帯（世帯）,令和2年／総世帯数（世帯）,令和2年／日本人のみの世帯（世帯）,令和2年／外国人のみの世帯（世帯）,令和2年／日本人と外国人の複数国籍世帯（世帯）,令和3年／総世帯数（世帯）,令和3年／日本人のみの世帯（世帯）,令和3年／外国人のみの世帯（世帯）,令和3年／日本人と外国人の複数国籍世帯（世帯）,令和4年／総世帯数（世帯）,令和4年／日本人のみの世帯（世帯）,令和4年／外国人のみの世帯（世帯）,令和4年／日本人と外国人の複数国籍世帯（世帯）,令和5年／総世帯数（世帯）,令和5年／日本人のみの世帯（世帯）,令和5年／外国人のみの世帯（世帯）,令和5年／日本人と外国人の複数国籍世帯（世帯）,令和6年／総世帯数（世帯）,令和6年／日本人のみの世帯（世帯）,令和6年／外国人のみの世帯（世帯）,令和6年／日本人と外国人の複数国籍世帯（世帯）
0,13000,総数,4602182,4664177,4731351,4771277,4802946,4842053,4890903,4947560,4994278,5023585,5054473,5103541,5166041,5239545,5324604,5401662,5489639,5585847,5679978,5760580,5842829,5932890,6029100,6125824,6210852,6275360,6324293,6368485,6633677,6346818,206314,80545,6699669,6409857,207239,82573,6784195,6476201,223544,84450,6889954,6555980,248127,85847,6994147,6630981,275995,87171,7096624,6705044,302788,88792,7198348,6782621,325138,90589,7298694,6863469,342780,92445,7341487,6932810,315851,92826,7354402,6971332,290274,92796,7451051,7015391,341998,93662,7563383,7074034,394150,95199
1,13100,区部,3399934,3433799,3470164,3479694,3482180,3489665,3508572,3533490,3551171,3559036,3573202,3601358,3642018,3690179,3745344,3797774,3859532,3927099,3993731,4047216,4103468,4169614,4242089,4313651,4376801,4420728,4454380,4487407,4710069,4470747,176744,62578,4763324,4521391,177673,64260,4831123,4573381,191874,65868,4915330,4634805,213518,67007,4997068,4691574,237415,68079,5077122,4748248,259564,69310,5157231,4808221,278322,70688,5236103,4871471,292509,72123,5258484,4918682,267662,72140,5254558,4937878,244868,71812,5333350,4970704,290367,72279,5428860,5019681,335769,73410
4,13101,千代田区,24556,24085,23392,22561,21711,20948,20453,19950,19457,18793,18474,18300,18437,18412,18611,18654,18897,19426,19703,21107,22186,23209,24254,24786,25270,25914,26482,27007,29393,27449,1613,331,30429,28542,1543,344,31847,29938,1547,362,32871,30887,1583,401,33596,31510,1661,425,34344,32150,1736,458,35830,33483,1869,478,37152,34628,2012,512,37787,35402,1867,518,37773,35573,1692,508,38548,35889,2150,509,39207,36220,2475,512
4,13102,中央区,38004,37757,37454,36767,35904,34959,34146,34129,34040,33963,34040,34299,34597,35262,36427,38482,40859,43160,45650,48080,51740,55799,58368,60498,63660,65786,67351,69384,74293,70467,2937,889,76455,72653,2867,935,79418,75469,2947,1002,82057,77823,3168,1066,85381,80746,3456,1179,89132,83944,3910,1278,91852,86261,4232,1359,94807,88636,4676,1495,95812,89754,4533,1525,96535,90622,4345,1568,98723,91881,5251,1591,100917,93383,5917,1617
4,13103,港区,91978,90835,89364,85933,82774,79987,77544,75823,74699,74106,74623,75166,77294,78448,80199,81578,84419,87307,89260,91883,95223,99608,105372,110934,113324,114816,117152,119042,132474,119175,10584,2715,134387,121684,9835,2868,137180,124171,10050,2959,138942,125903,10015,3024,141710,128356,10253,3101,143898,130155,10584,3159,145865,131799,10831,3235,147693,133298,11128,3267,146527,133258,9973,3296,145951,133761,8936,3254,149488,135716,10488,3284,152545,137575,11586,3384
4,13104,新宿区,158105,158166,157141,153743,150566,146619,143352,140667,138477,137133,137334,137701,138660,140496,142685,143677,146084,148287,151201,153970,157395,160236,162567,164800,167985,169573,171423,172562,198189,172037,22916,3236,201060,174198,23501,3361,204483,175852,25220,3411,209872,178782,27647,3443,213800,180356,30040,3404,216529,182133,30981,3415,219639,184827,31356,3456,221720,187468,30793,3459,219464,189507,26544,3413,216903,190557,23009,3337,223207,191078,28814,3315,227339,192015,32052,3272
4,13105,文京区,84539,84615,84685,83787,82569,81375,80506,80234,79896,79543,79211,79606,79996,80645,82167,84089,85739,87810,89620,90841,92543,94756,97277,99154,100855,101803,103187,104130,109314,103906,4291,1117,111046,105452,4457,1137,112806,106662,4990,1154,114459,107740,5533,1186,116661,109210,6234,1217,118654,110553,6839,1262,121128,112277,7535,1316,123849,114258,8184,1407,123472,115158,6912,1402,123199,115539,6242,1418,126436,116424,8561,1451,128475,117218,9750,1507
4,13106,台東区,71751,71681,71792,71552,70924,70914,71206,71285,71572,71519,71515,71449,72067,72630,73215,74407,75911,77632,79457,80870,82678,84543,86052,87915,90489,92656,94340,96014,105877,96661,7414,1802,107941,98543,7519,1879,109735,99930,7884,1921,111848,101278,8661,1909,113981,102887,9148,1946,116158,104758,9458,1942,118858,106891,10005,1962,121489,109287,10177,2025,123068,111565,9524,1979,124181,113384,8851,1946,128550,115733,10883,1934,133471,118529,12959,1983
4,13107,墨田区,87303,87516,87901,88661,88779,89459,90325,91008,91826,92636,93029,93462,94753,96259,97515,98761,101245,102957,104500,106853,109252,111434,114987,118202,121170,123891,126016,126936,133607,126720,4471,2416,136065,129197,4428,2440,139014,131763,4719,2532,141769,133876,5389,2504,144952,136363,6094,2495,147988,138872,6599,2517,150855,141216,7109,2530,153656,143722,7403,2531,155354,145796,7086,2472,157015,147910,6657,2448,162280,151460,8383,2437,167020,154543,9993,2484
4,13108,江東区,146655,148743,151186,152423,153311,153335,154498,154640,155100,155113,155579,155539,157336,161153,164487,167873,172357,177407,182522,187871,192731,199791,204949,209625,215961,221922,225228,228543,241052,227541,9536,3975,244836,231181,9466,4189,249102,234608,10142,4352,254002,238426,11126,4450,258160,241497,12146,4517,262988,245136,13238,4614,267262,248394,14200,4668,270818,250836,15281,4701,274831,255149,14952,4730,276477,257606,14160,4711,283280,261389,17094,4797,289908,265331,19680,4897
4,13109,品川区,152757,155104,155585,153864,153234,152563,151914,151622,151678,150977,150950,151270,152491,154453,156910,158972,161707,164611,168060,171146,174997,178008,181238,185306,187949,189946,191930,193686,200786,193107,5387,2292,202694,195107,5210,2377,205290,197434,5433,2423,209048,200918,5627,2503,212067,203407,6114,2546,215574,206507,6467,2600,220678,210901,7117,2660,225190,214813,7656,2721,228061,218106,7246,2709,226858,217550,6595,2713,228925,218677,7560,2688,233659,221949,8983,2727
4,13110,目黒区,120519,121324,121686,119980,118227,117019,116889,116745,116272,116031,116692,118304,120113,121551,123074,124910,127151,129354,131323,132228,133356,135132,137590,138895,139832,140005,140741,141456,147198,141799,3889,1510,148794,143390,3864,1540,150097,144404,4050,1643,151257,145227,4290,1740,152687,146313,4562,1812,154592,147815,4892,1885,156583,149308,5307,1968,158223,150500,5687,2036,158367,150997,5323,2047,156910,149862,5018,2030,157952,150157,5720,2075,159667,151173,6368,2126
4,13111,大田区,271093,273350,275940,276038,275773,278105,280081,282250,284315,285437,286477,288489,291774,294920,298914,301672,304978,309696,313890,317839,321687,326647,331632,336897,341519,344808,346065,348245,359776,346642,8791,4343,364423,351085,8890,4448,369863,355984,9320,4559,374463,359994,9837,4632,379497,364064,10744,4689,385193,368820,11611,4762,391146,373734,12527,4885,396961,378655,13379,4927,398687,381199,12576,4912,398254,381458,11905,4891,401856,383543,13414,4899,410030,388928,16148,4954
4,13112,世田谷区,342460,350266,355700,356000,355454,356314,358735,360469,361607,361696,364208,368977,373486,378893,383650,388875,394307,399861,405306,409146,412980,418118,425295,429629,432753,432941,434694,437214,448179,436603,7840,3736,451965,440266,7745,3954,455473,443107,8203,4163,461518,448086,9155,4277,467605,453085,10056,4464,473163,457273,11255,4635,479792,462608,12366,4818,487174,468519,13690,4965,490342,472453,12789,5100,489372,472501,11757,5114,491585,472931,13447,5207,496436,475785,15324,5327
4,13113,渋谷区,114440,116236,115267,112214,107779,104465,101387,99015,97248,96299,96515,97389,97786,99478,101231,103894,106605,108398,110287,111997,113023,114815,116587,116939,117295,117103,117735,119745,127587,120480,5400,1707,129406,122631,5047,1728,130981,123964,5287,1730,132932,125564,5625,1743,134595,126929,5918,1748,136259,128179,6296,1784,137582,129106,6636,1840,139725,130747,7071,1907,140170,131760,6476,1934,139386,131667,5758,1961,140597,131874,6771,1952,142443,132766,7707,1970
4,13114,中野区,152210,152321,153722,152284,150923,150161,150024,150740,151440,150968,150941,151858,153479,155273,157128,158960,160694,162943,164952,166381,168200,169532,171531,174040,175530,175932,176035,177086,185843,177165,6862,1816,187895,178897,7144,1854,190666,180434,8320,1912,194834,183100,9764,1970,198421,185058,11406,1957,201754,186311,13455,1988,204613,187991,14604,2018,207909,190738,15117,2054,207425,192513,12874,2038,206061,193192,10872,1997,209150,194038,13130,1982,213350,195646,15682,2022
4,13115,杉並区,236888,239774,242737,243555,243526,243915,245276,247903,249194,249075,249176,250296,253346,256293,259367,262093,265778,269758,273016,275508,277349,280639,283895,288277,291149,291990,291564,291930,299714,291182,6327,2205,301516,292789,6451,2276,304693,295341,7011,2341,309147,298551,8203,2393,313376,301313,9638,2425,317929,304296,11129,2504,321531,306751,12202,2578,325606,310166,12802,2638,325403,311709,11060,2634,323702,311398,9672,2632,325953,312183,11086,2684,329488,313671,13087,2730
4,13116,豊島区,126231,126983,127444,127052,124829,123575,123727,123134,122965,121941,121304,121875,122452,124151,125533,127287,129585,131290,132861,133393,133806,135639,138799,141300,142704,144007,145232,146626,161197,146085,12881,2231,163481,147980,13302,2199,166782,149447,15062,2273,171610,151500,17868,2242,175018,152738,20016,2264,177671,153550,21830,2291,179880,154592,23006,2282,180595,155970,22322,2303,178637,156892,19500,2245,176253,156481,17586,2186,181268,157227,21813,2228,184969,157388,25347,2234
4,13117,北区,147278,147755,148470,148957,148837,148050,148424,147831,147990,147892,147754,148072,148884,149500,151209,152184,153067,155040,156559,157967,159456,161107,162089,164624,167052,167842,168318,169031,178589,168459,7672,2458,180230,169980,7784,2466,183101,171722,8845,2534,186442,173731,10150,2561,190156,175877,11702,2577,193253,177797,12896,2560,196580,179786,14213,2581,198711,181308,14734,2669,199016,182815,13523,2678,198967,183451,12870,2646,202565,184618,15311,2636,207041,186594,17765,2682
4,13118,荒川区,70468,70281,70703,71083,71493,71883,72859,73304,73663,74108,74463,74498,75105,75327,76591,77796,79657,81228,82898,84035,84924,86508,87975,90093,92341,94378,95682,96529,105760,95408,8144,2208,107063,96463,8325,2275,108564,97498,8759,2307,110853,99092,9457,2304,112677,100143,10210,2324,114209,101043,10830,2336,115944,102259,11357,2328,117228,103489,11370,2369,117153,104292,10489,2372,117089,104889,9846,2354,119134,105550,11206,2378,122010,106534,13075,2401
4,13119,板橋区,194881,197959,202764,206888,209783,212309,216269,220947,222323,223561,223191,225370,227577,230512,233160,235916,239073,242855,247141,249204,250418,252809,256330,259745,263356,266100,266729,268147,279772,267741,8430,3601,282640,270311,8624,3705,286513,273153,9566,3794,292068,277056,11141,3871,298048,281078,13054,3916,303189,284634,14603,3952,309133,288824,16251,4058,314492,292565,17779,4148,315872,295249,16481,4142,316494,297297,15084,4113,320619,299108,17412,4099,327308,302523,20603,4182
4,13120,練馬区,220105,222874,229415,234583,239297,243366,247600,253516,258219,261193,264547,268548,272482,277532,282976,287745,292305,297517,302605,306942,310889,314248,318925,324194,329290,332307,333414,335465,344228,334731,6099,3398,347096,337454,6173,3469,350732,340510,6709,3513,355564,344478,7528,3558,360633,348043,8953,3637,365725,351650,10407,3668,370567,355285,11537,3745,377837,360953,12989,3895,380495,364905,11638,3952,381830,367503,10346,3981,385142,369230,11829,4083,389715,371833,13761,4121
4,13121,足立区,215619,218194,221478,226087,230988,235483,238907,243104,246766,248537,250151,252720,255071,258127,261144,263535,266874,270437,274158,276595,279840,282274,285373,291038,295629,300892,304148,306367,317001,302487,8470,6044,319486,304913,8391,6182,324120,308802,9058,6260,329506,313012,10135,6359,334551,316825,11333,6393,340838,321400,12916,6522,346739,325767,14346,6626,352835,329928,16225,6682,357044,334367,15989,6688,359923,337626,15623,6674,365583,340748,18123,6712,371942,344636,20538,6768
4,13122,葛飾区,149083,150267,152347,155711,159128,162128,164739,167838,169809,171459,172421,174014,175376,176976,179632,181338,182703,185230,187930,189606,191473,193933,196480,198805,200914,203087,205998,206643,213634,204218,6127,3289,215472,205969,6144,3359,217836,207715,6729,3392,221587,210385,7732,3470,225737,213072,9124,3541,229819,215771,10399,3649,233158,218378,11104,3676,236600,220851,12014,3735,238563,223417,11447,3699,239622,225179,10749,3694,243962,227663,12594,3705,248433,230012,14589,3832
4,13123,江戸川区,183011,187713,193991,199971,206371,212733,219711,227336,232615,237056,240607,244156,249456,253888,259519,265076,269537,274895,280832,283754,287322,290829,294524,297955,300774,303029,304916,305619,316606,300684,10663,5259,318944,302706,10963,5275,322827,305473,12023,5331,328681,309396,13884,5401,333759,312704,15553,5502,338263,315501,17233,5529,342016,317783,18612,5621,345833,320136,20020,5677,346934,322419,18860,5655,345803,322872,17295,5636,348547,323587,19327,5633,353487,325429,22380,5678
1,13200,市部,1173146,1200893,1231220,1260956,1289558,1320538,1349916,1381149,1409694,1430530,1446762,1467096,1488332,1513242,1542626,1566810,1592610,1620901,1648139,1675128,1701054,1724741,1748077,1773075,1794653,1814982,1830089,1841055,1883092,1836213,29287,17592,1895805,1848615,29271,17919,1912347,1862843,31318,18186,1933673,1881039,34188,18446,1956050,1899228,38139,18683,1978366,1916604,42676,19086,2000093,1934342,46248,19503,2021746,1952171,49655,19920,2042199,1974347,47570,20282,2059057,1993735,44741,20581,2076976,2005138,50857,20981,2093733,2014877,57486,21370
4,13201,八王子市,137096,141432,145203,150161,155703,161379,166591,172280,176975,181449,185515,189485,192873,197335,202742,207772,211769,215223,218157,221931,226090,229354,232715,236120,239777,243256,246095,248365,254184,247328,4444,2412,255607,248712,4429,2466,257337,250083,4763,2491,259729,251979,5233,2517,262401,253694,6170,2537,265264,255585,7095,2584,267736,257495,7619,2622,270386,259950,7760,2676,272856,262533,7585,2738,276046,266105,7159,2782,279627,268427,8338,2862,282252,269997,9343,2912
4,13202,立川市,52136,53274,54723,55845,56987,58399,59193,60368,61391,61982,62988,64455,65623,66633,67905,69809,70960,72342,73417,74657,76050,77170,78581,79876,80942,81794,82567,83092,84841,82585,1326,930,85148,82944,1268,936,86162,83903,1321,938,87091,84605,1519,967,88650,85920,1768,962,89838,86896,1977,965,91270,88145,2155,970,92288,88950,2369,969,93435,90014,2466,955,94682,91184,2521,977,95713,91847,2866,1000,96728,92544,3155,1029
4,13203,武蔵野市,57470,58497,59166,59478,59879,60509,60882,61618,61444,61422,60921,61557,61978,62831,63771,64258,65115,65702,66302,66674,67590,68674,69248,69821,70150,70403,70847,70854,72329,70542,1234,553,73085,71216,1287,582,73913,71869,1439,605,74684,72533,1523,628,75240,72885,1720,635,75921,73390,1897,634,76765,74093,2009,663,77313,74552,2075,686,77854,75258,1889,707,78187,75750,1705,732,78281,75665,1887,729,78667,75732,2194,741
4,13204,三鷹市,67130,67502,68436,69228,69811,70167,70564,71645,72346,72612,72666,73113,74123,75143,75947,77204,78104,79161,80580,81735,82823,83643,84468,86093,86770,87513,87365,87488,89350,87030,1515,805,89381,87106,1471,804,90283,87878,1595,810,90742,88269,1640,833,91928,89179,1885,864,92951,89950,2108,893,93665,90507,2257,901,94834,91565,2337,932,95814,92830,1995,989,96169,93334,1840,995,96249,93012,2241,996,96752,93245,2476,1031
4,13205,青梅市,32982,34189,35740,37164,38682,40265,42032,43454,45347,46408,47954,48975,49917,50724,51940,52857,53477,54345,54933,55468,56170,56761,57189,57775,58181,58740,59251,59662,60483,59388,484,611,60810,59731,471,608,61130,60021,494,615,61897,60687,580,630,62306,61034,657,615,62882,61499,767,616,63142,61695,833,614,63432,61899,901,632,63894,62344,906,644,64324,62723,935,666,64640,62914,1056,670,65181,63162,1346,673
4,13206,府中市,73017,74601,76689,78241,79382,80871,82472,84094,86078,87436,88489,89468,90957,92507,94149,95738,97121,99669,101450,103552,105593,107754,109001,110283,111716,113743,114783,115239,117380,114303,1978,1099,118429,115317,1969,1143,119640,116380,2087,1173,121495,118077,2240,1178,122656,119072,2400,1184,123648,119828,2615,1205,125060,120938,2902,1220,126160,121783,3149,1228,127224,123069,2908,1247,127939,123999,2668,1272,128686,124259,3135,1292,129835,125149,3383,1303
4,13207,昭島市,33543,33925,34600,36089,37173,37976,38787,39321,40025,40550,41069,41461,41780,42043,42655,42785,43477,44012,45262,45937,46193,47216,47990,48623,48895,49441,49913,50231,51858,50493,804,561,51505,50111,829,565,51878,50354,944,580,52517,50867,1066,584,52807,51042,1154,611,53490,51614,1250,626,53827,51886,1309,632,54324,52356,1329,639,55010,53003,1382,625,55690,53701,1352,637,56276,54171,1448,657,56875,54531,1684,660
4,13208,調布市,72802,74691,76430,77961,79098,79969,81279,82959,84485,85173,85368,86376,87724,89305,90350,91262,93161,94674,96661,98315,100490,101606,102342,103831,105526,106611,106891,107555,109904,107241,1661,1002,110610,107904,1709,997,111273,108447,1829,997,112992,110043,1951,998,115223,112077,2121,1025,117099,113650,2373,1076,118804,115132,2564,1108,120286,116425,2728,1133,121296,117682,2471,1143,121783,118357,2274,1152,122585,118814,2581,1190,123497,119479,2812,1206
4,13209,町田市,101460,104691,108086,111621,114776,117623,120334,123210,126077,128710,129944,131410,133463,136400,139221,143011,147414,151324,155870,160397,163490,166035,169384,172449,175068,177844,179850,181489,185300,181816,1977,1507,186820,183330,1957,1533,188406,184820,2007,1579,190100,186315,2190,1595,192320,188291,2397,1632,194121,189811,2628,1682,195643,191028,2875,1740,197711,192604,3337,1770,200182,194890,3501,1791,202985,197583,3545,1857,205310,199315,4061,1934,206953,200411,4567,1975
