和暦（年次）・(各年1月1日),西暦（年次）・(各年1月1日),総数／人口(人),総数／増減数(人),総数／増減率(%),区部／人口(人),区部／増減数(人),区部／増減率(%),市部／人口(人),市部／増減数(人),市部／増減率(%),町村部／人口(人),町村部／増減数(人),町村部／増減率(%),町村部／郡部／人口(人),町村部／郡部／増減数(人),町村部／郡部／増減率(%),町村部／島部／人口(人),町村部／島部／増減数(人),町村部／島部／増減率(%)
昭和32,1957,298032,-,-,249823,-,-,42936,-,-,5273,-,-,2309,-,-,2964,-,-
昭和33,1958,314735,16703,5.6,263843,14020,5.61,45556,2620,6.1,5336,63,1.19,2355,46,1.99,2981,17,0.57
昭和34,1959,334084,19349,6.15,280015,16172,6.13,48497,2941,6.46,5572,236,4.42,2570,215,9.13,3002,21,0.7
昭和35,1960,354573,20489,6.13,296056,16041,5.73,52783,4286,8.84,5734,162,2.91,2584,14,0.54,3150,148,4.93
昭和36,1961,372639,18066,5.1,311330,15274,5.16,55511,2728,5.17,5798,64,1.12,2671,87,3.37,3127,-23,-0.73
昭和37,1962,388548,15909,4.27,323139,11809,3.79,59541,4030,7.26,5868,70,1.21,2696,25,0.94,3172,45,1.44
昭和38,1963,409842,21294,5.48,340137,16998,5.26,63828,4287,7.2,5877,9,0.15,2700,4,0.15,3177,5,0.16
昭和39,1964,429845,20003,4.88,354319,14182,4.17,69529,5701,8.93,5997,120,2.04,2761,61,2.26,3236,59,1.86
昭和40,1965,452688,22843,5.31,371623,17304,4.88,74888,5359,7.71,6177,180,3,2872,111,4.02,3305,69,2.13
昭和41,1966,476820,24132,5.33,390574,18951,5.1,79960,5072,6.77,6286,109,1.76,2975,103,3.59,3311,6,0.18
昭和42,1967,499220,22400,4.7,407001,16427,4.21,85727,5767,7.21,6492,206,3.28,3062,87,2.92,3430,119,3.59
昭和43,1968,526293,27073,5.42,427816,20815,5.11,91832,6105,7.12,6645,153,2.36,3133,71,2.32,3512,82,2.39
昭和44,1969,551414,25121,4.77,447835,20019,4.68,96827,4995,5.44,6752,107,1.61,3180,47,1.5,3572,60,1.71
昭和45,1970,575989,24575,4.46,464693,16858,3.76,104548,7721,7.97,6748,-4,-0.06,3167,-13,-0.41,3581,9,0.25
昭和46,1971,600493,24504,4.25,482793,18100,3.9,110914,6366,6.09,6786,38,0.56,3140,-27,-0.85,3646,65,1.82
