校種,12年度合格者数（名）,12年度合格率（倍）,17年度合格者数（名）,17年度合格率（倍）
小学校,47,7.3,52,2.0
中学校,32,9.2,19,1.8
高等学校,25,6.1,7,4.0
盲ろう養護学校,3,13.0,8,2.3
合計,107,7.8,86,2.2
