校種,12年度合格者数（名）,12年度合格率（倍）,17年度合格者数（名）,17年度合格率（倍）
小学校,164,3.2,143,1.9
中学校,30,12.4,100,4.3
高等学校,36,4.3,21,7.4
盲ろう養護学校,10,3.7,7,6.6
合計,240,4.5,271,3.4
