"年度[西暦]","麻布 登録団体","麻布 利用件数[件]","麻布 利用者数[人]","赤坂 登録団体","赤坂 利用件数[件]","赤坂 利用者数[人]","高輪 登録団体","高輪 利用件数[件]","高輪 利用者数[人]","芝浦港南 登録団体","芝浦港南 利用件数[件]","芝浦港南 利用者数[人]","台場 登録団体","台場 利用件数[件]","台場 利用者数[人]","台場 図書貸出数"
"2018","124","4831","68951","160","7828","149258","279","7237","119656","120","4752","63778","30","2916","61214","52544"
"2019","135","4731","57362","152","7769","122334","237","6871","114494","115","4311","46188","28","2640","51255","49499"
"2020","131","3129","22639","144","5310","40821","199","4509","39873","118","3163","26842","30","1983","29681","35275"
"2021","122","3863","31880","94","5311","49324","209","4390","160877","130","3716","35292","31","2508","42047","28321"
"2022","122","4318","37842","124","6941","83999","279","5336","56147","116","4294","45722","28","2048","38054","21228"

"令和5年度港区行政資料集　施設利用状況一覧 区民センター","Ver202303",,,,,,,,,,,,,,,
