"科目","金額[百万円]"
"年度","2020"
"期間（自）","20200401"
"期間（至）","20210331"
"業務活動収支 業務支出","149193"
"業務活動収支 業務支出 業務費用支出","70683"
"業務活動収支 業務支出 業務費用支出 人件費支出","20914"
"業務活動収支 業務支出 業務費用支出 物件費等支出","49073"
"業務活動収支 業務支出 業務費用支出 支払利息支出","9"
"業務活動収支 業務支出 業務費用支出 その他の支出","687"
"業務活動収支 業務支出 移転費用支出","78510"
"業務活動収支 業務支出 移転費用支出 補助金等支出","45788"
"業務活動収支 業務支出 移転費用支出 社会保障給付支出","25255"
"業務活動収支 業務支出 移転費用支出 他会計への繰出支出","6604"
"業務活動収支 業務支出 移転費用支出 その他の支出","862"
"業務活動収支 業務収入","166460"
"業務活動収支 業務収入 税収等収入","103607"
"業務活動収支 業務収入 国都等補助金収入","50665"
"業務活動収支 業務収入 使用料及び手数料収入","8883"
"業務活動収支 業務収入 その他の収入","3305"
"業務活動収支 臨時支出","-"
"業務活動収支 臨時支出 災害復旧事業費支出","-"
"業務活動収支 臨時支出 その他の支出","-"
"業務活動収支 臨時収入","-"
"業務活動収支","17267"
"投資活動収支 投資活動支出","25917"
"投資活動収支 投資活動支出 公共施設等整備費支出","11059"
"投資活動収支 投資活動支出 基金積立金支出","14351"
"投資活動収支 投資活動支出 投資及び出資金支出","-"
"投資活動収支 投資活動支出 貸付金支出","506"
"投資活動収支 投資活動支出 その他の支出","-"
"投資活動収支 投資活動収入","13640"
"投資活動収支 投資活動収入 国都等補助金収入","3976"
"投資活動収支 投資活動収入 基金取崩収入","7719"
"投資活動収支 投資活動収入 貸付金元金回収収入","511"
"投資活動収支 投資活動収入 資産売却収入","1435"
"投資活動収支 投資活動収入 その他の収入","-"
"投資活動収支","-12277"
"財務活動収支 財務活動支出","676"
"財務活動収支 財務活動支出 地方債償還支出","180"
"財務活動収支 財務活動支出 その他の支出","497"
"財務活動収支 財務活動収入","-"
"財務活動収支 財務活動収入 地方債発行収入","-"
"財務活動収支 財務活動収入 その他の収入","-"
"財務活動収支","-676"
"本年度資金収支額","4314"
"前年度末資金残高","8973"
"本年度末資金残高","13287"
"前年度末歳計外現金残高","7349"
"本年度歳計外現金増減額","393"
"本年度末歳計外現金残高","7742"
"本年度末現金預金残高","21030"

"一般会計財務書類（資金収支計算書）(令和2年4月1日から令和3年3月31日)","Ver202103"
