"年度[西暦]","区民向け住宅[戸]","都営住宅[戸]","都民住宅[戸]","公社住宅[戸]","ＵＲ賃貸住宅[戸]","合計[戸]"
"2017","893","4825","595","859","2892","10064"
"2018","893","4815","595","859","2513","9675"
"2019","834","4998","595","859","2513","9799"
"2020","834","4996","209","1245","2513","9797"
"2021","834","4993","175","1279","2513","9794"

"令和4年度港区行政資料集　区民向け住宅等","Ver202203",,,,,
